actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-21T01:11:17.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-21T01:11:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-11-21T01:11:22.6Z,1,REGULAR,jumpball,recovered,[],0,,,1610612760,0,0,2024-11-21T01:11:22Z,40000,False,,,0,,Jump Ball J. Williams vs. D. Clingan: Tip to Team (OKC),"[1631114, 1642270]",1610612760.0,OKC,startperiod,Team (OKC),Williams,1631114.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2024-11-21T01:11:52.9Z,1,REGULAR,2pt,Jump Shot,[],1628983,5.732588699080158,79.90196078431373,1610612760,0,0,2024-11-21T01:12:36Z,80000,False,-150.0,1.0,1,left,MISS S. Gilgeous-Alexander 14' step back Shot,[1628983],1610612760.0,OKC,step back,,,,,,Mid-Range,8-16 Left,14.95,Missed,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2024-11-21T01:11:54.9Z,1,REGULAR,rebound,offensive,[],1641717,,,1610612760,0,0,2024-11-21T01:12:36Z,90000,False,,,0,,C. Wallace REBOUND (Off:1 Def:0),[1641717],1610612760.0,OKC,,,,,,,Mid-Range,8-16 Left,,,Wallace,C. Wallace,8.0,1.0,0.0,1.0,,,,,,,,,,,,,,
10,PT11M35.00S,2024-11-21T01:11:58.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628983,2.0532194480946124,84.80392156862744,1610612760,0,0,2024-11-21T01:12:54Z,100000,False,-174.0,-33.0,1,left,MISS S. Gilgeous-Alexander 17' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,,,,Mid-Range,16-24 Left,17.71,Missed,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,
11,PT11M33.00S,2024-11-21T01:12:00.2Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,0,0,2024-11-21T01:12:54Z,110000,False,,,0,,T. Camara REBOUND (Off:0 Def:1),[1641739],1610612757.0,POR,,,,,,,Mid-Range,16-24 Left,,,Camara,T. Camara,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M27.00S,2024-11-21T01:12:17.3Z,1,REGULAR,foul,personal,['3freethrow'],1641717,,,1610612757,0,0,2024-11-21T01:12:25Z,120000,False,,,0,,C. Wallace shooting personal FOUL (1 PF) (Grant 3 FT),"[1641717, 203924]",1610612760.0,OKC,shooting,,,,,,Left Corner 3,24+ Left,,,Wallace,C. Wallace,,,,,1204.0,1.0,0.0,Grant,203924.0,,,,,,,,,
14,PT11M27.00S,2024-11-21T01:12:35.7Z,1,REGULAR,freethrow,1 of 3,['fastbreak'],203924,,,1610612757,0,1,2024-11-21T01:12:35Z,140000,False,,,0,,J. Grant Free Throw 1 of 3 (1 PTS),[203924],1610612757.0,POR,,,,,,,,,,Made,Grant,J. Grant,,,,,,,,,,1.0,,,,,,,,
15,PT11M27.00S,2024-11-21T01:12:35.7Z,1,REGULAR,freethrow,2 of 3,['fastbreak'],203924,,,1610612757,0,2,2024-11-21T01:13:26Z,150000,False,,,0,,J. Grant Free Throw 2 of 3 (2 PTS),[203924],1610612757.0,POR,,,,,,,,,,Made,Grant,J. Grant,,,,,,,,,,2.0,,,,,,,,
16,PT11M27.00S,2024-11-21T01:12:35.7Z,1,REGULAR,freethrow,3 of 3,['fastbreak'],203924,,,1610612757,0,3,2024-11-21T01:13:26Z,160000,False,,,0,,J. Grant Free Throw 3 of 3 (3 PTS),[203924],1610612757.0,POR,,,,,,,,,,Made,Grant,J. Grant,,,,,,,,,,3.0,,,,,,,,
