actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-18T00:10:43.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-18T00:10:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-11-18T00:10:47.9Z,1,REGULAR,jumpball,recovered,[],1629023,,,1610612742,0,0,2024-11-18T00:10:47Z,40000,False,,,0,,Jump Ball D. Lively II vs. J. Williams: Tip to P. Washington,"[1629023, 1641726, 1631114]",1610612742.0,DAL,startperiod,P. Washington,1629023.0,Washington,P. Washington,Lively II,1641726.0,Williams,1631114.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-11-18T00:11:00.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629023,93.9060446780552,63.970588235294116,1610612742,0,2,2024-11-18T00:11:05Z,70000,False,70.0,5.0,1,right,P. Washington 7' turnaround Jump Shot (2 PTS),[1629023],1610612742.0,DAL,turnaround,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,7.01,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2024-11-18T00:11:17.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,3.892904073587385,46.568627450980394,1610612760,0,2,2024-11-18T00:11:28Z,90000,False,17.0,-16.0,1,left,MISS S. Gilgeous-Alexander driving Layup,[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,2.34,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2024-11-18T00:11:19.9Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,0,2,2024-11-18T00:11:28Z,100000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M16.00S,2024-11-18T00:11:27.0Z,1,REGULAR,3pt,Jump Shot,[],1629023,77.34888304862024,13.480392156862745,1610612742,0,5,2024-11-18T00:11:30Z,110000,False,-183.0,160.0,1,right,P. Washington 24' 3PT  (5 PTS) (Q. Grimes 1 AST),"[1629023, 1629656]",1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,24.3,Made,5.0,,,,,Q. Grimes,1629656.0,1.0,,,,,,,,,,
13,PT11M03.00S,2024-11-18T00:11:39.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,17.821944809461236,63.970588235294116,1610612760,2,5,2024-11-18T00:12:48Z,130000,False,-70.0,115.0,1,left,J. Williams 13' fadeaway Jump Shot (2 PTS),[1631114],1610612760.0,OKC,fadeaway,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Left,13.46,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M52.00S,2024-11-18T00:11:50.1Z,1,REGULAR,3pt,Jump Shot,[],202691,81.8166885676741,95.83333333333334,1610612742,2,8,2024-11-18T00:11:54Z,140000,False,229.0,118.0,1,right,K. Thompson 25' 3PT  (3 PTS) (K. Irving 1 AST),"[202691, 202681]",1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,25.8,Made,3.0,,,,,K. Irving,202681.0,1.0,,,,,,,,,,
16,PT10M37.00S,2024-11-18T00:12:05.2Z,1,REGULAR,3pt,Jump Shot,[],1631114,28.465834428383708,21.323529411764707,1610612760,2,8,2024-11-18T00:12:10Z,160000,False,143.0,215.0,1,left,MISS J. Williams 25' step back 3PT,[1631114],1610612760.0,OKC,step back,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,25.85,Missed,,,,,,,,,,,,,,,,,,
17,PT10M35.00S,2024-11-18T00:12:07.2Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,2,8,2024-11-18T00:13:17Z,170000,False,,,0,,P. Washington REBOUND (Off:0 Def:2),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,
