actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-25T01:10:31.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-25T01:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-25T01:10:33.6Z,1,REGULAR,jumpball,recovered,[],1631114,,,1610612760,0,0,2025-02-25T01:10:33Z,40000,False,,,0,,Jump Ball I. Hartenstein vs. N. Reid: Tip to J. Williams,"[1631114, 1628392, 1629675]",1610612760.0,OKC,startperiod,J. Williams,1631114.0,Williams,J. Williams,Hartenstein,1628392.0,Reid,1629675.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-02-25T01:10:47.0Z,1,REGULAR,foul,personal,['2freethrow'],1629675,,,1610612760,0,0,2025-02-25T01:11:09Z,70000,False,,,0,,N. Reid shooting personal FOUL (1 PF) (Hartenstein 2 FT),"[1629675, 1628392]",1610612750.0,MIN,shooting,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,1626300.0,1.0,0.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,
9,PT11M45.00S,2025-02-25T01:11:12.9Z,1,REGULAR,freethrow,1 of 2,[],1628392,,,1610612760,1,0,2025-02-25T01:11:12Z,90000,False,,,0,,I. Hartenstein Free Throw 1 of 2 (1 PTS),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M45.00S,2025-02-25T01:11:25.2Z,1,REGULAR,freethrow,2 of 2,[],1628392,,,1610612760,2,0,2025-02-25T01:11:25Z,100000,False,,,0,,I. Hartenstein Free Throw 2 of 2 (2 PTS),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M21.00S,2025-02-25T01:11:49.5Z,1,REGULAR,3pt,Jump Shot,[],201144,30.56833114323259,70.58823529411765,1610612750,2,0,2025-02-25T01:12:10Z,110000,False,-103.0,235.0,1,left,MISS M. Conley 25' pullup 3PT,[201144],1610612750.0,MIN,pullup,,,Conley,M. Conley,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,25.64,,,,,,,,,,,,
12,PT11M16.00S,2025-02-25T01:11:53.6Z,1,REGULAR,rebound,offensive,[],1630183,,,1610612750,2,0,2025-02-25T01:11:53Z,120000,False,,,0,,J. McDaniels REBOUND (Off:1 Def:0),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,
13,PT11M15.00S,2025-02-25T01:11:55.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201144,29.122864651773984,73.2843137254902,1610612750,2,3,2025-02-25T01:11:59Z,130000,False,-116.0,221.0,1,left,M. Conley 25' 3PT  (3 PTS) (J. McDaniels 1 AST),"[201144, 1630183]",1610612750.0,MIN,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,25.0,,,,,J. McDaniels,1630183.0,1.0,,,,,
15,PT11M00.00S,2025-02-25T01:12:09.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631114,93.64323258869908,50.73529411764706,1610612760,4,3,2025-02-25T01:12:12Z,150000,False,4.0,7.0,1,right,J. Williams Layup (2 PTS) (S. Gilgeous-Alexander 1 AST),"[1631114, 1628983]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,0.82,,,,,S. Gilgeous-Alexander,1628983.0,1.0,,,,,
17,PT10M41.00S,2025-02-25T01:12:28.6Z,1,REGULAR,turnover,lost ball,[],1629675,,,1610612750,4,3,2025-02-25T01:12:32Z,170000,False,,,0,,N. Reid lost ball TURNOVER (1 TO),"[1629675, 1631114]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,Williams,1631114.0,,
