actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-17T00:35:55.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-17T00:35:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-17T00:35:57.1Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2025-01-17T00:35:57Z,40000,False,,,0,,Jump Ball J. Allen vs. J. Williams: Tip to E. Mobley,"[1630596, 1628386, 1631119]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Williams,1631119.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-01-17T00:36:11.8Z,1,REGULAR,foul,personal,[],1631114,,,1610612739,0,0,2025-01-17T00:37:10Z,70000,False,,,0,,J. Williams personal FOUL (1 PF),"[1631114, 1628386]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,1627524.0,1.0,0.0,Allen,1628386.0,,,,,,,,,,,,,,,
9,PT11M36.00S,2025-01-17T00:36:42.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,6.1268068331143235,52.20588235294118,1610612739,0,2,2025-01-17T00:36:48Z,90000,False,-11.0,5.0,1,left,J. Allen cutting DUNK (2 PTS) (D. Garland 1 AST),"[1628386, 1629636]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,1.21,Made,2.0,D. Garland,1629636.0,1.0,,,,,,,,,
11,PT11M23.00S,2025-01-17T00:36:56.4Z,1,REGULAR,turnover,out-of-bounds,[],1641717,,,1610612760,0,2,2025-01-17T00:37:06Z,110000,False,,,0,,C. Wallace bad pass out-of-bounds TURNOVER (1 TO),[1641717],1610612760.0,OKC,bad pass,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Right Center,1627524.0,,,,,,,,,,,1.0,,,,,,,,
12,PT11M10.00S,2025-01-17T00:37:14.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628378,9.543363994743759,40.44117647058824,1610612739,0,2,2025-01-17T00:37:39Z,120000,False,48.0,37.0,1,left,MISS D. Mitchell 6' driving finger roll Layup,[1628378],1610612739.0,CLE,driving finger roll,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.06,Missed,,,,,,,,,,,,,
13,PT11M09.00S,2025-01-17T00:37:15.5Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,0,2,2025-01-17T00:37:39Z,130000,False,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,12.0,1.0,0.0,1.0,,,,
14,PT11M08.00S,2025-01-17T00:37:21.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1628386,5.590000152587891,50.0,1610612739,0,4,2025-01-17T00:44:24Z,140000,False,0.0,0.0,1,left,J. Allen tip Layup (4 PTS),[1628386],1610612739.0,CLE,tip,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,0.0,Made,4.0,,,,,,,,,,,,
15,PT10M58.00S,2025-01-17T00:37:26.7Z,1,REGULAR,3pt,Jump Shot,[],1629652,90.3580814717477,3.6764705882352944,1610612760,3,4,2025-01-17T00:37:35Z,150000,False,-232.0,38.0,1,right,L. Dort 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1629652, 1628983]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Left Corner 3,24+ Left,,,,,,23.47,Made,3.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,
17,PT10M45.00S,2025-01-17T00:37:38.9Z,1,REGULAR,2pt,Jump Shot,[],1628378,23.47240473061761,54.65686274509803,1610612739,3,4,2025-01-17T00:37:45Z,170000,False,-23.0,168.0,1,left,MISS D. Mitchell 16' pullup Shot,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Center,,,,,,16.97,Missed,,,,,,,,,,,,,
18,PT10M43.00S,2025-01-17T00:37:40.9Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,3,4,2025-01-17T00:37:45Z,180000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,
19,PT10M34.00S,2025-01-17T00:37:51.6Z,1,REGULAR,3pt,Jump Shot,[],1631119,70.12155059132719,71.07843137254902,1610612760,3,4,2025-01-17T00:37:55Z,190000,False,105.0,228.0,1,right,MISS J. Williams 25' 3PT,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,25.15,Missed,,,,,,,,,,,,,
20,PT10M31.00S,2025-01-17T00:37:54.6Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,3,4,2025-01-17T00:37:55Z,200000,False,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,19.0,2.0,1.0,1.0,,,,
21,PT10M14.00S,2025-01-17T00:38:11.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,5.075558475689881,54.166666666666664,1610612739,3,4,2025-01-17T00:39:00Z,210000,False,-21.0,-5.0,1,left,MISS E. Mobley driving Layup,[1630596],1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,2.13,Missed,,,,,,,,,,,,,
22,PT10M12.00S,2025-01-17T00:38:13.3Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,3,4,2025-01-17T00:38:15Z,220000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,
23,PT10M00.00S,2025-01-17T00:38:24.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,94.1688567674113,50.73529411764706,1610612760,5,4,2025-01-17T00:38:28Z,230000,False,4.0,2.0,1,right,S. Gilgeous-Alexander driving finger roll Layup (2 PTS),[1628983],1610612760.0,OKC,driving finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,0.44,Made,2.0,,,,,,,,,,,,
24,PT09M51.00S,2025-01-17T00:38:33.5Z,1,REGULAR,turnover,bad pass,[],1629636,,,1610612739,5,4,2025-01-17T00:38:41Z,240000,False,,,0,,D. Garland bad pass TURNOVER (1 TO),"[1629636, 1631114]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,1.0,,,,,Williams,1631114.0,,
25,PT09M51.00S,2025-01-17T00:38:33.5Z,1,REGULAR,steal,,[],1631114,,,1610612760,5,4,2025-01-17T00:38:35Z,250000,False,,,0,,J. Williams STEAL (1 STL),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
26,PT09M46.00S,2025-01-17T00:38:39.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631114,93.38042049934296,49.01960784313725,1610612760,5,4,2025-01-17T00:40:02Z,260000,False,-5.0,10.0,1,right,MISS J. Williams running DUNK - blocked,"[1631114, 1629636]",1610612760.0,OKC,running,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,1.09,Missed,,,,,,,,,,,,Garland,1629636.0
27,PT09M46.00S,2025-01-17T00:38:39.6Z,1,REGULAR,block,,[],1629636,,,1610612760,5,4,2025-01-17T00:38:42Z,270000,False,,,0,,D. Garland BLOCK (1 BLK),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M46.00S,2025-01-17T00:38:39.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,5,4,2025-01-17T00:38:47Z,280000,False,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,26.0,,,,,,,
30,PT09M34.00S,2025-01-17T00:39:02.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,8.886333771353483,44.6078431372549,1610612739,5,4,2025-01-17T00:39:09Z,300000,False,27.0,31.0,1,left,MISS D. Mitchell driving Layup,[1628378],1610612739.0,CLE,driving,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,4.11,Missed,,,,,,,,,,,,,
31,PT09M33.00S,2025-01-17T00:39:04.4Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,5,4,2025-01-17T00:39:04Z,310000,False,,,0,,J. Allen REBOUND (Off:2 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,30.0,3.0,1.0,2.0,,,,
32,PT09M31.00S,2025-01-17T00:39:05.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628378,4.418528252299605,51.470588235294116,1610612739,5,4,2025-01-17T00:39:15Z,320000,False,-7.0,-11.0,1,left,MISS D. Mitchell Layup,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,1.33,Missed,,,,,,,,,,,,,
33,PT09M28.00S,2025-01-17T00:39:08.9Z,1,REGULAR,rebound,offensive,[],1629731,,,1610612739,5,4,2025-01-17T00:39:15Z,330000,False,,,0,,D. Wade REBOUND (Off:1 Def:0),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,32.0,1.0,0.0,1.0,,,,
34,PT09M27.00S,2025-01-17T00:39:10.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629636,4.812746386333772,95.83333333333334,1610612739,5,4,2025-01-17T00:39:18Z,340000,False,-229.0,-7.0,1,left,MISS D. Garland 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Left Corner 3,24+ Left,,,,,,22.93,Missed,,,,,,,,,,,,,
35,PT09M24.00S,2025-01-17T00:39:13.1Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,5,4,2025-01-17T00:39:18Z,350000,False,,,0,,J. Allen REBOUND (Off:3 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,34.0,4.0,1.0,3.0,,,,
36,PT09M24.00S,2025-01-17T00:39:16.6Z,1,REGULAR,foul,offensive,[],1628386,,,1610612739,5,4,2025-01-17T00:39:23Z,360000,False,,,0,,J. Allen charge offensive FOUL (1 PF),"[1628386, 1629652]",1610612739.0,CLE,charge,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,202037.0,1.0,0.0,Dort,1629652.0,,,,,,,,,,,,,,,
38,PT09M24.00S,2025-01-17T00:39:16.6Z,1,REGULAR,turnover,offensive foul,[],1628386,,,1610612739,5,4,2025-01-17T00:39:16Z,380000,False,,,0,,J. Allen offensive foul TURNOVER (1 TO),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,202037.0,,,,,,,,,,,1.0,,,,,,,,
39,PT09M12.00S,2025-01-17T00:39:43.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631114,93.51182654402102,47.30392156862745,1610612760,7,4,2025-01-17T00:39:47Z,390000,False,-13.0,8.0,1,right,J. Williams driving Layup (2 PTS) (C. Wallace 1 AST),"[1631114, 1641717]",1610612760.0,OKC,driving,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,1.6,Made,2.0,C. Wallace,1641717.0,1.0,,,,,,,,,
41,PT08M54.00S,2025-01-17T00:40:00.0Z,1,REGULAR,3pt,Jump Shot,[],1628378,15.193823915900131,4.411764705882353,1610612739,7,4,2025-01-17T00:40:06Z,410000,False,228.0,90.0,1,left,MISS D. Mitchell 24' 3PT,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right,,,,,,24.51,Missed,,,,,,,,,,,,,
42,PT08M51.00S,2025-01-17T00:40:03.0Z,1,REGULAR,rebound,defensive,[],1641717,,,1610612760,7,4,2025-01-17T00:40:06Z,420000,False,,,0,,C. Wallace REBOUND (Off:0 Def:1),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Right,,,,,,,,,,,,,41.0,1.0,1.0,0.0,,,,
43,PT08M35.00S,2025-01-17T00:40:20.0Z,1,REGULAR,3pt,Jump Shot,[],1631114,91.40932982917214,95.58823529411765,1610612760,7,4,2025-01-17T00:40:24Z,430000,False,228.0,28.0,1,right,MISS J. Williams 3PT,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Right Corner 3,24+ Right,,,,,,22.97,Missed,,,,,,,,,,,,,
44,PT08M32.00S,2025-01-17T00:40:23.0Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,7,4,2025-01-17T00:40:24Z,440000,False,,,0,,J. Allen REBOUND (Off:3 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,43.0,5.0,2.0,3.0,,,,
45,PT08M28.00S,2025-01-17T00:40:29.2Z,1,REGULAR,foul,personal,[],1629652,,,1610612739,7,4,2025-01-17T00:40:36Z,450000,False,,,0,,L. Dort personal FOUL (1 PF),"[1629652, 1630596]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,204059.0,1.0,0.0,Mobley,1630596.0,,,,,,,,,,,,,,,
47,PT08M14.00S,2025-01-17T00:41:02.2Z,1,REGULAR,3pt,Jump Shot,[],1630596,3.630091984231275,96.07843137254902,1610612739,7,4,2025-01-17T00:41:06Z,470000,False,-230.0,-18.0,1,left,MISS E. Mobley 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Left Corner 3,24+ Left,,,,,,23.11,Missed,,,,,,,,,,,,,
48,PT08M11.00S,2025-01-17T00:41:05.2Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,7,4,2025-01-17T00:41:06Z,480000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,47.0,1.0,1.0,0.0,,,,
49,PT07M59.00S,2025-01-17T00:41:20.5Z,1,REGULAR,turnover,out-of-bounds,[],1628983,,,1610612760,7,4,2025-01-17T00:41:25Z,490000,False,,,0,,S. Gilgeous-Alexander bad pass out-of-bounds TURNOVER (1 TO),[1628983],1610612760.0,OKC,bad pass,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,202037.0,,,,,,,,,,,1.0,,,,,,,,
50,PT07M41.00S,2025-01-17T00:42:02.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629731,26.231931668856767,18.38235294117647,1610612739,7,4,2025-01-17T00:42:06Z,500000,False,158.0,194.0,1,left,MISS D. Wade 25' 3PT,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Right Center,,,,,,25.03,Missed,,,,,,,,,,,,,
51,PT07M39.00S,2025-01-17T00:42:04.7Z,1,REGULAR,rebound,offensive,[],1629636,,,1610612739,7,4,2025-01-17T00:42:06Z,510000,False,,,0,,D. Garland REBOUND (Off:1 Def:0),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,50.0,1.0,0.0,1.0,,,,
52,PT07M37.00S,2025-01-17T00:42:06.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628378,28.991458607095925,76.22549019607843,1610612739,7,7,2025-01-17T00:42:11Z,520000,False,-131.0,220.0,1,left,D. Mitchell 25' 3PT  (3 PTS) (D. Garland 2 AST),"[1628378, 1629636]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,,,,,,25.61,Made,3.0,D. Garland,1629636.0,2.0,,,,,,,,,
54,PT07M24.00S,2025-01-17T00:42:18.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631114,91.5407358738502,50.98039215686274,1610612760,7,7,2025-01-17T00:43:13Z,540000,False,5.0,27.0,1,right,MISS J. Williams driving Layup - blocked,"[1631114, 1630596]",1610612760.0,OKC,driving,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,2.74,Missed,,,,,,,,,,,,Mobley,1630596.0
55,PT07M24.00S,2025-01-17T00:42:18.2Z,1,REGULAR,block,,[],1630596,,,1610612760,7,7,2025-01-17T00:42:20Z,550000,False,,,0,,E. Mobley BLOCK (1 BLK),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
56,PT07M22.00S,2025-01-17T00:42:20.2Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,7,7,2025-01-17T00:42:22Z,560000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,54.0,1.0,1.0,0.0,,,,
57,PT07M15.00S,2025-01-17T00:42:28.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,6.521024967148489,48.77450980392157,1610612739,7,9,2025-01-17T00:42:31Z,570000,False,6.0,9.0,1,left,J. Allen alley-oop DUNK (6 PTS) (D. Garland 3 AST),"[1628386, 1629636]",1610612739.0,CLE,alley-oop,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,1.07,Made,6.0,D. Garland,1629636.0,3.0,,,,,,,,,
59,PT07M15.00S,2025-01-17T00:42:32.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,7,9,2025-01-17T00:42:32Z,590000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M15.00S,2025-01-17T00:45:09.9Z,1,REGULAR,substitution,out,[],1628378,,,1610612760,7,9,2025-01-17T00:45:45Z,600000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M15.00S,2025-01-17T00:45:09.9Z,1,REGULAR,substitution,out,[],1630596,,,1610612760,7,9,2025-01-17T00:45:45Z,610000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M15.00S,2025-01-17T00:45:09.9Z,1,REGULAR,substitution,in,[],1629622,,,1610612760,7,9,2025-01-17T00:45:45Z,620000,False,,,0,,SUB in: M. Strus,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M15.00S,2025-01-17T00:45:09.9Z,1,REGULAR,substitution,in,[],1627747,,,1610612760,7,9,2025-01-17T00:45:45Z,630000,False,,,0,,SUB in: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M00.00S,2025-01-17T00:46:10.6Z,1,REGULAR,3pt,Jump Shot,[],1631119,95.6143232588699,5.147058823529411,1610612760,7,9,2025-01-17T00:46:14Z,640000,False,-224.0,-11.0,1,right,MISS J. Williams 3PT,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Left Corner 3,24+ Left,,,,,,22.46,Missed,,,,,,,,,,,,,
65,PT06M57.00S,2025-01-17T00:46:13.6Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,7,9,2025-01-17T00:46:14Z,650000,False,,,0,,J. Allen REBOUND (Off:3 Def:3),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,64.0,6.0,3.0,3.0,,,,
66,PT06M47.00S,2025-01-17T00:46:23.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,7.30946123521682,55.63725490196079,1610612739,7,9,2025-01-17T00:46:26Z,660000,False,-28.0,16.0,1,left,MISS C. LeVert cutting Layup,[1627747],1610612739.0,CLE,cutting,,,LeVert,C. LeVert,,,,,Restricted Area,0-8 Center,,,,,,3.25,Missed,,,,,,,,,,,,,
67,PT06M45.00S,2025-01-17T00:46:25.2Z,1,REGULAR,rebound,defensive,[],1641717,,,1610612760,7,9,2025-01-17T00:46:26Z,670000,False,,,0,,C. Wallace REBOUND (Off:0 Def:2),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,66.0,2.0,2.0,0.0,,,,
68,PT06M40.00S,2025-01-17T00:46:29.8Z,1,REGULAR,3pt,Jump Shot,[],1629652,75.50919842312747,13.480392156862745,1610612760,7,9,2025-01-17T00:46:36Z,680000,False,-183.0,178.0,1,right,MISS L. Dort 25' pullup 3PT,[1629652],1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,,,,,,25.48,Missed,,,,,,,,,,,,,
69,PT06M37.00S,2025-01-17T00:46:32.4Z,1,REGULAR,rebound,offensive,[],1631114,,,1610612760,7,9,2025-01-17T00:46:32Z,690000,False,,,0,,J. Williams REBOUND (Off:1 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,68.0,2.0,1.0,1.0,,,,
70,PT06M34.00S,2025-01-17T00:46:37.1Z,1,REGULAR,foul,personal,[],1629636,,,1610612760,7,9,2025-01-17T00:47:06Z,700000,False,,,0,,D. Garland personal FOUL (1 PF),"[1629636, 1628983]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Right,204059.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,,,,
72,PT06M34.00S,2025-01-17T00:46:57.0Z,1,REGULAR,substitution,out,[],1629652,,,1610612760,7,9,2025-01-17T00:47:00Z,720000,False,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M34.00S,2025-01-17T00:46:57.0Z,1,REGULAR,substitution,in,[],1630198,,,1610612760,7,9,2025-01-17T00:47:00Z,730000,False,,,0,,SUB in: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M26.00S,2025-01-17T00:47:22.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630198,74.19513797634691,11.27450980392157,1610612760,10,9,2025-01-17T00:47:40Z,740000,False,-194.0,190.0,1,right,I. Joe 27' 3PT pullup (3 PTS) (S. Gilgeous-Alexander 2 AST),"[1630198, 1628983]",1610612760.0,OKC,pullup,,,Joe,I. Joe,,,,,Above the Break 3,24+ Left Center,,,,,,27.13,Made,3.0,S. Gilgeous-Alexander,1628983.0,2.0,,,,,,,,,
76,PT06M08.00S,2025-01-17T00:47:40.8Z,1,REGULAR,3pt,Jump Shot,[],1629622,2.9730617608409986,97.05882352941177,1610612739,10,12,2025-01-17T00:47:44Z,760000,False,-235.0,-25.0,1,left,M. Strus 3PT  (3 PTS) (C. LeVert 1 AST),"[1629622, 1627747]",1610612739.0,CLE,,,,Strus,M. Strus,,,,,Left Corner 3,24+ Left,,,,,,23.66,Made,3.0,C. LeVert,1627747.0,1.0,,,,,,,,,
78,PT05M45.00S,2025-01-17T00:48:03.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,81.68528252299606,35.53921568627451,1610612760,10,12,2025-01-17T00:48:07Z,780000,False,-72.0,120.0,1,right,MISS S. Gilgeous-Alexander 13' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Left,,,,,,13.98,Missed,,,,,,,,,,,,,
