actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-02-08T01:12:25.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-08T01:12:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-08T01:12:28.0Z,1,REGULAR,jumpball,recovered,[],1630193,,,1610612761,0,0,2025-02-08T01:12:28Z,40000,False,,,0,,Jump Ball J. Mogbo vs. C. Holmgren: Tip to I. Quickley,"[1630193, 1642367, 1631096]",1610612761.0,TOR,startperiod,I. Quickley,1630193.0,Quickley,I. Quickley,Mogbo,1642367.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-02-08T01:12:39.5Z,1,REGULAR,3pt,Jump Shot,[],1630193,33.459264126149804,35.78431372549019,1610612761,0,3,2025-02-08T01:12:44Z,70000,False,71.0,262.0,1,left,I. Quickley 27' 3PT  (3 PTS) (S. Barnes 1 AST),"[1630193, 1630567]",1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Center,27.15,Made,3.0,S. Barnes,1630567.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2025-02-08T01:12:58.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,94.43166885676742,47.30392156862745,1610612760,2,3,2025-02-08T01:13:01Z,90000,False,-13.0,0.0,1,right,A. Wiggins driving finger roll Layup (2 PTS),[1630598],1610612760.0,OKC,driving finger roll,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,1.35,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2025-02-08T01:13:03.8Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,2,3,2025-02-08T01:14:05Z,100000,False,,,0,,S. Barnes bad pass TURNOVER (1 TO),"[1630567, 1631096]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Center,,,,,,,1.0,Holmgren,1631096.0,,,,,,,,,,,
11,PT11M21.00S,2025-02-08T01:13:03.8Z,1,REGULAR,steal,,[],1631096,,,1610612760,2,3,2025-02-08T01:13:05Z,110000,False,,,0,,C. Holmgren STEAL (1 STL),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2025-02-08T01:13:09.3Z,1,REGULAR,turnover,bad pass,[],1628983,,,1610612760,2,3,2025-02-08T01:13:12Z,120000,False,,,0,,S. Gilgeous-Alexander bad pass TURNOVER (1 TO),"[1628983, 1630534]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,,,,,,,1.0,Agbaji,1630534.0,,,,,,,,,,,
13,PT11M16.00S,2025-02-08T01:13:09.3Z,1,REGULAR,steal,,[],1630534,,,1610612761,2,3,2025-02-08T01:13:10Z,130000,False,,,0,,O. Agbaji STEAL (1 STL),[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
14,PT11M08.00S,2025-02-08T01:13:16.4Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1641711,7.30946123521682,64.70588235294117,1610612761,2,3,2025-02-08T01:14:39Z,140000,False,-74.0,16.0,1,left,MISS G. Dick 7' fadeaway Shot,[1641711],1610612761.0,TOR,fadeaway,,,Dick,G. Dick,,,,,In The Paint (Non-RA),0-8 Center,7.53,Missed,,,,,,,,,,,,,,,,,,
15,PT11M06.00S,2025-02-08T01:13:18.4Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,2,3,2025-02-08T01:13:19Z,150000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,
16,PT10M46.00S,2025-02-08T01:13:39.9Z,1,REGULAR,turnover,out-of-bounds,[],1631114,,,1610612760,2,3,2025-02-08T01:13:47Z,160000,False,,,0,,J. Williams lost ball out-of-bounds TURNOVER (1 TO),[1631114],1610612760.0,OKC,lost ball,,,Williams,J. Williams,,,,,Mid-Range,8-16 Right,,,,,,,1.0,,,,,,,,,,,,,
18,PT10M29.00S,2025-02-08T01:14:04.8Z,1,REGULAR,turnover,lost ball,[],1630193,,,1610612761,2,3,2025-02-08T01:19:36Z,180000,False,,,0,,I. Quickley lost ball TURNOVER (1 TO),"[1630193, 1628983]",1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,1.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,
19,PT10M29.00S,2025-02-08T01:14:04.8Z,1,REGULAR,steal,,[],1628983,,,1610612760,2,3,2025-02-08T01:14:06Z,190000,False,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
20,PT10M22.00S,2025-02-08T01:14:11.7Z,1,REGULAR,turnover,lost ball,[],1631096,,,1610612760,2,3,2025-02-08T01:14:15Z,200000,False,,,0,,C. Holmgren lost ball TURNOVER (1 TO),"[1631096, 1642367]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Mid-Range,16-24 Center,,,,,,,1.0,Mogbo,1642367.0,,,,,,,,,,,
21,PT10M22.00S,2025-02-08T01:14:11.7Z,1,REGULAR,steal,,[],1642367,,,1610612761,2,3,2025-02-08T01:14:13Z,210000,False,,,0,,J. Mogbo STEAL (1 STL),[1642367],1610612761.0,TOR,,,,Mogbo,J. Mogbo,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M14.00S,2025-02-08T01:14:19.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1641711,6.521024967148489,39.21568627450981,1610612761,2,3,2025-02-08T01:16:16Z,220000,False,54.0,9.0,1,left,MISS G. Dick running Layup,[1641711],1610612761.0,TOR,running,,,Dick,G. Dick,,,,,In The Paint (Non-RA),0-8 Center,5.46,Missed,,,,,,,,,,,,,,,,,,
23,PT10M11.00S,2025-02-08T01:14:22.2Z,1,REGULAR,rebound,offensive,[],1641711,,,1610612761,2,3,2025-02-08T01:19:53Z,230000,False,,,0,,G. Dick REBOUND (Off:1 Def:0),[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,22.0,1.0,0.0,1.0,,,,,,,
