actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-02-02T01:12:10.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-02T01:12:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-02T01:12:12.6Z,1,REGULAR,jumpball,recovered,[],1628368,,,1610612758,0,0,2025-02-02T01:12:12Z,40000,False,,,0,,Jump Ball D. Sabonis vs. I. Hartenstein: Tip to D. Fox,"[1628368, 1627734, 1628392]",1610612758.0,SAC,startperiod,D. Fox,1628368.0,Fox,D. Fox,Sabonis,1627734.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-02-02T01:12:23.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,84.31340341655716,45.83333333333333,1610612758,0,0,2025-02-02T01:12:31Z,70000,False,-21.0,95.0,1,right,MISS D. Fox 9' turnaround Shot,[1628368],1610612758.0,SAC,turnaround,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,9.73,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-02-02T01:12:26.8Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,0,0,2025-02-02T01:12:31Z,80000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2025-02-02T01:12:42.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,16.113666228646515,55.14705882352941,1610612760,2,0,2025-02-02T01:14:04Z,90000,False,-26.0,99.0,1,left,S. Gilgeous-Alexander 10' fadeaway Jump Shot (2 PTS),[1628983],1610612760.0,OKC,fadeaway,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,10.23,Made,,,,,2.0,,,,,,,,,,,,,
11,PT11M12.00S,2025-02-02T01:12:56.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,86.15308804204993,34.55882352941176,1610612758,2,2,2025-02-02T01:13:02Z,110000,False,-77.0,78.0,1,right,D. DeRozan 10' turnaround Jump Shot (2 PTS),[201942],1610612758.0,SAC,turnaround,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Left,10.95,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M58.00S,2025-02-02T01:13:11.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628392,5.075558475689881,61.76470588235294,1610612760,4,2,2025-02-02T01:13:16Z,120000,False,-59.0,-5.0,1,left,I. Hartenstein Layup (2 PTS) (S. Gilgeous-Alexander 1 AST),"[1628392, 1628983]",1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,5.9,Made,,,,,2.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,
14,PT10M44.00S,2025-02-02T01:13:24.4Z,1,REGULAR,3pt,Jump Shot,[],1631099,68.15045992115637,22.058823529411764,1610612758,4,5,2025-02-02T01:13:29Z,140000,False,-140.0,247.0,1,right,K. Murray 28' 3PT  (3 PTS) (D. DeRozan 1 AST),"[1631099, 201942]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,28.37,Made,,,,,3.0,D. DeRozan,201942.0,1.0,,,,,,,,,,
16,PT10M31.00S,2025-02-02T01:13:37.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,7.178055190538765,49.754901960784316,1610612760,4,5,2025-02-02T01:15:31Z,160000,False,1.0,15.0,1,left,MISS S. Gilgeous-Alexander driving floating Shot,[1628983],1610612760.0,OKC,driving floating,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,1.5,Missed,,,,,,,,,,,,,,,,,,
17,PT10M28.00S,2025-02-02T01:13:40.6Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612760,4,5,2025-02-02T01:13:40Z,170000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:1),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,16.0,2.0,1.0,1.0,,,,,,,,,,,,,,
18,PT10M28.00S,2025-02-02T01:13:40.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628392,5.590000152587891,50.0,1610612760,4,5,2025-02-02T01:13:40Z,180000,False,0.0,0.0,1,left,MISS I. Hartenstein tip Layup,[1628392],1610612760.0,OKC,tip,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
