actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
390,PT07M07.00S,2025-03-20T01:29:34.7Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612760,83,61,2025-03-20T01:31:45Z,3870000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,389.0,,,,,,,,,,,,,
392,PT07M07.00S,2025-03-20T01:29:58.3Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,83,61,2025-03-20T01:31:45Z,3890000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,PT07M07.00S,2025-03-20T01:31:38.1Z,3,REGULAR,substitution,out,[],1630598,,,1610612760,83,61,2025-03-20T01:32:02Z,3910000,False,,,0,,SUB out: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
395,PT07M07.00S,2025-03-20T01:31:38.1Z,3,REGULAR,substitution,out,[],1630215,,,1610612760,83,61,2025-03-20T01:32:02Z,3920000,False,,,0,,SUB out: J. Butler,[1630215],1610612755.0,PHI,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
396,PT07M07.00S,2025-03-20T01:31:38.1Z,3,REGULAR,substitution,out,[],1629052,,,1610612760,83,61,2025-03-20T01:32:02Z,3930000,False,,,0,,SUB out: O. Brissett,[1629052],1610612755.0,PHI,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,,,
397,PT07M07.00S,2025-03-20T01:31:38.1Z,3,REGULAR,substitution,in,[],1629026,,,1610612760,83,61,2025-03-20T01:32:02Z,3940000,False,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
398,PT07M07.00S,2025-03-20T01:31:38.1Z,3,REGULAR,substitution,in,[],1641720,,,1610612760,83,61,2025-03-20T01:32:02Z,3950000,False,,,0,,SUB in: J. Hood-Schifino,[1641720],1610612755.0,PHI,,,,Hood-Schifino,J. Hood-Schifino,,,,,,,,,,,,,,,,,,,,,,,,,,
399,PT07M07.00S,2025-03-20T01:31:38.1Z,3,REGULAR,substitution,in,[],1629643,,,1610612760,83,61,2025-03-20T01:32:02Z,3960000,False,,,0,,SUB in: C. Okeke,[1629643],1610612755.0,PHI,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,,
400,PT07M00.00S,2025-03-20T01:32:48.7Z,3,REGULAR,turnover,out-of-bounds,[],1630198,,,1610612760,83,61,2025-03-20T01:32:54Z,3970000,False,,,0,,I. Joe bad pass out-of-bounds TURNOVER (3 TO),[1630198],1610612760.0,OKC,bad pass,,,Joe,I. Joe,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1628951.0,3.0,,,,,,,,
401,PT06M47.00S,2025-03-20T01:33:11.3Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1627824,33.85348226018397,50.98039215686274,1610612755,83,61,2025-03-20T01:33:17Z,3980000,False,-5.0,266.0,1,left,MISS G. Yabusele 26' 3PT,[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Center,26.57,Missed,,,,,,,,,,,,,,,,,,
402,PT06M43.00S,2025-03-20T01:33:14.5Z,3,REGULAR,rebound,offensive,[],1629643,,,1610612755,83,61,2025-03-20T01:33:14Z,3990000,False,,,0,,C. Okeke REBOUND (Off:5 Def:7),[1629643],1610612755.0,PHI,,,,Okeke,C. Okeke,,,,,Above the Break 3,24+ Center,,,,,,,401.0,12.0,7.0,5.0,,,,,,,,,,
403,PT06M41.00S,2025-03-20T01:33:17.3Z,3,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1642348,2.3160315374507228,95.58823529411765,1610612755,83,64,2025-03-20T01:33:22Z,4000000,False,-228.0,-31.0,1,left,J. Edwards 3PT  (12 PTS) (G. Yabusele 2 AST),"[1642348, 1627824]",1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Left Corner 3,24+ Left,23.0,Made,12.0,G. Yabusele,1627824.0,2.0,,,,,,,,,,,,,,
405,PT06M28.00S,2025-03-20T01:33:30.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1631119,93.51182654402102,64.2156862745098,1610612760,83,64,2025-03-20T01:33:37Z,4020000,False,71.0,8.0,1,right,MISS J. Williams 7' driving Layup,[1631119],1610612760.0,OKC,driving,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,7.16,Missed,,,,,,,,,,,,,,,,,,
406,PT06M26.00S,2025-03-20T01:33:32.1Z,3,REGULAR,rebound,defensive,[],1642348,,,1610612755,83,64,2025-03-20T01:33:37Z,4030000,False,,,0,,J. Edwards REBOUND (Off:0 Def:2),[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,405.0,2.0,2.0,0.0,,,,,,,,,,
409,PT06M22.00S,2025-03-20T01:33:45.1Z,3,REGULAR,turnover,offensive goaltending,[],1642348,,,1610612755,83,64,2025-03-20T01:34:16Z,4060000,False,,,0,,J. Edwards offensive goaltending TURNOVER (2 TO),[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,201245.0,2.0,,,,,,,,
411,PT06M11.00S,2025-03-20T01:34:28.0Z,3,REGULAR,foul,personal,[],1629656,,,1610612760,83,64,2025-03-20T01:34:33Z,4080000,False,,,0,,Q. Grimes personal FOUL (3 PF),"[1629656, 1630198]",1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Left Corner 3,24+ Left,,,,,,,,,,,204058.0,,3.0,0.0,Joe,1630198.0,,,,
413,PT06M04.00S,2025-03-20T01:34:57.8Z,3,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641720,,,1610612760,83,64,2025-03-20T01:35:14Z,4100000,False,,,0,,J. Hood-Schifino shooting personal FOUL (1 PF) (Williams 2 FT),"[1641720, 1631119]",1610612755.0,PHI,shooting,,,Hood-Schifino,J. Hood-Schifino,,,,,Restricted Area,0-8 Center,,,,,,,,,,,201245.0,,1.0,0.0,Williams,1631119.0,,,,
