actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-04-01T00:10:42.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-01T00:10:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-04-01T00:10:43.7Z,1,REGULAR,jumpball,recovered,[],1631114,,,1610612760,0,0,2025-04-01T00:10:43Z,40000,False,,,0,,Jump Ball C. Holmgren vs. N. Vučević: Tip to J. Williams,"[1631114, 1631096, 202696]",1610612760.0,OKC,startperiod,J. Williams,1631114.0,Williams,J. Williams,Holmgren,1631096.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-04-01T00:10:57.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631096,91.98423127463863,45.630361519607845,1610612760,0,0,2025-04-01T00:11:21Z,70000,False,-22.0,23.0,1,right,MISS C. Holmgren driving Layup - blocked,"[1631096, 1641824]",1610612760.0,OKC,driving,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,3.15,Missed,Buzelis,1641824.0,,,,,,,,,,,,,,,,
8,PT11M46.00S,2025-04-01T00:10:57.0Z,1,REGULAR,block,,[],1641824,,,1610612760,0,0,2025-04-01T00:10:59Z,80000,False,,,0,,M. Buzelis BLOCK (1 BLK),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M45.00S,2025-04-01T00:10:58.0Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,0,0,2025-04-01T00:11:21Z,90000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:1),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M40.00S,2025-04-01T00:11:02.6Z,1,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612741,0,0,2025-04-01T00:11:30Z,100000,False,,,0,,L. Dort shooting personal FOUL (1 PF) (White 2 FT),"[1629652, 1629632]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,Mid-Range,8-16 Right,,,,,,,,,1627529.0,1.0,0.0,White,1629632.0,,,,,,,
12,PT11M40.00S,2025-04-01T00:11:30.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629632,,,1610612741,0,1,2025-04-01T00:12:06Z,120000,False,,,0,,C. White Free Throw 1 of 2 (1 PTS),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
13,PT11M40.00S,2025-04-01T00:11:30.9Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629632,,,1610612741,0,2,2025-04-01T00:12:06Z,130000,False,,,0,,C. White Free Throw 2 of 2 (2 PTS),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,Made,,,,,,,,,,,,2.0,,,,,,
14,PT11M32.00S,2025-04-01T00:11:56.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628392,90.93298291721419,54.11305147058824,1610612760,0,2,2025-04-01T00:13:00Z,140000,False,21.0,33.0,1,right,MISS I. Hartenstein driving Layup,[1628392],1610612760.0,OKC,driving,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,3.86,Missed,,,,,,,,,,,,,,,,,,
16,PT11M31.00S,2025-04-01T00:11:57.5Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,0,2,2025-04-01T00:13:00Z,160000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:2),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,
