actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-09T17:10:40.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-09T17:10:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-03-09T17:10:45.6Z,1,REGULAR,jumpball,recovered,[],1629008,,,1610612743,0,0,2025-03-09T17:10:45Z,40000,False,,,0,,Jump Ball N. Jokić vs. C. Holmgren: Tip to M. Porter Jr.,"[1629008, 203999, 1631096]",1610612743.0,DEN,startperiod,M. Porter Jr.,1629008.0,Porter Jr.,M. Porter Jr.,Jokić,203999.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2025-03-09T17:11:00.6Z,1,REGULAR,3pt,Jump Shot,[],1627750,75.64060446780552,12.990196078431374,1610612743,0,0,2025-03-09T17:11:37Z,70000,False,-185.0,176.0,1,right,MISS J. Murray 25' pullup 3PT,[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,25.57,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2025-03-09T17:11:03.6Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,0,0,2025-03-09T17:11:05Z,80000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2025-03-09T17:11:14.4Z,1,REGULAR,3pt,Jump Shot,[],1631114,29.77989487516426,26.47058823529412,1610612760,0,0,2025-03-09T17:11:19Z,90000,False,118.0,227.0,1,left,MISS J. Williams 25' pullup 3PT,[1631114],1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,25.6,Missed,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2025-03-09T17:11:17.4Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2025-03-09T17:11:19Z,100000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M14.00S,2025-03-09T17:11:25.3Z,1,REGULAR,3pt,Jump Shot,[],203932,95.22010512483574,94.85294117647058,1610612743,0,3,2025-03-09T17:11:32Z,110000,False,224.0,-8.0,1,right,A. Gordon 3PT  (3 PTS) (J. Murray 1 AST),"[203932, 1627750]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Right Corner 3,24+ Right,22.44,Made,,,,,3.0,J. Murray,1627750.0,1.0,,,,,,,,,,
13,PT10M57.00S,2025-03-09T17:11:43.5Z,1,REGULAR,turnover,out-of-bounds,[],1631114,,,1610612760,0,3,2025-03-09T17:11:59Z,130000,False,,,0,,J. Williams bad pass out-of-bounds TURNOVER (1 TO),[1631114],1610612760.0,OKC,bad pass,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,1628171.0,1.0,,,,,,,,
15,PT10M37.00S,2025-03-09T17:12:59.6Z,1,REGULAR,jumpball,recovered,[],0,,,1610612743,0,3,2025-03-09T17:12:59Z,150000,False,,,0,,Jump Ball M. Porter Jr. vs. I. Hartenstein: Tip to Team (DEN),"[1629008, 1628392]",1610612743.0,DEN,heldball,Team (DEN),,,,Porter Jr.,1629008.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
19,PT10M37.00S,2025-03-09T17:13:11.0Z,1,REGULAR,foul,personal,[],1631096,,,1610612743,0,3,2025-03-09T17:13:18Z,190000,False,,,0,,C. Holmgren personal FOUL (1 PF),"[1631096, 203932]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1155.0,,1.0,0.0,Gordon,203932.0,,,,
