actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-02-04T01:10:44.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-04T01:10:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-02-04T01:10:47.0Z,1,REGULAR,jumpball,recovered,[],1630598,,,1610612760,0,0,2025-02-04T01:10:47Z,40000,False,,,0,,Jump Ball I. Hartenstein vs. C. Livingston: Tip to A. Wiggins,"[1630598, 1628392, 1641753]",1610612760.0,OKC,startperiod,A. Wiggins,1630598.0,Wiggins,A. Wiggins,Hartenstein,1628392.0,Livingston,1641753.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-02-04T01:11:01.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,6.915243101182654,43.13725490196079,1610612760,2,0,2025-02-04T01:11:05Z,70000,False,34.0,13.0,1,left,A. Wiggins driving finger roll Layup (2 PTS),[1630598],1610612760.0,OKC,driving finger roll,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,3.65,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2025-02-04T01:11:16.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627752,85.3646517739816,35.53921568627451,1610612749,2,0,2025-02-04T01:11:44Z,80000,False,-72.0,85.0,1,right,MISS T. Prince 11' driving floating Shot,[1627752],1610612749.0,MIL,driving floating,,,Prince,T. Prince,,,,,In The Paint (Non-RA),8-16 Left,11.17,Missed,,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2025-02-04T01:11:18.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,2,0,2025-02-04T01:11:25Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,8.0,,,,,,,,,,,,,,,,
11,PT11M21.00S,2025-02-04T01:11:40.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641753,92.19776609724047,51.225490196078425,1610612749,2,2,2025-02-04T01:11:45Z,110000,False,6.0,21.0,1,right,C. Livingston cutting Layup (2 PTS) (R. Rollins 1 AST),"[1641753, 1631157]",1610612749.0,MIL,cutting,,,Livingston,C. Livingston,,,,,Restricted Area,0-8 Center,2.17,Made,2.0,,R. Rollins,1631157.0,1.0,,,,,,,,,,,,,
13,PT11M11.00S,2025-02-04T01:11:49.4Z,1,REGULAR,3pt,Jump Shot,[],1629652,23.078186596583443,86.02941176470588,1610612760,5,2,2025-02-04T01:11:54Z,130000,False,-180.0,164.0,1,left,L. Dort 24' 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1629652, 1628983]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,24.39,Made,3.0,,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,,,,
15,PT10M59.00S,2025-02-04T01:12:01.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641748,92.85479632063075,36.51960784313725,1610612749,5,2,2025-02-04T01:12:53Z,150000,False,-67.0,15.0,1,right,MISS A. Jackson Jr. 6' driving Layup,[1641748],1610612749.0,MIL,driving,,,Jackson Jr.,A. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,6.9,Missed,,,,,,,,,,,,,,,,,,
16,PT10M58.00S,2025-02-04T01:12:02.7Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,5,2,2025-02-04T01:12:06Z,160000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,,15.0,,,,1.0,1.0,0.0,,,,,,,,,,
17,PT10M52.00S,2025-02-04T01:12:09.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629026,5.732588699080158,46.81372549019608,1610612760,5,2,2025-02-04T01:13:28Z,170000,False,16.0,1.0,1,left,MISS K. Williams running reverse Layup - blocked,"[1629026, 1641748]",1610612760.0,OKC,running reverse,,,Williams,K. Williams,,,,,Restricted Area,0-8 Center,1.6,Missed,,,,,,,,,Jackson Jr.,1641748.0,,,,,,,,
18,PT10M52.00S,2025-02-04T01:12:09.9Z,1,REGULAR,block,,[],1641748,,,1610612760,5,2,2025-02-04T01:12:12Z,180000,False,,,0,,A. Jackson Jr. BLOCK (1 BLK),[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M49.00S,2025-02-04T01:12:12.9Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612749,5,2,2025-02-04T01:12:13Z,190000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,,,,17.0,,,,1.0,1.0,0.0,,,,,,,,,,
20,PT10M45.00S,2025-02-04T01:12:15.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631157,93.11760840998686,48.529411764705884,1610612749,5,4,2025-02-04T01:13:49Z,200000,False,-7.0,12.0,1,right,R. Rollins running finger roll Layup (2 PTS) (T. Prince 1 AST),"[1631157, 1627752]",1610612749.0,MIL,running finger roll,,,Rollins,R. Rollins,,,,,Restricted Area,0-8 Center,1.43,Made,2.0,,T. Prince,1627752.0,1.0,,,,,,,,,,,,,
