actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-03-22T00:10:31.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-22T00:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-22T00:10:33.8Z,1,REGULAR,jumpball,recovered,[],1642354,,,1610612766,0,0,2025-03-22T00:10:33Z,40000,False,,,0,,Jump Ball J. Nurkić vs. C. Holmgren: Tip to K. Simpson,"[1642354, 203994, 1631096]",1610612766.0,CHA,startperiod,K. Simpson,1642354.0,Simpson,K. Simpson,Nurkić,203994.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-03-22T00:10:52.2Z,1,REGULAR,turnover,out-of-bounds,[],1630182,,,1610612766,0,0,2025-03-22T00:13:25Z,70000,False,,,0,,J. Green bad pass out-of-bounds TURNOVER (1 TO),[1630182],1610612766.0,CHA,bad pass,,,Green,J. Green,,,,,Above the Break 3,24+ Center,1151.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2025-03-22T00:11:20.6Z,1,REGULAR,violation,kicked ball,[],203994,,,1610612760,0,0,2025-03-22T00:11:27Z,80000,False,,,0,,J. Nurkić kicked ball VIOLATION,[203994],1610612766.0,CHA,,,,Nurkić,J. Nurkić,,,,,,,1151.0,,,,,,,,,,,,,,,,,,,
9,PT11M15.00S,2025-03-22T00:11:49.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628392,91.93495400788436,48.77450980392157,1610612760,0,0,2025-03-22T00:13:44Z,90000,False,-6.0,23.0,1,right,MISS I. Hartenstein cutting Layup - blocked,"[1628392, 203994]",1610612760.0,OKC,cutting,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,2.41,Missed,Nurkić,203994.0,,,,,,,,,,,,,,
10,PT11M15.00S,2025-03-22T00:11:49.0Z,1,REGULAR,block,,[],203994,,,1610612760,0,0,2025-03-22T00:11:54Z,100000,False,,,0,,J. Nurkić BLOCK (1 BLK),[203994],1610612766.0,CHA,,,,Nurkić,J. Nurkić,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M13.00S,2025-03-22T00:11:51.0Z,1,REGULAR,rebound,defensive,[],203994,,,1610612766,0,0,2025-03-22T00:12:01Z,110000,False,,,0,,J. Nurkić REBOUND (Off:0 Def:1),[203994],1610612766.0,CHA,,,,Nurkić,J. Nurkić,,,,,Restricted Area,0-8 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M04.00S,2025-03-22T00:12:00.3Z,1,REGULAR,3pt,Jump Shot,[],1628970,22.28975032851511,89.2156862745098,1610612766,0,0,2025-03-22T00:12:06Z,120000,False,-196.0,157.0,1,left,MISS M. Bridges 25' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,25.12,Missed,,,,,,,,,,,,,,,,
13,PT11M00.00S,2025-03-22T00:12:04.3Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,0,0,2025-03-22T00:12:06Z,130000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Left Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M56.00S,2025-03-22T00:12:07.6Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1631096,72.35545335085413,69.85294117647058,1610612760,0,0,2025-03-22T02:15:50Z,140000,False,99.0,207.0,1,right,MISS C. Holmgren 22' running pullup Shot,[1631096],1610612760.0,OKC,running pullup,,,Holmgren,C. Holmgren,,,,,Mid-Range,16-24 Right Center,,,22.99,Missed,,,,,,,,,,,,,,,,
