actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-11-12T01:11:02.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-12T01:11:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-11-12T01:11:05.6Z,1,REGULAR,jumpball,recovered,[],1626181,,,1610612746,0,0,2024-11-12T01:11:05Z,40000,False,,,0,,Jump Ball I. Zubac vs. J. Williams: Tip to N. Powell,"[1626181, 1627826, 1631114]",1610612746.0,LAC,startperiod,N. Powell,1626181.0,Powell,N. Powell,Zubac,1627826.0,Williams,1631114.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-11-12T01:11:17.5Z,1,REGULAR,turnover,lost ball,[],1627826,,,1610612746,0,0,2024-11-12T01:11:22Z,70000,False,,,0,,I. Zubac lost ball TURNOVER (1 TO),"[1627826, 1631114]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,1.0,Williams,1631114.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2024-11-12T01:11:17.5Z,1,REGULAR,steal,,[],1631114,,,1610612760,0,0,2024-11-12T01:11:19Z,80000,False,,,0,,J. Williams STEAL (1 STL),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2024-11-12T01:11:22.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630198,93.38042049934296,49.50980392156863,1610612760,2,0,2024-11-12T01:11:26Z,90000,False,-2.0,10.0,1,right,I. Joe running Layup (2 PTS) (S. Gilgeous-Alexander 1 AST),"[1630198, 1628983]",1610612760.0,OKC,running,,,Joe,I. Joe,,,,,Restricted Area,0-8 Center,,,,1.0,Made,2.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,,
11,PT11M16.00S,2024-11-12T01:11:45.1Z,1,REGULAR,3pt,Jump Shot,[],201935,22.421156373193167,8.823529411764707,1610612746,2,3,2024-11-12T01:11:49Z,110000,False,206.0,158.0,1,left,J. Harden 25' 3PT  (3 PTS) (D. Jones Jr. 1 AST),"[201935, 1627884]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,,,,25.97,Made,3.0,D. Jones Jr.,1627884.0,1.0,,,,,,,,,,,
13,PT10M59.00S,2024-11-12T01:12:01.8Z,1,REGULAR,3pt,Jump Shot,[],1630598,93.51182654402102,3.9215686274509802,1610612760,5,3,2024-11-12T01:12:05Z,130000,False,-230.0,8.0,1,right,A. Wiggins 3PT  (3 PTS) (S. Gilgeous-Alexander 2 AST),"[1630598, 1628983]",1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Left Corner 3,24+ Left,,,,23.06,Made,3.0,S. Gilgeous-Alexander,1628983.0,2.0,,,,,,,,,,,
15,PT10M36.00S,2024-11-12T01:12:25.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,9.149145860709593,60.5392156862745,1610612746,5,3,2024-11-12T01:12:29Z,150000,False,-53.0,34.0,1,left,MISS J. Harden 6' driving Layup - blocked,"[201935, 1628983]",1610612746.0,LAC,driving,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,,6.24,Missed,,,,,Gilgeous-Alexander,1628983.0,,,,,,,,,
16,PT10M36.00S,2024-11-12T01:12:25.6Z,1,REGULAR,block,,[],1628983,,,1610612746,5,3,2024-11-12T01:12:28Z,160000,False,,,0,,S. Gilgeous-Alexander BLOCK (1 BLK),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M33.00S,2024-11-12T01:12:28.6Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,5,3,2024-11-12T01:12:29Z,170000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
