actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-23T01:10:52.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-23T01:10:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-01-23T01:10:54.1Z,1,REGULAR,jumpball,recovered,[],1628983,,,1610612760,0,0,2025-01-23T01:10:54Z,40000,False,,,0,,Jump Ball J. Williams vs. W. Kessler: Tip to S. Gilgeous-Alexander,"[1628983, 1631119, 1631117]",1610612760.0,OKC,startperiod,S. Gilgeous-Alexander,1628983.0,Gilgeous-Alexander,S. Gilgeous-Alexander,Williams,1631119.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2025-01-23T01:11:13.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,93.38042049934296,53.431372549019606,1610612760,0,0,2025-01-23T01:11:19Z,70000,False,17.0,10.0,1,right,MISS A. Wiggins driving reverse Layup - blocked,"[1630598, 1628381]",1610612760.0,OKC,driving reverse,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,1.97,Missed,Collins,1628381.0,,,,,,,,,,,,,,,,
17,PT11M37.00S,2025-01-23T01:11:13.4Z,1,REGULAR,block,,[],1628381,,,1610612760,0,0,2025-01-23T01:12:09Z,75000,False,,,0,,J. Collins BLOCK (1 BLK),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2025-01-23T01:11:15.4Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,0,0,2025-01-23T01:11:19Z,80000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
9,PT11M27.00S,2025-01-23T01:11:23.1Z,1,REGULAR,turnover,bad pass,[],1629012,,,1610612762,0,0,2025-01-23T01:11:26Z,90000,False,,,0,,C. Sexton bad pass TURNOVER (1 TO),"[1629012, 1628983]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,,,,,,,,,1.0,Gilgeous-Alexander,1628983.0,,,,,,,,,
10,PT11M27.00S,2025-01-23T01:11:23.1Z,1,REGULAR,steal,,[],1628983,,,1610612760,0,0,2025-01-23T01:11:24Z,100000,False,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M19.00S,2025-01-23T01:11:31.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631119,66.70499342969777,47.30392156862745,1610612760,3,0,2025-01-23T01:11:35Z,110000,False,-13.0,260.0,1,right,J. Williams 26' 3PT  (3 PTS) (L. Dort 1 AST),"[1631119, 1629652]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Center,26.08,Made,,,,,,,,,,3.0,L. Dort,1629652.0,1.0,,,,,
13,PT11M04.00S,2025-01-23T01:11:47.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628381,5.338370565045992,53.67647058823529,1610612762,3,2,2025-01-23T01:11:54Z,130000,False,-18.0,-2.0,1,left,J. Collins alley-oop DUNK (2 PTS) (W. Kessler 1 AST),"[1628381, 1631117]",1610612762.0,UTA,alley-oop,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,1.85,Made,,,,,,,,,,2.0,W. Kessler,1631117.0,1.0,,,,,
15,PT10M53.00S,2025-01-23T01:11:57.5Z,1,REGULAR,3pt,Jump Shot,[],1631119,70.64717477003943,78.18627450980392,1610612760,3,2,2025-01-23T01:12:01Z,150000,False,141.0,223.0,1,right,MISS J. Williams 26' 3PT,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,26.41,Missed,,,,,,,,,,,,,,,,,,
