actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-20T00:11:29.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-20T00:11:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-01-20T00:11:32.0Z,1,REGULAR,jumpball,recovered,[],1629652,,,1610612760,0,0,2025-01-20T00:11:32Z,40000,False,,,0,,Jump Ball J. Williams vs. N. Claxton: Tip to L. Dort,"[1629652, 1631119, 1629651]",1610612760.0,OKC,startperiod,L. Dort,1629652.0,Dort,L. Dort,Williams,1631119.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2025-01-20T00:11:51.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641717,14.668199737187912,39.705882352941174,1610612760,0,0,2025-01-20T00:11:56Z,70000,False,51.0,85.0,1,left,MISS C. Wallace 9' pullup Shot - blocked,"[1641717, 1630533]",1610612760.0,OKC,pullup,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),8-16 Center,9.97,Missed,Williams,1630533.0,,,,,,,,,,,,,,,,
8,PT11M37.00S,2025-01-20T00:11:51.5Z,1,REGULAR,block,,[],1630533,,,1610612760,0,0,2025-01-20T00:16:09Z,80000,False,,,0,,Z. Williams BLOCK (1 BLK),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2025-01-20T00:11:55.5Z,1,REGULAR,rebound,defensive,[],1641730,,,1610612751,0,0,2025-01-20T00:11:56Z,90000,False,,,0,,N. Clowney REBOUND (Off:0 Def:1),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),8-16 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M30.00S,2025-01-20T00:11:58.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630533,89.83245729303549,95.34313725490196,1610612751,0,0,2025-01-20T00:13:51Z,100000,False,227.0,43.0,1,right,MISS Z. Williams running 3PT,[1630533],1610612751.0,BKN,running,,,Williams,Z. Williams,,,,,Right Corner 3,24+ Right,23.08,Missed,,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2025-01-20T00:12:00.4Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,0,0,2025-01-20T00:12:02Z,110000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Right Corner 3,24+ Right,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M22.00S,2025-01-20T00:12:06.7Z,1,REGULAR,3pt,Jump Shot,[],1641717,4.812746386333772,4.166666666666666,1610612760,3,0,2025-01-20T00:12:10Z,120000,False,229.0,-7.0,1,left,C. Wallace 3PT  (3 PTS) (I. Joe 1 AST),"[1641717, 1630198]",1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Right Corner 3,24+ Right,22.93,Made,,,,,,,3.0,I. Joe,1630198.0,1.0,,,,,,,,
14,PT10M54.00S,2025-01-20T00:12:33.9Z,1,REGULAR,3pt,Jump Shot,[],1641730,73.27529566360053,82.84313725490196,1610612751,3,0,2025-01-20T00:12:40Z,140000,False,164.0,199.0,1,right,MISS N. Clowney 25' 3PT - blocked,"[1641730, 1641717]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Right Center,25.78,Missed,Wallace,1641717.0,,,,,,,,,,,,,,,,
15,PT10M54.00S,2025-01-20T00:12:33.9Z,1,REGULAR,block,,[],1641717,,,1610612751,3,0,2025-01-20T00:12:36Z,150000,False,,,0,,C. Wallace BLOCK (1 BLK),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
16,PT10M54.00S,2025-01-20T00:12:33.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,3,0,2025-01-20T00:12:40Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,14.0,,,,,,,,,,,,,,,
17,PT10M54.00S,2025-01-20T00:12:38.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612751,3,0,2025-01-20T00:12:44Z,170000,False,,,0,,BKN shot clock Team TURNOVER,[],1610612751.0,BKN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1628480.0,,,,,,,
18,PT10M39.00S,2025-01-20T00:13:03.0Z,1,REGULAR,turnover,lost ball,[],1631119,,,1610612760,3,0,2025-01-20T00:13:10Z,180000,False,,,0,,J. Williams lost ball TURNOVER (1 TO),"[1631119, 1630533]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,1.0,Williams,1630533.0,,,,
19,PT10M39.00S,2025-01-20T00:13:03.0Z,1,REGULAR,steal,,[],1630533,,,1610612751,3,0,2025-01-20T00:13:04Z,190000,False,,,0,,Z. Williams STEAL (1 STL),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
20,PT10M34.00S,2025-01-20T00:13:13.3Z,1,REGULAR,foul,personal,['2freethrow'],1631119,,,1610612751,3,0,2025-01-20T00:13:18Z,200000,False,,,0,,J. Williams shooting personal FOUL (1 PF) (Clowney 2 FT),"[1631119, 1641730]",1610612760.0,OKC,shooting,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1179.0,,,,1.0,0.0,Clowney,1641730.0
22,PT10M34.00S,2025-01-20T00:13:34.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,3,0,2025-01-20T00:13:34Z,220000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M34.00S,2025-01-20T00:16:35.5Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1641730,,,1610612751,3,1,2025-01-20T00:19:12Z,240000,False,,,0,,N. Clowney Free Throw 1 of 2 (1 PTS),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
25,PT10M34.00S,2025-01-20T00:16:35.5Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1641730,,,1610612751,3,2,2025-01-20T00:19:12Z,250000,False,,,0,,N. Clowney Free Throw 2 of 2 (2 PTS),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
26,PT10M22.00S,2025-01-20T00:17:09.8Z,1,REGULAR,foul,personal,['2freethrow'],1630533,,,1610612760,3,2,2025-01-20T00:17:17Z,260000,False,,,0,,Z. Williams shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1630533, 1628983]",1610612751.0,BKN,shooting,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1179.0,,,,1.0,0.0,Gilgeous-Alexander,1628983.0
28,PT10M22.00S,2025-01-20T00:17:32.5Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,4,2,2025-01-20T00:17:32Z,280000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (1 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
29,PT10M22.00S,2025-01-20T00:17:47.1Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,5,2,2025-01-20T00:17:47Z,290000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (2 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
30,PT10M13.00S,2025-01-20T00:17:59.9Z,1,REGULAR,foul,personal,[],1641717,,,1610612751,5,2,2025-01-20T00:18:06Z,300000,False,,,0,,C. Wallace personal FOUL (1 PF),"[1641717, 1629651]",1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1628480.0,,,,1.0,0.0,Claxton,1629651.0
32,PT10M04.00S,2025-01-20T00:18:26.3Z,1,REGULAR,turnover,bad pass,[],1626156,,,1610612751,5,2,2025-01-20T00:18:31Z,320000,False,,,0,,D. Russell bad pass TURNOVER (1 TO),"[1626156, 1628983]",1610612751.0,BKN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,1.0,Gilgeous-Alexander,1628983.0,,,,
33,PT10M04.00S,2025-01-20T00:18:26.3Z,1,REGULAR,steal,,[],1628983,,,1610612760,5,2,2025-01-20T01:21:28Z,330000,False,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
34,PT09M59.00S,2025-01-20T00:18:30.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641717,4.418528252299605,48.28431372549019,1610612760,5,2,2025-01-20T00:18:34Z,340000,False,9.0,-11.0,1,left,MISS C. Wallace running Layup,[1641717],1610612760.0,OKC,running,,,Wallace,C. Wallace,,,,,Restricted Area,0-8 Center,1.4,Missed,,,,,,,,,,,,,,,,,,
35,PT09M58.00S,2025-01-20T00:18:31.8Z,1,REGULAR,rebound,offensive,[],1628983,,,1610612760,5,2,2025-01-20T00:18:31Z,350000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:1 Def:0),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,34.0,1.0,0.0,1.0,,,,,,,,,,,,
36,PT09M52.00S,2025-01-20T00:18:38.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630198,28.465834428383708,18.137254901960784,1610612760,8,2,2025-01-20T00:18:43Z,360000,False,159.0,215.0,1,left,I. Joe 26' 3PT  (3 PTS) (J. Williams 1 AST),"[1630198, 1631119]",1610612760.0,OKC,,,,Joe,I. Joe,,,,,Above the Break 3,24+ Right Center,26.77,Made,,,,,,,3.0,J. Williams,1631119.0,1.0,,,,,,,,
38,PT09M38.00S,2025-01-20T00:18:51.8Z,1,REGULAR,3pt,Jump Shot,[],1626156,97.84822601839684,95.09803921568627,1610612751,8,2,2025-01-20T00:18:56Z,380000,False,225.0,-32.0,1,right,MISS D. Russell 3PT,[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,Right Corner 3,24+ Right,22.78,Missed,,,,,,,,,,,,,,,,,,
39,PT09M35.00S,2025-01-20T00:18:54.8Z,1,REGULAR,rebound,defensive,[],1630198,,,1610612760,8,2,2025-01-20T00:18:56Z,390000,False,,,0,,I. Joe REBOUND (Off:0 Def:1),[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,Right Corner 3,24+ Right,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,
40,PT09M27.00S,2025-01-20T00:19:02.1Z,1,REGULAR,2pt,Jump Shot,[],1628983,9.280551905387648,28.676470588235293,1610612760,8,2,2025-01-20T00:19:11Z,400000,False,107.0,35.0,1,left,MISS S. Gilgeous-Alexander 11' step back Shot,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Right,11.21,Missed,,,,,,,,,,,,,,,,,,
41,PT09M23.00S,2025-01-20T00:19:06.1Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612751,8,2,2025-01-20T00:19:11Z,410000,False,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Mid-Range,8-16 Right,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,
42,PT09M16.00S,2025-01-20T00:19:13.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,93.51182654402102,52.450980392156865,1610612751,8,2,2025-01-20T00:21:48Z,420000,False,12.0,8.0,1,right,MISS N. Claxton driving Layup,[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,1.5,Missed,,,,,,,,,,,,,,,,,,
43,PT09M14.00S,2025-01-20T00:19:15.9Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,8,2,2025-01-20T00:19:19Z,430000,False,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,42.0,1.0,0.0,1.0,,,,,,,,,,,,
44,PT09M14.00S,2025-01-20T00:19:15.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629651,92.72339027595268,51.470588235294116,1610612751,8,2,2025-01-20T00:21:56Z,440000,False,7.0,16.0,1,right,MISS N. Claxton tip Layup,[1629651],1610612751.0,BKN,tip,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,1.75,Missed,,,,,,,,,,,,,,,,,,
45,PT09M12.00S,2025-01-20T00:19:17.9Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,8,2,2025-01-20T00:19:21Z,450000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:1 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,44.0,2.0,1.0,1.0,,,,,,,,,,,,
46,PT09M07.00S,2025-01-20T00:19:22.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628983,6.258212877792378,52.94117647058824,1610612760,8,2,2025-01-20T00:19:29Z,460000,False,-15.0,6.0,1,left,MISS S. Gilgeous-Alexander running finger roll Layup - blocked,"[1628983, 1641730]",1610612760.0,OKC,running finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,1.6,Missed,Clowney,1641730.0,,,,,,,,,,,,,,,,
47,PT09M07.00S,2025-01-20T00:19:22.5Z,1,REGULAR,block,,[],1641730,,,1610612760,8,2,2025-01-20T00:19:25Z,470000,False,,,0,,N. Clowney BLOCK (1 BLK),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
48,PT09M04.00S,2025-01-20T00:19:25.5Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612751,8,2,2025-01-20T00:19:29Z,480000,False,,,0,,C. Johnson REBOUND (Off:0 Def:2),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,,,,,46.0,2.0,2.0,0.0,,,,,,,,,,,,
49,PT08M59.00S,2025-01-20T00:19:30.8Z,1,REGULAR,3pt,Jump Shot,[],1630533,95.48291721419186,2.941176470588235,1610612751,8,2,2025-01-20T00:19:41Z,490000,False,-235.0,-10.0,1,right,MISS Z. Williams 3PT,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Left Corner 3,24+ Left,23.55,Missed,,,,,,,,,,,,,,,,,,
50,PT08M54.00S,2025-01-20T00:19:35.8Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,8,2,2025-01-20T00:28:03Z,500000,False,,,0,,L. Dort REBOUND (Off:0 Def:2),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Left Corner 3,24+ Left,,,,,49.0,2.0,2.0,0.0,,,,,,,,,,,,
51,PT08M40.00S,2025-01-20T00:19:52.4Z,1,REGULAR,foul,personal,[],1641730,,,1610612760,8,2,2025-01-20T00:20:09Z,510000,False,,,0,,N. Clowney personal FOUL (1 PF),"[1641730, 1628983]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1628480.0,,,,1.0,0.0,Gilgeous-Alexander,1628983.0
53,PT08M33.00S,2025-01-20T00:20:19.3Z,1,REGULAR,3pt,Jump Shot,[],1630198,29.911300919842315,22.794117647058822,1610612760,11,2,2025-01-20T00:20:24Z,530000,False,136.0,229.0,1,left,I. Joe 26' 3PT  (6 PTS) (S. Gilgeous-Alexander 1 AST),"[1630198, 1628983]",1610612760.0,OKC,,,,Joe,I. Joe,,,,,Above the Break 3,24+ Right Center,26.61,Made,,,,,,,6.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,
55,PT08M18.00S,2025-01-20T00:20:34.4Z,1,REGULAR,3pt,Jump Shot,[],1630533,96.5341655716163,95.34313725490196,1610612751,11,2,2025-01-20T00:20:40Z,550000,False,227.0,-20.0,1,right,MISS Z. Williams 3PT,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Right Corner 3,24+ Right,22.76,Missed,,,,,,,,,,,,,,,,,,
56,PT08M15.00S,2025-01-20T00:20:37.4Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,11,2,2025-01-20T00:20:40Z,560000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Right Corner 3,24+ Right,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,
