actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-04T01:10:31.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-04T01:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-03-04T01:10:34.6Z,1,REGULAR,jumpball,recovered,[],1631114,,,1610612760,0,0,2025-03-04T01:10:34Z,40000,False,,,0,,Jump Ball C. Holmgren vs. J. Landale: Tip to J. Williams,"[1631114, 1631096, 1629111]",1610612760.0,OKC,startperiod,J. Williams,1631114.0,Williams,J. Williams,Holmgren,1631096.0,Landale,1629111.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-03-04T01:10:47.7Z,1,REGULAR,turnover,lost ball,[],1631096,,,1610612760,0,0,2025-03-04T01:11:13Z,70000,False,,,0,,C. Holmgren lost ball TURNOVER (1 TO),"[1631096, 1642263]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Mid-Range,8-16 Left,1.0,Sheppard,1642263.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2025-03-04T01:10:47.7Z,1,REGULAR,steal,,[],1642263,,,1610612745,0,0,2025-03-04T01:10:49Z,80000,False,,,0,,R. Sheppard STEAL (1 STL),[1642263],1610612745.0,HOU,,,,Sheppard,R. Sheppard,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2025-03-04T01:10:58.5Z,1,REGULAR,foul,personal,['2freethrow'],1628392,,,1610612745,0,0,2025-03-04T01:11:29Z,90000,False,,,0,,I. Hartenstein shooting personal FOUL (1 PF) (Green 2 FT),"[1628392, 1630224]",1610612760.0,OKC,shooting,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,,2530.0,1.0,0.0,Green,1630224.0,,,,,,,,,,,,
11,PT11M34.00S,2025-03-04T01:11:23.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630224,,,1610612745,0,0,2025-03-04T01:11:23Z,110000,False,,,0,,MISS J. Green Free Throw 1 of 2,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,Missed,,,,,,,,,,,
12,PT11M34.00S,2025-03-04T01:11:23.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,0,0,2025-03-04T01:11:23Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,
13,PT11M34.00S,2025-03-04T01:11:36.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630224,,,1610612745,0,1,2025-03-04T01:11:36Z,130000,False,,,0,,J. Green Free Throw 2 of 2 (1 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,Made,,1.0,,,,,,,,,
14,PT11M25.00S,2025-03-04T01:11:46.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628392,86.2023653088042,58.739276960784316,1610612760,2,1,2025-03-04T01:12:06Z,140000,False,44.0,77.0,1,right,I. Hartenstein 8' floating Jump Shot (2 PTS) (S. Gilgeous-Alexander 1 AST),"[1628392, 1628983]",1610612760.0,OKC,floating,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,Made,,2.0,8.87,S. Gilgeous-Alexander,1628983.0,1.0,,,,,
16,PT11M03.00S,2025-03-04T01:12:10.2Z,1,REGULAR,3pt,Jump Shot,[],1630224,31.32391590013141,71.32352941176471,1610612745,2,1,2025-03-04T01:12:31Z,160000,False,-107.0,242.0,1,left,MISS J. Green 26' step back 3PT,[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,Missed,,,26.43,,,,,,,,
