actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-10-27T23:10:59.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-27T23:10:59Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-10-27T23:11:01.7Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2024-10-27T23:11:01Z,40000,False,,,0,,Jump Ball C. Capela vs. C. Holmgren: Tip to T. Young,"[1629027, 203991, 1631096]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Capela,203991.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M52.00S,2024-10-27T23:11:06.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,80.1084099868594,39.705882352941174,1610612737,0,0,2024-10-27T23:11:18Z,70000,False,-51.0,134.0,1,right,MISS D. Daniels 14' floating Shot,[1630700],1610612737.0,ATL,floating,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,14.4,Missed,,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2024-10-27T23:11:10.9Z,1,REGULAR,rebound,offensive,[],1630700,,,1610612737,0,0,2024-10-27T23:11:10Z,80000,False,,,0,,D. Daniels REBOUND (Off:1 Def:0),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M46.00S,2024-10-27T23:11:12.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630552,70.77858081471747,79.16666666666666,1610612737,0,3,2024-10-27T23:11:22Z,90000,False,146.0,222.0,1,right,J. Johnson 26' 3PT  (3 PTS) (D. Daniels 1 AST),"[1630552, 1630700]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,26.58,Made,,,,,3.0,D. Daniels,1630700.0,1.0,,,,,,,,,,
11,PT11M24.00S,2024-10-27T23:11:34.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631114,5.601182654402102,56.372549019607845,1610612760,2,3,2024-10-27T23:11:38Z,110000,False,-32.0,0.0,1,left,J. Williams Layup (2 PTS) (C. Holmgren 1 AST),"[1631114, 1631096]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,3.19,Made,,,,,2.0,C. Holmgren,1631096.0,1.0,,,,,,,,,,
13,PT11M14.00S,2024-10-27T23:11:46.3Z,1,REGULAR,turnover,out-of-bounds,[],1629027,,,1610612737,2,3,2024-10-27T23:12:08Z,130000,False,,,0,,T. Young lost ball out-of-bounds TURNOVER (1 TO),[1629027],1610612737.0,ATL,lost ball,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,203592.0,1.0,,,,,,,,
14,PT11M00.00S,2024-10-27T23:12:10.9Z,1,REGULAR,turnover,backcourt,[],1628983,,,1610612760,2,3,2024-10-27T23:12:18Z,140000,False,,,0,,S. Gilgeous-Alexander backcourt TURNOVER (1 TO),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Center,,,,,,,,,,,203592.0,1.0,,,,,,,,
16,PT10M44.00S,2024-10-27T23:12:57.9Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,2,3,2024-10-27T23:13:08Z,160000,False,,,0,,T. Young bad pass TURNOVER (2 TO),"[1629027, 1630598]",1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,2.0,Wiggins,1630598.0,,,,,,
17,PT10M44.00S,2024-10-27T23:12:57.9Z,1,REGULAR,steal,,[],1630598,,,1610612760,2,3,2024-10-27T23:13:00Z,170000,False,,,0,,A. Wiggins STEAL (1 STL),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
18,PT10M33.00S,2024-10-27T23:13:08.7Z,1,REGULAR,turnover,lost ball,[],1631096,,,1610612760,2,3,2024-10-27T23:13:12Z,180000,False,,,0,,C. Holmgren lost ball TURNOVER (1 TO),"[1631096, 1630700]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,1.0,Daniels,1630700.0,,,,,,
19,PT10M33.00S,2024-10-27T23:13:08.7Z,1,REGULAR,steal,,[],1630700,,,1610612737,2,3,2024-10-27T23:13:10Z,190000,False,,,0,,D. Daniels STEAL (1 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
20,PT10M28.00S,2024-10-27T23:13:13.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629027,72.48685939553219,90.68627450980392,1610612737,2,6,2024-10-27T23:13:21Z,200000,False,203.0,206.0,1,right,T. Young 28' 3PT running (3 PTS) (Z. Risacher 1 AST),"[1629027, 1642258]",1610612737.0,ATL,running,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,28.96,Made,,,,,3.0,Z. Risacher,1642258.0,1.0,,,,,,,,,,
22,PT10M14.00S,2024-10-27T23:13:27.6Z,1,REGULAR,2pt,Jump Shot,[],1631114,14.536793692509855,70.09803921568627,1610612760,2,6,2024-10-27T23:13:33Z,220000,False,-100.0,84.0,1,left,MISS J. Williams 13' pullup Shot,[1631114],1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,Mid-Range,8-16 Left,13.1,Missed,,,,,,,,,,,,,,,,,,
23,PT10M10.00S,2024-10-27T23:13:31.6Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,2,6,2024-10-27T23:13:33Z,230000,False,,,0,,D. Daniels REBOUND (Off:1 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Mid-Range,8-16 Left,,,22.0,2.0,1.0,1.0,,,,,,,,,,,,,,
