actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-05T20:40:58.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-05T20:40:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-01-05T20:41:00.7Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2025-01-05T20:41:00Z,40000,False,,,0,,Jump Ball K. Porziņģis vs. I. Hartenstein: Tip to D. White,"[1628401, 204001, 1628392]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Porziņģis,204001.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2025-01-05T20:41:21.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,80.89684625492772,62.99019607843137,1610612738,0,0,2025-01-05T20:41:28Z,70000,False,65.0,127.0,1,right,MISS J. Brown 14' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,14.28,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2025-01-05T20:41:24.5Z,1,REGULAR,rebound,defensive,[],1641717,,,1610612760,0,0,2025-01-05T20:41:28Z,80000,False,,,0,,C. Wallace REBOUND (Off:0 Def:1),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2025-01-05T20:41:35.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,4.944152431011826,42.64705882352941,1610612760,0,0,2025-01-05T20:41:41Z,90000,False,37.0,-6.0,1,left,MISS L. Dort driving reverse Layup,[1629652],1610612760.0,OKC,driving reverse,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,3.73,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2025-01-05T20:41:38.5Z,1,REGULAR,rebound,defensive,[],201950,,,1610612738,0,0,2025-01-05T20:41:41Z,100000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M15.00S,2025-01-05T20:41:42.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201950,68.67608409986859,23.774509803921568,1610612738,0,0,2025-01-05T20:42:03Z,110000,False,-131.0,242.0,1,right,MISS J. Holiday 27' step back 3PT,[201950],1610612738.0,BOS,step back,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,27.51,Missed,,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2025-01-05T20:41:45.1Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,0,0,2025-01-05T20:41:48Z,120000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M03.00S,2025-01-05T20:41:54.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,4.812746386333772,56.127450980392155,1610612760,2,0,2025-01-05T20:42:25Z,130000,False,-31.0,-7.0,1,left,S. Gilgeous-Alexander driving finger roll Layup (2 PTS),[1628983],1610612760.0,OKC,driving finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,3.15,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M55.00S,2025-01-05T20:42:02.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,93.9060446780552,54.41176470588235,1610612738,2,2,2025-01-05T20:42:34Z,140000,False,22.0,5.0,1,right,J. Brown driving finger roll Layup (2 PTS),[1627759],1610612738.0,BOS,driving finger roll,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.26,Made,,,,,2.0,,,,,,,,,,,,,
15,PT10M35.00S,2025-01-05T20:42:22.0Z,1,REGULAR,2pt,Jump Shot,[],1641717,24.52365308804205,70.34313725490196,1610612760,2,2,2025-01-05T20:42:27Z,150000,False,-102.0,178.0,1,left,MISS C. Wallace 20' pullup Shot,[1641717],1610612760.0,OKC,pullup,,,Wallace,C. Wallace,,,,,Mid-Range,16-24 Left Center,20.5,Missed,,,,,,,,,,,,,,,,,,
16,PT10M32.00S,2025-01-05T20:42:25.0Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,2,2,2025-01-05T20:42:27Z,160000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M26.00S,2025-01-05T20:42:32.3Z,1,REGULAR,foul,personal,['2freethrow'],1631114,,,1610612738,2,2,2025-01-05T20:42:46Z,170000,False,,,0,,J. Williams shooting personal FOUL (1 PF) (Porziņģis 2 FT),"[1631114, 204001]",1610612760.0,OKC,shooting,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,1199.0,1.0,0.0,Porziņģis,204001.0,,,,,,,,
19,PT10M26.00S,2025-01-05T20:43:00.6Z,1,REGULAR,freethrow,1 of 2,[],204001,,,1610612738,2,3,2025-01-05T20:43:00Z,190000,False,,,0,,K. Porziņģis Free Throw 1 of 2 (1 PTS),[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
20,PT10M26.00S,2025-01-05T20:43:21.2Z,1,REGULAR,freethrow,2 of 2,[],204001,,,1610612738,2,4,2025-01-05T20:43:21Z,200000,False,,,0,,K. Porziņģis Free Throw 2 of 2 (2 PTS),[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
21,PT10M19.00S,2025-01-05T20:43:29.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,8.360709592641262,50.73529411764706,1610612760,4,4,2025-01-05T20:43:48Z,210000,False,-4.0,26.0,1,left,S. Gilgeous-Alexander driving floating Jump Shot (4 PTS),[1628983],1610612760.0,OKC,driving floating,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,2.64,Made,,,,,4.0,,,,,,,,,,,,,
