actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-21T00:10:13.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-21T00:10:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-12-21T00:10:16.0Z,1,REGULAR,jumpball,recovered,[],1628374,,,1610612762,0,0,2022-12-21T00:10:16Z,40000,False,,,0,,Jump Ball W. Kessler vs. J. Duren: Tip to L. Markkanen,"[1628374, 1631117, 1631105]",1610612762.0,UTA,startperiod,L. Markkanen,1628374.0,Markkanen,L. Markkanen,Kessler,1631117.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-12-21T00:10:37.0Z,1,REGULAR,3pt,Jump Shot,[],1629020,92.46057818659659,95.83333333333334,1610612762,0,3,2022-12-21T00:10:44Z,70000,False,229.0,18.0,1,right,J. Vanderbilt 3PT  (3 PTS) (J. Clarkson 1 AST),"[1629020, 203903]",1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Right Corner 3,24+ Right,22.99,Made,3.0,J. Clarkson,203903.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2022-12-21T00:10:51.1Z,1,REGULAR,3pt,Jump Shot,[],1631093,6.652431011826544,95.34313725490196,1610612765,3,3,2022-12-21T00:10:57Z,90000,False,-227.0,10.0,1,left,J. Ivey 3PT  (3 PTS) (K. Hayes 1 AST),"[1631093, 1630165]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Left Corner 3,24+ Left,22.69,Made,3.0,K. Hayes,1630165.0,1.0,,,,,,,,,,,,,,
11,PT11M00.00S,2022-12-21T00:11:13.0Z,1,REGULAR,foul,personal,['3freethrow'],202711,,,1610612762,3,3,2022-12-21T00:11:25Z,110000,False,,,0,,B. Bogdanovic shooting personal FOUL (1 PF) (Markkanen 3 FT),"[202711, 1628374]",1610612765.0,DET,shooting,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Center,,,,,,,2715.0,1.0,0.0,Markkanen,1628374.0,,,,,,,,,
13,PT11M00.00S,2022-12-21T00:11:44.0Z,1,REGULAR,freethrow,1 of 3,[],1628374,,,1610612762,3,4,2022-12-21T00:11:44Z,130000,False,,,0,,L. Markkanen Free Throw 1 of 3 (1 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2022-12-21T00:11:58.3Z,1,REGULAR,freethrow,2 of 3,[],1628374,,,1610612762,3,5,2022-12-21T00:11:58Z,140000,False,,,0,,L. Markkanen Free Throw 2 of 3 (2 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
15,PT11M00.00S,2022-12-21T00:12:12.9Z,1,REGULAR,freethrow,3 of 3,[],1628374,,,1610612762,3,6,2022-12-21T00:12:12Z,150000,False,,,0,,L. Markkanen Free Throw 3 of 3 (3 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
16,PT10M46.00S,2022-12-21T00:12:29.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630191,9.149145860709593,52.94117647058824,1610612765,5,6,2022-12-21T00:12:37Z,160000,False,-15.0,34.0,1,left,I. Stewart driving Hook (2 PTS) (K. Hayes 2 AST),"[1630191, 1630165]",1610612765.0,DET,driving,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,3.66,Made,2.0,K. Hayes,1630165.0,2.0,,,,,,,,,,,,,,
18,PT10M46.00S,2022-12-21T00:12:32.2Z,1,REGULAR,foul,personal,['1freethrow'],1631117,,,1610612765,5,6,2022-12-21T00:12:45Z,180000,False,,,0,,W. Kessler shooting personal FOUL (1 PF) (Stewart 1 FT),"[1631117, 1630191]",1610612762.0,UTA,shooting,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,1201.0,1.0,0.0,Stewart,1630191.0,,,,,,,,,
