actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-30T22:10:52.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-30T22:10:52Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-30T22:10:55.4Z,1,REGULAR,jumpball,recovered,[],201939,,,1610612744,0,0,2022-10-30T22:10:55Z,40000,,,0,,Jump Ball K. Looney vs. I. Stewart: Tip to S. Curry,"[201939, 1626172, 1630191]",1610612744.0,GSW,startperiod,S. Curry,201939.0,Curry,S. Curry,Looney,1626172.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-10-30T22:11:08.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,94.26741130091985,51.71568627450981,1610612744,0,2,2022-10-30T22:21:27Z,70000,9.0,1.0,1,right,D. Green cutting Layup (2 PTS) (A. Wiggins 1 AST),"[203110, 203952]",1610612744.0,GSW,cutting,,,Green,D. Green,,,,,Restricted Area,0-8 Center,0.87,Made,2.0,A. Wiggins,203952.0,1.0,,,,,,,,,,,,,,
9,PT11M24.00S,2022-10-30T22:11:27.9Z,1,REGULAR,3pt,Jump Shot,[],202711,5.436925098554539,97.05882352941177,1610612765,3,2,2022-10-30T22:44:14Z,90000,-235.0,-1.0,1,left,B. Bogdanovic 3PT  (3 PTS) (S. Bey 1 AST),"[202711, 1630180]",1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Left Corner 3,24+ Left,23.53,Made,3.0,S. Bey,1630180.0,1.0,,,,,,,,,,,,,,
11,PT11M11.00S,2022-10-30T22:11:40.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,93.87319316688567,52.94117647058824,1610612744,3,4,2022-10-30T22:22:03Z,110000,15.0,5.0,1,right,J. Poole cutting Layup (2 PTS) (D. Green 1 AST),"[1629673, 203110]",1610612744.0,GSW,cutting,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,1.56,Made,2.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,
13,PT10M56.00S,2022-10-30T22:11:55.4Z,1,REGULAR,3pt,Jump Shot,[],1630595,33.42641261498029,54.411764705882355,1610612765,3,4,2022-10-30T22:44:20Z,130000,-22.0,262.0,1,left,MISS C. Cunningham 26' 3PT,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,26.26,Missed,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2022-10-30T22:11:58.0Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,3,4,2022-10-30T22:11:58Z,140000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Above the Break 3,24+ Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M49.00S,2022-10-30T22:12:02.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201939,63.64980289093298,78.67647058823529,1610612744,3,4,2022-10-30T22:23:47Z,150000,143.0,289.0,1,right,MISS S. Curry 32' running pullup 3PT,[201939],1610612744.0,GSW,running pullup,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,32.28,Missed,,,,,,,,,,,,,,,,,,
16,PT10M46.00S,2022-10-30T22:12:05.4Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,3,4,2022-10-30T22:12:05Z,160000,,,0,,J. Ivey REBOUND (Off:0 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Right Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M36.00S,2022-10-30T22:12:15.4Z,1,REGULAR,2pt,Jump Shot,[],1630180,10.298948751642584,81.86274509803921,1610612765,5,4,2022-10-30T22:24:25Z,170000,-159.0,44.0,1,left,S. Bey 16' step back Jump Shot (2 PTS),[1630180],1610612765.0,DET,step back,,,Bey,S. Bey,,,,,Mid-Range,16-24 Left,16.53,Made,2.0,,,,,,,,,,,,,,,,,
