actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-29T00:10:50.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-29T00:10:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-12-29T00:10:53.6Z,1,REGULAR,jumpball,recovered,[],1628365,,,1610612753,0,0,2022-12-29T00:10:53Z,40000,False,,,0,,Jump Ball B. Bol vs. J. Duren: Tip to M. Fultz,"[1628365, 1629626, 1631105]",1610612753.0,ORL,startperiod,M. Fultz,1628365.0,Fultz,M. Fultz,Bol,1629626.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-12-29T00:11:05.8Z,1,REGULAR,2pt,Jump Shot,[],1630532,87.43429697766098,17.40196078431373,1610612753,0,2,2022-12-29T00:11:27Z,70000,False,-163.0,66.0,1,right,F. Wagner 17' pullup Jump Shot (2 PTS) (M. Fultz 1 AST),"[1630532, 1628365]",1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,Mid-Range,16-24 Left,17.57,Made,2.0,M. Fultz,1628365.0,1.0,,,,,,,,,,,,,,
9,PT11M24.00S,2022-12-29T00:11:28.8Z,1,REGULAR,foul,offensive,[],1631105,,,1610612765,0,2,2022-12-29T00:12:32Z,90000,False,,,0,,J. Duren offensive FOUL (1 PF),"[1631105, 1630532]",1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,8-16 Left,,,,,,,201639.0,1.0,0.0,Wagner,1630532.0,,,,,,,,,
11,PT11M24.00S,2022-12-29T00:11:28.8Z,1,REGULAR,turnover,offensive foul,[],1631105,,,1610612765,0,2,2022-12-29T00:12:04Z,110000,False,,,0,,J. Duren offensive foul TURNOVER (1 TO),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,8-16 Left,,,,,,,201639.0,,,,,1.0,,,,,,,,
12,PT11M10.00S,2022-12-29T00:11:54.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630532,92.29632063074901,36.029411764705884,1610612753,0,4,2022-12-29T00:12:01Z,120000,False,-70.0,20.0,1,right,F. Wagner 7' driving floating Jump Shot (4 PTS) (M. Fultz 2 AST),"[1630532, 1628365]",1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,7.27,Made,4.0,M. Fultz,1628365.0,2.0,,,,,,,,,,,,,,
14,PT10M55.00S,2022-12-29T00:12:08.7Z,1,REGULAR,3pt,Jump Shot,[],1630191,4.385676741130098,97.54901960784314,1610612765,0,4,2022-12-29T00:12:14Z,140000,False,-238.0,-11.0,1,left,MISS I. Stewart 3PT,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Left Corner 3,24+ Left,23.8,Missed,,,,,,,,,,,,,,,,,,
15,PT10M50.00S,2022-12-29T00:12:13.7Z,1,REGULAR,rebound,defensive,[],1629021,,,1610612753,0,4,2022-12-29T00:12:14Z,150000,False,,,0,,M. Wagner REBOUND (Off:0 Def:1),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,
16,PT10M46.00S,2022-12-29T00:12:19.2Z,1,REGULAR,foul,offensive,[],1631094,,,1610612753,0,4,2022-12-29T00:12:42Z,160000,False,,,0,,P. Banchero charge offensive FOUL (1 PF),"[1631094, 1630165]",1610612753.0,ORL,charge,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202007.0,1.0,0.0,Hayes,1630165.0,,,,,,,,,
18,PT10M46.00S,2022-12-29T00:12:19.2Z,1,REGULAR,turnover,offensive foul,[],1631094,,,1610612753,0,4,2022-12-29T00:12:19Z,180000,False,,,0,,P. Banchero offensive foul TURNOVER (1 TO),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202007.0,,,,,1.0,,,,,,,,
