actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-08T20:11:01.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-08T20:11:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,PT11M57.00S,2023-01-08T20:11:19.5Z,1,REGULAR,jumpball,recovered,[],0,,,1610612755,0,0,2023-01-08T21:32:05Z,34531,False,,,0,,Jump Ball M. Harrell vs. I. Stewart: Tip to Team (PHI),"[1626149, 1630191]",1610612755.0,PHI,startperiod,Team (PHI),Harrell,1626149.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M40.00S,2023-01-08T20:11:49.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,7.5722733245729295,42.64705882352941,1610612755,0,2,2023-01-08T20:11:54Z,40000,False,37.0,19.0,1,left,J. Harden driving Layup (2 PTS),[201935],1610612755.0,PHI,driving,,,,,,Restricted Area,0-8 Center,4.13,Made,2.0,Harden,J. Harden,,,,,,,,,,,,,,,,,
5,PT11M17.00S,2023-01-08T20:12:11.4Z,1,REGULAR,3pt,Jump Shot,[],1630165,91.80354796320631,4.411764705882353,1610612765,3,2,2023-01-08T20:12:17Z,50000,False,-228.0,25.0,1,right,K. Hayes 3PT  (3 PTS) (J. Ivey 1 AST),"[1630165, 1631093]",1610612765.0,DET,,,,,,,Left Corner 3,24+ Left,22.92,Made,3.0,Hayes,K. Hayes,J. Ivey,1631093.0,1.0,,,,,,,,,,,,,,
7,PT11M07.00S,2023-01-08T20:12:24.4Z,1,REGULAR,foul,personal,[],1630180,,,1610612755,3,2,2023-01-08T20:12:37Z,70000,False,,,0,,S. Bey personal FOUL (1 PF),"[1630180, 201935]",1610612765.0,DET,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Bey,S. Bey,,,,203177.0,1.0,0.0,Harden,201935.0,,,,,,,,,
9,PT10M59.00S,2023-01-08T20:12:50.2Z,1,REGULAR,3pt,Jump Shot,[],202699,7.966491458607096,5.147058823529411,1610612755,3,2,2023-01-08T20:12:55Z,90000,False,224.0,22.0,1,left,MISS T. Harris 3PT,[202699],1610612755.0,PHI,,,,,,,Right Corner 3,24+ Right,22.54,Missed,,Harris,T. Harris,,,,,,,,,,,,,,,,,
10,PT10M57.00S,2023-01-08T20:12:52.8Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,3,2,2023-01-08T20:12:52Z,100000,False,,,0,,J. Ivey REBOUND (Off:0 Def:1),[1631093],1610612765.0,DET,,,,,,,Right Corner 3,24+ Right,,,,Ivey,J. Ivey,,,,,,,,,9.0,1.0,1.0,0.0,,,,,
11,PT10M48.00S,2023-01-08T20:13:01.9Z,1,REGULAR,3pt,Jump Shot,[],1630191,70.90998685939553,75.73529411764706,1610612765,3,2,2023-01-08T20:13:08Z,110000,False,129.0,221.0,1,right,MISS I. Stewart 25' 3PT,[1630191],1610612765.0,DET,,,,,,,Above the Break 3,24+ Right Center,25.57,Missed,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,
12,PT10M44.00S,2023-01-08T20:13:05.5Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,3,2,2023-01-08T20:13:05Z,120000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,,,,Harden,J. Harden,,,,,,,,,11.0,1.0,1.0,0.0,,,,,
18,PT10M34.00S,2023-01-08T20:13:30.3Z,1,REGULAR,3pt,Jump Shot,[],1629001,10.33180026281209,4.411764705882353,1610612755,3,2,2023-01-08T20:13:36Z,140000,False,228.0,45.0,1,left,MISS D. Melton 3PT,[1629001],1610612755.0,PHI,,,,,,,Right Corner 3,24+ Right,23.22,Missed,,Melton,D. Melton,,,,,,,,,,,,,,,,,
