actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-04-05T23:11:00.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-05T23:11:00Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-04-05T23:11:02.5Z,1,REGULAR,jumpball,recovered,[],1630165,,,1610612765,0,0,2023-04-05T23:11:02Z,40000,False,,,0,,Jump Ball J. Wiseman vs. N. Claxton: Tip to K. Hayes,"[1630165, 1630164, 1629651]",1610612765.0,DET,startperiod,K. Hayes,1630165.0,Hayes,K. Hayes,Wiseman,1630164.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2023-04-05T23:11:25.9Z,1,REGULAR,3pt,Jump Shot,[],1630647,31.586727989487514,17.15686274509804,1610612765,3,0,2023-04-05T23:11:31Z,70000,False,164.0,244.0,1,left,E. Omoruyi 29' 3PT  (3 PTS) (K. Hayes 1 AST),"[1630647, 1630165]",1610612765.0,DET,,,,Omoruyi,E. Omoruyi,,,,,Above the Break 3,24+ Right Center,29.44,Made,3.0,K. Hayes,1630165.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2023-04-05T23:11:38.1Z,1,REGULAR,3pt,Jump Shot,[],1626220,72.45400788436268,82.1078431372549,1610612751,3,3,2023-04-05T23:11:44Z,90000,False,161.0,206.0,1,right,R. O'Neale 26' 3PT  (3 PTS) (S. Dinwiddie 1 AST),"[1626220, 203915]",1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,26.15,Made,3.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,,,,
11,PT11M06.00S,2023-04-05T23:11:53.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631105,7.145203679369246,42.15686274509803,1610612765,5,3,2023-04-05T23:11:58Z,110000,False,39.0,15.0,1,left,J. Duren DUNK (2 PTS) (J. Ivey 1 AST),"[1631105, 1631093]",1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,4.19,Made,2.0,J. Ivey,1631093.0,1.0,,,,,,,,,,,,,,
13,PT10M51.00S,2023-04-05T23:12:08.3Z,1,REGULAR,turnover,lost ball,[],1628969,,,1610612751,5,3,2023-04-05T23:12:12Z,130000,False,,,0,,M. Bridges lost ball TURNOVER (1 TO),"[1628969, 1630647]",1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Center,,,,,,,1.0,Omoruyi,1630647.0,,,,,,,,,,,
14,PT10M51.00S,2023-04-05T23:12:08.3Z,1,REGULAR,steal,,[],1630647,,,1610612765,5,3,2023-04-05T23:12:10Z,140000,False,,,0,,E. Omoruyi STEAL (1 STL),[1630647],1610612765.0,DET,,,,Omoruyi,E. Omoruyi,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M46.00S,2023-04-05T23:12:13.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631105,7.013797634691201,44.85294117647059,1610612765,7,3,2023-04-05T23:12:20Z,150000,False,26.0,13.0,1,left,J. Duren running alley-oop DUNK (4 PTS) (E. Omoruyi 1 AST),"[1631105, 1630647]",1610612765.0,DET,running alley-oop,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,2.9,Made,4.0,E. Omoruyi,1630647.0,1.0,,,,,,,,,,,,,,
17,PT10M33.00S,2023-04-05T23:12:26.1Z,1,REGULAR,3pt,Jump Shot,[],1629661,93.61038107752957,2.941176470588232,1610612751,7,6,2023-04-05T23:12:30Z,170000,False,-235.0,8.0,1,right,C. Johnson 3PT  (3 PTS) (M. Bridges 1 AST),"[1629661, 1628969]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Left Corner 3,24+ Left,23.54,Made,3.0,M. Bridges,1628969.0,1.0,,,,,,,,,,,,,,
19,PT10M20.00S,2023-04-05T23:12:39.8Z,1,REGULAR,3pt,Jump Shot,[],1630647,11.48160315374507,0.24509803921569073,1610612765,7,6,2023-04-05T23:12:43Z,190000,False,249.0,55.0,1,left,MISS E. Omoruyi 25' 3PT,[1630647],1610612765.0,DET,,,,Omoruyi,E. Omoruyi,,,,,Right Corner 3,24+ Right,25.49,Missed,,,,,,,,,,,,,,,,,,
20,PT10M18.00S,2023-04-05T23:12:41.8Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612751,7,6,2023-04-05T23:12:43Z,200000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Right Corner 3,24+ Right,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,
21,PT10M07.00S,2023-04-05T23:12:52.9Z,1,REGULAR,3pt,Jump Shot,[],1628969,74.81931668856767,89.4607843137255,1610612751,7,9,2023-04-05T23:12:57Z,210000,False,197.0,184.0,1,right,M. Bridges 26' 3PT  (3 PTS) (S. Dinwiddie 2 AST),"[1628969, 203915]",1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,26.99,Made,3.0,S. Dinwiddie,203915.0,2.0,,,,,,,,,,,,,,
48,PT09M52.00S,2023-04-05T23:13:01.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630647,11.300919842312751,47.407322303921575,1610612765,7,9,2023-04-05T23:37:10Z,225000,False,13.0,54.0,1,left,MISS E. Omoruyi cutting Layup - blocked,"[1630647, 1626220]",1610612765.0,DET,cutting,,,Omoruyi,E. Omoruyi,,,,,In The Paint (Non-RA),0-8 Center,5.53,Missed,,,,,,,,,,,,O'Neale,1626220.0,,,,,
49,PT09M52.00S,2023-04-05T23:13:01.1Z,1,REGULAR,block,,[],1626220,,,1610612765,7,9,2023-04-05T23:16:45Z,227500,False,,,0,,R. O'Neale BLOCK (1 BLK),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
50,PT09M51.00S,2023-04-05T23:13:02.1Z,1,REGULAR,rebound,offensive,[],1630647,,,1610612765,7,9,2023-04-05T23:17:10Z,228750,False,,,0,,E. Omoruyi REBOUND (Off:1 Def:0),[1630647],1610612765.0,DET,,,,Omoruyi,E. Omoruyi,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,48.0,1.0,0.0,1.0,,,,,,,
23,PT09M50.00S,2023-04-05T23:13:09.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630647,6.356767411300922,55.3921568627451,1610612765,7,9,2023-04-05T23:37:24Z,230000,False,-27.0,7.0,1,left,MISS E. Omoruyi putback Layup,[1630647],1610612765.0,DET,putback,,,Omoruyi,E. Omoruyi,,,,,Restricted Area,0-8 Center,2.8,Missed,,,,,,,,,,,,,,,,,,
24,PT09M47.00S,2023-04-05T23:13:12.3Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,7,9,2023-04-05T23:13:14Z,240000,False,,,0,,J. Duren REBOUND (Off:1 Def:0),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,,,,23.0,1.0,0.0,1.0,,,,,,,
25,PT09M46.00S,2023-04-05T23:13:13.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631105,6.356767411300922,45.34313725490197,1610612765,9,9,2023-04-05T23:15:21Z,250000,False,23.0,7.0,1,left,J. Duren putback Layup (6 PTS),[1631105],1610612765.0,DET,putback,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,2.44,Made,6.0,,,,,,,,,,,,,,,,,
26,PT09M38.00S,2023-04-05T23:13:20.8Z,1,REGULAR,3pt,Jump Shot,[],1629661,66.67214191852825,48.774509803921575,1610612751,9,12,2023-04-05T23:13:27Z,260000,False,-6.0,261.0,1,right,C. Johnson 26' 3PT  (6 PTS) (N. Claxton 1 AST),"[1629661, 1629651]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Center,26.09,Made,6.0,N. Claxton,1629651.0,1.0,,,,,,,,,,,,,,
28,PT09M18.00S,2023-04-05T23:13:40.9Z,1,REGULAR,2pt,Jump Shot,[],1630165,27.250328515111704,66.42156862745098,1610612765,11,12,2023-04-05T23:17:46Z,280000,False,-82.0,204.0,1,left,K. Hayes 21' pullup Jump Shot (2 PTS),[1630165],1610612765.0,DET,pullup,,,Hayes,K. Hayes,,,,,Mid-Range,16-24 Left Center,21.96,Made,2.0,,,,,,,,,,,,,,,,,
29,PT09M05.00S,2023-04-05T23:13:54.6Z,1,REGULAR,3pt,Jump Shot,[],1628969,66.67214191852825,57.59803921568628,1610612751,11,12,2023-04-05T23:18:17Z,290000,False,38.0,261.0,1,right,MISS M. Bridges 26' pullup 3PT,[1628969],1610612751.0,BKN,pullup,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,26.36,Missed,,,,,,,,,,,,,,,,,,
30,PT09M02.00S,2023-04-05T23:13:57.6Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,11,12,2023-04-05T23:13:58Z,300000,False,,,0,,J. Duren REBOUND (Off:1 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Center,,,,,,,,,,29.0,2.0,1.0,1.0,,,,,,,
31,PT08M52.00S,2023-04-05T23:14:10.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630164,6.750985545335084,45.09803921568627,1610612765,13,12,2023-04-05T23:14:16Z,310000,False,25.0,11.0,1,left,J. Wiseman Layup (2 PTS) (J. Duren 1 AST),"[1630164, 1631105]",1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,2.69,Made,2.0,J. Duren,1631105.0,1.0,,,,,,,,,,,,,,
33,PT08M52.00S,2023-04-05T23:14:13.5Z,1,REGULAR,foul,personal,['1freethrow'],1629651,,,1610612765,13,12,2023-04-05T23:14:25Z,330000,False,,,0,,N. Claxton shooting personal FOUL (1 PF) (Wiseman 1 FT),"[1629651, 1630164]",1610612751.0,BKN,shooting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1628953.0,1.0,0.0,Wiseman,1630164.0
35,PT08M52.00S,2023-04-05T23:14:40.4Z,1,REGULAR,freethrow,1 of 1,[],1630164,,,1610612765,14,12,2023-04-05T23:14:40Z,350000,False,,,0,,J. Wiseman Free Throw 1 of 1 (3 PTS),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
36,PT08M31.00S,2023-04-05T23:15:03.1Z,1,REGULAR,3pt,Jump Shot,[],1626220,67.9862023653088,85.5392156862745,1610612751,14,12,2023-04-05T23:15:07Z,360000,False,178.0,248.0,1,right,MISS R. O'Neale 30' 3PT,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,30.54,Missed,,,,,,,,,,,,,,,,,,
