actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-02T00:10:26.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-02T00:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-03-02T00:10:30.7Z,1,REGULAR,jumpball,recovered,[],1630165,,,1610612765,0,0,2023-03-02T00:10:30Z,40000,False,,,0,,Jump Ball J. Wiseman vs. N. Vucevic: Tip to K. Hayes,"[1630165, 1630164, 202696]",1610612765.0,DET,startperiod,K. Hayes,1630165.0,Hayes,K. Hayes,Wiseman,1630164.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-03-02T00:10:41.3Z,1,REGULAR,3pt,Jump Shot,[],1631093,21.23850197109067,89.70588235294117,1610612765,3,0,2023-03-02T00:10:47Z,70000,False,-199.0,147.0,1,left,J. Ivey 24' 3PT  (3 PTS) (R. McGruder 1 AST),"[1631093, 203585]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Left Center,24.71,Made,3.0,R. McGruder,203585.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2023-03-02T00:11:02.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,93.77463863337714,53.18627450980392,1610612741,3,2,2023-03-02T00:11:08Z,90000,False,16.0,6.0,1,right,N. Vucevic Layup (2 PTS) (D. DeRozan 1 AST),"[202696, 201942]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,1.7,Made,2.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,,
11,PT11M04.00S,2023-03-02T00:11:22.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630164,12.434296977660972,49.754901960784316,1610612765,5,2,2023-03-02T00:11:28Z,110000,False,1.0,64.0,1,left,J. Wiseman 6' driving Hook (2 PTS),[1630164],1610612765.0,DET,driving,,,Wiseman,J. Wiseman,,,,,In The Paint (Non-RA),0-8 Center,6.44,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M43.00S,2023-03-02T00:11:48.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,93.24901445466492,46.32352941176471,1610612741,5,4,2023-03-02T00:12:20Z,130000,False,-18.0,11.0,1,right,Z. LaVine driving reverse Layup (2 PTS) (D. DeRozan 2 AST),"[203897, 201942]",1610612741.0,CHI,driving reverse,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,2.14,Made,2.0,D. DeRozan,201942.0,2.0,,,,,,,,,,,,,,
14,PT10M34.00S,2023-03-02T00:12:00.4Z,1,REGULAR,turnover,discontinued dribble,[],1630165,,,1610612765,5,4,2023-03-02T00:13:21Z,140000,False,,,0,,K. Hayes discontinued dribble TURNOVER (1 TO),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Above the Break 3,24+ Left Center,,,,,,,1204.0,1.0,,,,,,,,,,,,
15,PT10M24.00S,2023-03-02T00:12:18.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203897,72.7496714848883,81.12745098039215,1610612741,5,7,2023-03-02T00:12:23Z,150000,False,156.0,204.0,1,right,Z. LaVine 25' 3PT  (5 PTS) (P. Beverley 1 AST),"[203897, 201976]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Right Center,25.63,Made,5.0,P. Beverley,201976.0,1.0,,,,,,,,,,,,,,
17,PT10M03.00S,2023-03-02T00:12:39.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630164,7.5722733245729295,51.225490196078425,1610612765,7,7,2023-03-02T00:12:44Z,170000,False,-6.0,19.0,1,left,J. Wiseman cutting finger roll Layup (4 PTS) (B. Bogdanovic 1 AST),"[1630164, 202711]",1610612765.0,DET,cutting finger roll,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,1.97,Made,4.0,B. Bogdanovic,202711.0,1.0,,,,,,,,,,,,,,
19,PT09M50.00S,2023-03-02T00:12:52.4Z,1,REGULAR,3pt,Jump Shot,[],203897,76.5604467805519,12.009803921568627,1610612741,7,10,2023-03-02T00:12:58Z,190000,False,-190.0,168.0,1,right,Z. LaVine 25' 3PT  (8 PTS) (D. DeRozan 3 AST),"[203897, 201942]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Left Center,25.35,Made,8.0,D. DeRozan,201942.0,3.0,,,,,,,,,,,,,,
51,PT09M35.00S,2023-03-02T00:13:17.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202711,8.984888304862025,47.549019607843135,1610612765,7,10,2023-03-02T00:20:42Z,210000,False,12.0,32.0,1,left,MISS B. Bogdanovic driving Layup - blocked,"[202711, 203897]",1610612765.0,DET,driving,,,Bogdanovic,B. Bogdanovic,,,,,Restricted Area,0-8 Center,3.43,Missed,,,,,,,LaVine,203897.0,,,,,,,,,,
52,PT09M35.00S,2023-03-02T00:13:17.7Z,1,REGULAR,block,,[],203897,,,1610612765,7,10,2023-03-02T00:20:42Z,215000,False,,,0,,Z. LaVine BLOCK (1 BLK),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
53,PT09M33.00S,2023-03-02T00:13:19.7Z,1,REGULAR,rebound,defensive,[],201976,,,1610612741,7,10,2023-03-02T00:20:42Z,217500,False,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612741.0,CHI,,,,Beverley,P. Beverley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,51.0,1.0,1.0,0.0,,,,,,
22,PT09M18.00S,2023-03-02T00:13:43.0Z,1,REGULAR,foul,personal,['2freethrow'],1631093,,,1610612741,7,10,2023-03-02T00:13:55Z,220000,False,,,0,,J. Ivey shooting personal FOUL (1 PF) (Beverley 2 FT),"[1631093, 201976]",1610612765.0,DET,shooting,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628953.0,,,,,,,,1.0,0.0,Beverley,201976.0,,
24,PT09M18.00S,2023-03-02T00:14:18.5Z,1,REGULAR,freethrow,1 of 2,[],201976,,,1610612741,7,10,2023-03-02T00:20:01Z,240000,False,,,0,,MISS P. Beverley Free Throw 1 of 2,[201976],1610612741.0,CHI,,,,Beverley,P. Beverley,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
25,PT09M18.00S,2023-03-02T00:14:18.5Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612741,7,10,2023-03-02T00:14:40Z,250000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,
26,PT09M18.00S,2023-03-02T00:14:18.5Z,1,REGULAR,freethrow,2 of 2,[],201976,,,1610612741,7,10,2023-03-02T00:20:01Z,260000,False,,,0,,MISS P. Beverley Free Throw 2 of 2,[201976],1610612741.0,CHI,,,,Beverley,P. Beverley,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
27,PT09M15.00S,2023-03-02T00:14:21.5Z,1,REGULAR,rebound,offensive,[],201976,,,1610612741,7,10,2023-03-02T00:14:40Z,270000,False,,,0,,P. Beverley REBOUND (Off:1 Def:1),[201976],1610612741.0,CHI,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,26.0,2.0,1.0,1.0,,,,,,
28,PT09M05.00S,2023-03-02T00:14:45.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201942,73.80091984231275,50.0,1610612741,7,12,2023-03-02T00:20:01Z,280000,False,0.0,194.0,1,right,D. DeRozan 19' pullup Jump Shot (2 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,19.38,Made,2.0,,,,,,,,,,,,,,,,,
29,PT08M45.00S,2023-03-02T00:15:05.0Z,1,REGULAR,3pt,Jump Shot,[],1631093,27.808804204993432,18.872549019607842,1610612765,10,12,2023-03-02T00:15:09Z,290000,False,156.0,209.0,1,left,J. Ivey 26' 3PT  (6 PTS),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Right Center,26.05,Made,6.0,,,,,,,,,,,,,,,,,
31,PT08M24.00S,2023-03-02T00:15:26.7Z,1,REGULAR,2pt,Jump Shot,[],201976,77.21747700394218,53.92156862745098,1610612741,10,14,2023-03-02T00:15:30Z,310000,False,20.0,162.0,1,right,P. Beverley 16' Jump Shot (2 PTS) (D. DeRozan 4 AST),"[201976, 201942]",1610612741.0,CHI,,,,Beverley,P. Beverley,,,,,Mid-Range,16-24 Center,16.29,Made,2.0,D. DeRozan,201942.0,4.0,,,,,,,,,,,,,,
33,PT08M08.00S,2023-03-02T00:15:43.1Z,1,REGULAR,turnover,lost ball,[],1630164,,,1610612765,10,14,2023-03-02T00:15:48Z,330000,False,,,0,,J. Wiseman lost ball TURNOVER (1 TO),"[1630164, 201976]",1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,,,,,,,,,,,Beverley,201976.0
34,PT08M08.00S,2023-03-02T00:15:43.1Z,1,REGULAR,steal,,[],201976,,,1610612741,10,14,2023-03-02T00:15:45Z,340000,False,,,0,,P. Beverley STEAL (1 STL),[201976],1610612741.0,CHI,,,,Beverley,P. Beverley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
35,PT07M57.00S,2023-03-02T00:15:57.1Z,1,REGULAR,foul,personal,[],203585,,,1610612741,10,14,2023-03-02T00:16:30Z,350000,False,,,0,,R. McGruder personal FOUL (1 PF),"[203585, 202696]",1610612765.0,DET,,,,McGruder,R. McGruder,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,2714.0,,,,,,,,1.0,0.0,Vucevic,202696.0,,
37,PT07M44.00S,2023-03-02T00:16:28.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201942,93.38042049934296,51.9607843137255,1610612741,10,16,2023-03-02T00:22:42Z,370000,False,10.0,10.0,1,right,D. DeRozan driving reverse Layup (4 PTS),[201942],1610612741.0,CHI,driving reverse,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,1.38,Made,4.0,,,,,,,,,,,,,,,,,
38,PT07M31.00S,2023-03-02T00:16:40.2Z,1,REGULAR,2pt,Jump Shot,[],202711,7.5722733245729295,66.91176470588235,1610612765,10,16,2023-03-02T00:16:46Z,380000,False,-85.0,19.0,1,left,MISS B. Bogdanovic 8' Jump Shot - blocked,"[202711, 201976]",1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Left,8.66,Missed,,,,,,,Beverley,201976.0,,,,,,,,,,
39,PT07M31.00S,2023-03-02T00:16:40.2Z,1,REGULAR,block,,[],201976,,,1610612765,10,16,2023-03-02T00:16:42Z,390000,False,,,0,,P. Beverley BLOCK (1 BLK),[201976],1610612741.0,CHI,,,,Beverley,P. Beverley,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
40,PT07M28.00S,2023-03-02T00:16:43.2Z,1,REGULAR,rebound,defensive,[],201976,,,1610612741,10,16,2023-03-02T00:16:46Z,400000,False,,,0,,P. Beverley REBOUND (Off:1 Def:2),[201976],1610612741.0,CHI,,,,Beverley,P. Beverley,,,,,Mid-Range,8-16 Left,,,,,,,,,,,38.0,3.0,2.0,1.0,,,,,,
41,PT07M26.00S,2023-03-02T00:16:45.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627936,93.11760840998686,2.2058823529411766,1610612741,10,16,2023-03-02T00:23:22Z,410000,False,-239.0,12.0,1,right,MISS A. Caruso running 3PT,[1627936],1610612741.0,CHI,running,,,Caruso,A. Caruso,,,,,Left Corner 3,24+ Left,23.93,Missed,,,,,,,,,,,,,,,,,,
42,PT07M24.00S,2023-03-02T00:16:48.4Z,1,REGULAR,rebound,offensive,[],201976,,,1610612741,10,16,2023-03-02T00:16:48Z,420000,False,,,0,,P. Beverley REBOUND (Off:2 Def:2),[201976],1610612741.0,CHI,,,,Beverley,P. Beverley,,,,,Left Corner 3,24+ Left,,,,,,,,,,,41.0,4.0,2.0,2.0,,,,,,
43,PT07M22.00S,2023-03-02T00:16:50.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203897,93.77463863337714,54.41176470588235,1610612741,10,18,2023-03-02T00:17:00Z,430000,False,22.0,6.0,1,right,Z. LaVine reverse Layup (10 PTS) (P. Beverley 2 AST),"[203897, 201976]",1610612741.0,CHI,reverse,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,2.29,Made,10.0,P. Beverley,201976.0,2.0,,,,,,,,,,,,,,
45,PT07M22.00S,2023-03-02T00:16:58.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,10,18,2023-03-02T00:16:58Z,450000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M04.00S,2023-03-02T00:19:59.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203585,16.245072273324574,60.78431372549019,1610612765,12,18,2023-03-02T00:20:08Z,460000,False,-54.0,100.0,1,left,R. McGruder 11' driving floating Jump Shot (2 PTS),[203585],1610612765.0,DET,driving floating,,,McGruder,R. McGruder,,,,,In The Paint (Non-RA),8-16 Center,11.38,Made,2.0,,,,,,,,,,,,,,,,,
48,PT06M52.00S,2023-03-02T00:20:13.9Z,1,REGULAR,foul,personal,[],1631093,,,1610612741,12,18,2023-03-02T00:20:21Z,470000,False,,,0,,J. Ivey personal FOUL (2 PF),"[1631093, 201942]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Center,,,,,,,2714.0,,,,,,,,2.0,0.0,DeRozan,201942.0,,
50,PT06M42.00S,2023-03-02T00:20:37.9Z,1,REGULAR,3pt,Jump Shot,[],202696,69.72733245729303,73.0392156862745,1610612741,12,18,2023-03-02T00:20:46Z,490000,False,115.0,232.0,1,right,MISS N. Vucevic 25' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Right Center,25.91,Missed,,,,,,,,,,,,,,,,,,
54,PT06M40.00S,2023-03-02T00:20:39.9Z,1,REGULAR,rebound,offensive,[],201976,,,1610612741,12,18,2023-03-02T00:38:29Z,500000,False,,,0,,P. Beverley REBOUND (Off:3 Def:2),[201976],1610612741.0,CHI,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,50.0,5.0,2.0,3.0,,,,,,
57,PT06M36.00S,2023-03-02T00:21:01.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203897,94.43166885676742,77.69607843137256,1610612741,12,20,2023-03-02T00:21:08Z,520000,False,138.0,0.0,1,right,Z. LaVine 13' fadeaway Jump Shot (12 PTS) (D. DeRozan 5 AST),"[203897, 201942]",1610612741.0,CHI,fadeaway,,,LaVine,Z. LaVine,,,,,Mid-Range,8-16 Right,13.85,Made,12.0,D. DeRozan,201942.0,5.0,,,,,,,,,,,,,,
