actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-30T00:10:41.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-30T00:10:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-30T00:10:45.5Z,1,REGULAR,jumpball,recovered,[],1628973,,,1610612752,0,0,2022-11-30T00:10:45Z,40000,False,,,0,,Jump Ball M. Robinson vs. M. Bagley III: Tip to J. Brunson,"[1628973, 1629011, 1628963]",1610612752.0,NYK,startperiod,J. Brunson,1628973.0,Brunson,J. Brunson,Robinson,1629011.0,Bagley III,1628963.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-11-30T00:10:59.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629011,95.53219448094612,49.7970281862745,1610612752,0,2,2022-11-30T00:11:07Z,70000,False,-1.0,-11.0,1,right,M. Robinson DUNK (2 PTS) (R. Barrett 1 AST),"[1629011, 1629628]",1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,1.05,Made,2.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2022-11-30T00:11:14.9Z,1,REGULAR,2pt,Jump Shot,[],1630191,24.753613666228645,31.862745098039213,1610612765,0,2,2022-11-30T00:11:20Z,90000,False,91.0,180.0,1,left,MISS I. Stewart 20' Jump Shot,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Mid-Range,16-24 Right Center,20.17,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2022-11-30T00:11:17.9Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612752,0,2,2022-11-30T00:11:20Z,100000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Mid-Range,16-24 Right Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M14.00S,2022-11-30T00:11:27.2Z,1,REGULAR,3pt,Jump Shot,[],1629628,66.93495400788436,57.59803921568628,1610612752,0,2,2022-11-30T00:11:31Z,110000,False,38.0,258.0,1,right,MISS R. Barrett 26' 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Center,26.11,Missed,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2022-11-30T00:11:30.2Z,1,REGULAR,rebound,defensive,[],1630587,,,1610612765,0,2,2022-11-30T00:11:31Z,120000,False,,,0,,I. Livers REBOUND (Off:0 Def:1),[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,Above the Break 3,24+ Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M55.00S,2022-11-30T00:11:47.9Z,1,REGULAR,turnover,traveling,[],1628963,,,1610612765,0,2,2022-11-30T00:11:53Z,130000,False,,,0,,M. Bagley III traveling TURNOVER (1 TO),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,Above the Break 3,24+ Center,,,,,,,,,,,203177.0,1.0,,,,,,,,
14,PT10M39.00S,2022-11-30T00:12:14.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203944,68.51182654402103,56.86274509803921,1610612752,0,5,2022-11-30T00:12:19Z,140000,False,34.0,243.0,1,right,J. Randle 24' 3PT  (3 PTS) (J. Brunson 1 AST),"[203944, 1628973]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,24.59,Made,3.0,J. Brunson,1628973.0,1.0,,,,,,,,,,,,,,
16,PT10M27.00S,2022-11-30T00:12:27.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630165,17.920499342969777,63.48039215686275,1610612765,2,5,2022-11-30T00:13:39Z,160000,False,-67.0,116.0,1,left,K. Hayes 13' driving floating Jump Shot (2 PTS),[1630165],1610612765.0,DET,driving floating,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),8-16 Center,13.42,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M15.00S,2022-11-30T00:12:38.5Z,1,REGULAR,3pt,Jump Shot,[],203944,68.38042049934297,67.15686274509804,1610612752,2,8,2022-11-30T00:12:45Z,170000,False,86.0,245.0,1,right,J. Randle 25' 3PT  (6 PTS) (J. Brunson 2 AST),"[203944, 1628973]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,25.93,Made,6.0,J. Brunson,1628973.0,2.0,,,,,,,,,,,,,,
