actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-02-11T00:10:16.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-11T00:10:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-02-11T00:10:19.7Z,1,REGULAR,jumpball,recovered,[],202711,,,1610612765,0,0,2023-02-11T00:10:19Z,40000,False,,,0,,Jump Ball J. Duren vs. Z. Collins: Tip to B. Bogdanovic,"[202711, 1631105, 1628380]",1610612765.0,DET,startperiod,B. Bogdanovic,202711.0,Bogdanovic,B. Bogdanovic,Duren,1631105.0,Collins,1628380.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-02-11T00:10:33.8Z,1,REGULAR,2pt,Jump Shot,[],1631093,80.1084099868594,76.9607843137255,1610612765,0,0,2023-02-11T00:10:39Z,70000,False,135.0,134.0,1,right,MISS J. Ivey 19' pullup Shot,[1631093],1610612765.0,DET,pullup,,,Ivey,J. Ivey,,,,,Mid-Range,16-24 Right Center,19.04,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2023-02-11T00:10:37.8Z,1,REGULAR,rebound,defensive,[],1629676,,,1610612759,0,0,2023-02-11T00:10:39Z,80000,False,,,0,,I. Roby REBOUND (Off:0 Def:1),[1629676],1610612759.0,SAS,,,,Roby,I. Roby,,,,,Mid-Range,16-24 Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2023-02-11T00:10:49.8Z,1,REGULAR,turnover,out-of-bounds,[],1631104,,,1610612759,0,0,2023-02-11T00:11:30Z,90000,False,,,0,,B. Wesley bad pass out-of-bounds TURNOVER (1 TO),[1631104],1610612759.0,SAS,bad pass,,,Wesley,B. Wesley,,,,,Mid-Range,8-16 Left,,,,,,,1.0,,,,,,,,,,,,,
10,PT11M15.00S,2023-02-11T00:11:08.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1631105,94.1688567674113,54.41176470588235,1610612765,2,0,2023-02-11T00:11:13Z,100000,False,22.0,2.0,1,right,J. Duren alley-oop DUNK (2 PTS) (K. Hayes 1 AST),"[1631105, 1630165]",1610612765.0,DET,alley-oop,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,2.22,Made,,,,,,2.0,K. Hayes,1630165.0,1.0,,,,,,,,,
12,PT11M00.00S,2023-02-11T00:11:22.5Z,1,REGULAR,3pt,Jump Shot,[],1631103,9.149145860709593,4.411764705882353,1610612759,2,3,2023-02-11T00:11:27Z,120000,False,228.0,34.0,1,left,M. Branham 3PT  (3 PTS) (Z. Collins 1 AST),"[1631103, 1628380]",1610612759.0,SAS,,,,Branham,M. Branham,,,,,Right Corner 3,24+ Right,23.03,Made,,,,,,3.0,Z. Collins,1628380.0,1.0,,,,,,,,,
14,PT10M49.00S,2023-02-11T00:11:34.0Z,1,REGULAR,2pt,Jump Shot,[],1630165,86.5473061760841,28.676470588235293,1610612765,2,3,2023-02-11T00:11:39Z,140000,False,-107.0,74.0,1,right,MISS K. Hayes 12' pullup Shot,[1630165],1610612765.0,DET,pullup,,,Hayes,K. Hayes,,,,,Mid-Range,8-16 Left,12.98,Missed,,,,,,,,,,,,,,,,,,
15,PT10M44.00S,2023-02-11T00:11:38.3Z,1,REGULAR,rebound,defensive,[],1629676,,,1610612759,2,3,2023-02-11T00:11:38Z,150000,False,,,0,,I. Roby REBOUND (Off:0 Def:2),[1629676],1610612759.0,SAS,,,,Roby,I. Roby,,,,,Mid-Range,8-16 Left,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,
16,PT10M33.00S,2023-02-11T00:11:50.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628380,11.777266754270697,50.98039215686274,1610612759,2,3,2023-02-11T00:12:40Z,160000,False,-5.0,58.0,1,left,MISS Z. Collins turnaround Hook,[1628380],1610612759.0,SAS,turnaround,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,5.84,Missed,,,,,,,,,,,,,,,,,,
