actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-16T23:10:24.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-16T23:10:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-16T23:10:26.5Z,1,REGULAR,jumpball,recovered,[],203585,,,1610612765,0,0,2023-03-16T23:10:26Z,40000,False,,,0,,Jump Ball J. Wiseman vs. N. Jokic: Tip to R. McGruder,"[203585, 1630164, 203999]",1610612765.0,DET,startperiod,R. McGruder,203585.0,McGruder,R. McGruder,Wiseman,1630164.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-03-16T23:10:44.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203585,7.145203679369246,44.36274509803921,1610612765,0,0,2023-03-16T23:10:51Z,70000,False,28.0,15.0,1,left,MISS R. McGruder driving floating Shot - blocked,"[203585, 1629008]",1610612765.0,DET,driving floating,,,McGruder,R. McGruder,,,,,Restricted Area,0-8 Center,3.18,Missed,Porter Jr.,1629008.0,,,,,,,,,,,,,,,,
8,PT11M39.00S,2023-03-16T23:10:44.3Z,1,REGULAR,block,,[],1629008,,,1610612765,0,0,2023-03-16T23:10:47Z,80000,False,,,0,,M. Porter Jr. BLOCK (1 BLK),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2023-03-16T23:10:47.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2023-03-16T23:10:51Z,90000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M33.00S,2023-03-16T23:10:50.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627750,93.08475689881735,46.07843137254902,1610612743,0,2,2023-03-16T23:11:33Z,100000,False,-20.0,13.0,1,right,J. Murray running alley-oop Layup (2 PTS) (N. Jokic 1 AST),"[1627750, 203999]",1610612743.0,DEN,running alley-oop,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,2.32,Made,,,,,,,2.0,N. Jokic,203999.0,1.0,,,,,,,,
13,PT11M12.00S,2023-03-16T23:11:30.6Z,1,REGULAR,turnover,out-of-bounds,[],1630165,,,1610612765,0,2,2023-03-16T23:12:23Z,130000,False,,,0,,K. Hayes bad pass out-of-bounds TURNOVER (1 TO),[1630165],1610612765.0,DET,bad pass,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1626302.0,1.0,,,,,,
14,PT10M52.00S,2023-03-16T23:12:06.4Z,1,REGULAR,foul,personal,['2freethrow'],1630647,,,1610612743,0,2,2023-03-16T23:12:14Z,140000,False,,,0,,E. Omoruyi shooting personal FOUL (1 PF) (Murray 2 FT),"[1630647, 1627750]",1610612765.0,DET,shooting,,,Omoruyi,E. Omoruyi,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1626302.0,,1.0,0.0,Murray,1627750.0,,
16,PT10M52.00S,2023-03-16T23:12:29.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1627750,,,1610612743,0,3,2023-03-16T23:12:29Z,160000,False,,,0,,J. Murray Free Throw 1 of 2 (3 PTS),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
17,PT10M52.00S,2023-03-16T23:12:44.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1627750,,,1610612743,0,4,2023-03-16T23:12:44Z,170000,False,,,0,,J. Murray Free Throw 2 of 2 (4 PTS),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
18,PT10M37.00S,2023-03-16T23:13:00.8Z,1,REGULAR,3pt,Jump Shot,[],1630647,7.670827858081481,2.6960784313725554,1610612765,0,4,2023-03-16T23:13:04Z,180000,False,237.0,20.0,1,left,MISS E. Omoruyi 3PT,[1630647],1610612765.0,DET,,,,Omoruyi,E. Omoruyi,,,,,Right Corner 3,24+ Right,23.73,Missed,,,,,,,,,,,,,,,,,,
19,PT10M34.00S,2023-03-16T23:13:03.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,4,2023-03-16T23:13:04Z,190000,False,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Right Corner 3,24+ Right,,,,,18.0,2.0,2.0,0.0,,,,,,,,,,,,
