actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-18T23:10:31.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-18T23:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-12-18T23:10:33.4Z,1,REGULAR,jumpball,recovered,[],1630165,,,1610612765,0,0,2022-12-18T23:10:33Z,40000,False,,,0,,Jump Ball J. Duren vs. N. Claxton: Tip to K. Hayes,"[1630165, 1631105, 1629651]",1610612765.0,DET,startperiod,K. Hayes,1630165.0,Hayes,K. Hayes,Duren,1631105.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-12-18T23:10:48.3Z,1,REGULAR,3pt,Jump Shot,[],1630165,91.27792378449409,3.1862745098039214,1610612765,0,0,2022-12-18T23:10:53Z,70000,False,-234.0,29.0,1,right,MISS K. Hayes 3PT,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Left Corner 3,24+ Left,23.6,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-12-18T23:10:51.3Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,0,0,2022-12-18T23:10:53Z,80000,False,,,0,,B. Simmons REBOUND (Off:0 Def:1),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2022-12-18T23:10:56.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627732,6.783837056504599,54.65686274509803,1610612751,0,0,2022-12-18T23:11:16Z,90000,False,-23.0,11.0,1,left,MISS B. Simmons running Layup,[1627732],1610612751.0,BKN,running,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,2.59,Missed,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2022-12-18T23:10:58.1Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,0,0,2022-12-18T23:11:00Z,100000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M28.00S,2022-12-18T23:11:03.2Z,1,REGULAR,foul,personal,['2freethrow'],1626220,,,1610612765,0,0,2022-12-18T23:11:14Z,110000,False,,,0,,R. O'Neale shooting personal FOUL (1 PF) (Bogdanovic 2 FT),"[1626220, 202711]",1610612751.0,BKN,shooting,,,O'Neale,R. O'Neale,,,,,Mid-Range,8-16 Right,,,,,,,201638.0,1.0,0.0,Bogdanovic,202711.0,,,,,,,,,
13,PT11M28.00S,2022-12-18T23:11:29.6Z,1,REGULAR,freethrow,1 of 2,[],202711,,,1610612765,1,0,2022-12-18T23:11:29Z,130000,False,,,0,,B. Bogdanovic Free Throw 1 of 2 (1 PTS),[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
14,PT11M28.00S,2022-12-18T23:11:46.7Z,1,REGULAR,freethrow,2 of 2,[],202711,,,1610612765,2,0,2022-12-18T23:11:46Z,140000,False,,,0,,B. Bogdanovic Free Throw 2 of 2 (2 PTS),[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
15,PT11M12.00S,2022-12-18T23:12:04.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627732,9.937582128777924,39.46078431372549,1610612751,2,2,2022-12-18T23:12:08Z,150000,False,53.0,41.0,1,left,B. Simmons 6' turnaround Hook (2 PTS),[1627732],1610612751.0,BKN,turnaround,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),0-8 Center,6.67,Made,,,,,,,,,,2.0,,,,,,,,
