actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,jumpBallRecoverdPersonId
17,PT10M52.00S,2023-02-04T00:12:36.6Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,2,0,2023-02-04T00:12:38Z,170000,False,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,,,,Right Corner 3,24+ Right,,,Stewart,I. Stewart,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
18,PT10M44.00S,2023-02-04T00:12:44.7Z,1,REGULAR,3pt,Jump Shot,[],202711,93.51182654402102,2.450980392156863,1610612765,5,0,2023-02-04T00:12:49Z,180000,False,-238.0,8.0,1,right,B. Bogdanovic 3PT  (5 PTS) (J. Ivey 2 AST),"[202711, 1631093]",1610612765.0,DET,,,,,,,Left Corner 3,24+ Left,23.79,Made,Bogdanovic,B. Bogdanovic,,,,,,,,5.0,J. Ivey,1631093.0,2.0,,,,,,,,
20,PT10M34.00S,2023-02-04T00:12:54.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,5.075558475689881,46.07843137254902,1610612766,5,2,2023-02-04T00:12:59Z,200000,False,20.0,-5.0,1,left,L. Ball driving Layup (2 PTS),[1630163],1610612766.0,CHA,driving,,,,,,Restricted Area,0-8 Center,2.02,Made,Ball,L. Ball,,,,,,,,2.0,,,,,,,,,,,
21,PT10M19.00S,2023-02-04T00:13:10.6Z,1,REGULAR,3pt,Jump Shot,[],1631093,67.09921156373193,70.34313725490196,1610612765,8,2,2023-02-04T00:13:15Z,210000,False,102.0,257.0,1,right,J. Ivey 27' 3PT  (3 PTS) (I. Stewart 1 AST),"[1631093, 1630191]",1610612765.0,DET,,,,,,,Above the Break 3,24+ Right Center,27.62,Made,Ivey,J. Ivey,,,,,,,,3.0,I. Stewart,1630191.0,1.0,,,,,,,,
23,PT10M02.00S,2023-02-04T00:13:26.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629023,7.835085413929041,51.9607843137255,1610612766,8,2,2023-02-04T00:13:31Z,230000,False,-10.0,21.0,1,left,MISS P. Washington driving Layup,[1629023],1610612766.0,CHA,driving,,,,,,Restricted Area,0-8 Center,2.33,Missed,Washington,P. Washington,,,,,,,,,,,,,,,,,,,
24,PT10M00.00S,2023-02-04T00:13:28.9Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,8,2,2023-02-04T00:13:31Z,240000,False,,,0,,I. Stewart REBOUND (Off:0 Def:2),[1630191],1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,,,Stewart,I. Stewart,23.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
25,PT09M51.00S,2023-02-04T00:13:37.7Z,1,REGULAR,2pt,Jump Shot,[],1631105,91.01511169513797,31.61764705882353,1610612765,8,2,2023-02-04T00:13:42Z,250000,False,-92.0,32.0,1,right,MISS J. Duren 9' fadeaway Shot,[1631105],1610612765.0,DET,fadeaway,,,,,,Mid-Range,8-16 Left,9.73,Missed,Duren,J. Duren,,,,,,,,,,,,,,,,,,,
26,PT09M49.00S,2023-02-04T00:13:39.7Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,8,2,2023-02-04T00:13:42Z,260000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,,,,Mid-Range,8-16 Left,,,Ball,L. Ball,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
27,PT09M35.00S,2023-02-04T00:13:54.7Z,1,REGULAR,3pt,Jump Shot,[],1629023,26.888961892247043,84.80392156862744,1610612766,8,2,2023-02-04T00:18:05Z,270000,False,-174.0,200.0,1,left,MISS P. Washington 26' 3PT,[1629023],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Left Center,26.53,Missed,Washington,P. Washington,,,,,,,,,,,,,,,,,,,
28,PT09M32.00S,2023-02-04T00:13:57.7Z,1,REGULAR,rebound,defensive,[],202692,,,1610612765,8,2,2023-02-04T00:17:32Z,280000,False,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612765.0,DET,,,,,,,Above the Break 3,24+ Left Center,,,Burks,A. Burks,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
