actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-15T18:10:41.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-15T18:10:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-01-15T18:10:46.2Z,1,REGULAR,jumpball,recovered,[],1628973,,,1610612752,0,0,2023-01-15T18:10:46Z,40000,False,,,0,,Jump Ball M. Robinson vs. I. Stewart: Tip to J. Brunson,"[1628973, 1629011, 1630191]",1610612752.0,NYK,startperiod,J. Brunson,1628973.0,Brunson,J. Brunson,Robinson,1629011.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2023-01-15T18:11:03.9Z,1,REGULAR,3pt,Jump Shot,[],203944,22.28975032851511,11.519607843137255,1610612752,0,3,2023-01-15T18:11:09Z,70000,False,192.0,157.0,1,left,J. Randle 24' 3PT  (3 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,24.83,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2023-01-15T18:11:26.3Z,1,REGULAR,foul,offensive,[],1630191,,,1610612765,0,3,2023-01-15T18:11:58Z,80000,False,,,0,,I. Stewart offensive FOUL (1 PF),"[1630191, 1628973]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Mid-Range,8-16 Center,,,,203592.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,,,
10,PT11M22.00S,2023-01-15T18:11:26.3Z,1,REGULAR,turnover,offensive foul,[],1630191,,,1610612765,0,3,2023-01-15T18:11:26Z,100000,False,,,0,,I. Stewart offensive foul TURNOVER (1 TO),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Mid-Range,8-16 Center,,,,203592.0,,,,,1.0,,,,,,,,,,,
11,PT11M10.00S,2023-01-15T18:11:41.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629011,6.1268068331143235,42.15686274509804,1610612752,0,5,2023-01-15T18:11:52Z,110000,False,39.0,5.0,1,left,M. Robinson Layup (2 PTS) (R. Barrett 1 AST),"[1629011, 1629628]",1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,3.95,Made,2.0,,,,,,,R. Barrett,1629628.0,1.0,,,,,,,,
13,PT10M57.00S,2023-01-15T18:11:54.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630165,91.27792378449409,42.15686274509804,1610612765,0,5,2023-01-15T18:12:30Z,130000,False,-39.0,29.0,1,right,MISS K. Hayes driving Layup - blocked,"[1630165, 1629011]",1610612765.0,DET,driving,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),0-8 Center,4.91,Missed,,,,,,,,,,,Robinson,1629011.0,,,,,,
14,PT10M57.00S,2023-01-15T18:11:54.0Z,1,REGULAR,block,,[],1629011,,,1610612765,0,5,2023-01-15T18:11:56Z,140000,False,,,0,,M. Robinson BLOCK (1 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M55.00S,2023-01-15T18:11:56.0Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,0,5,2023-01-15T18:12:03Z,150000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,
16,PT10M52.00S,2023-01-15T18:11:59.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629628,23.340998685939553,85.5392156862745,1610612752,0,5,2023-01-15T18:13:19Z,160000,False,-178.0,167.0,1,left,MISS R. Barrett 24' running 3PT,[1629628],1610612752.0,NYK,running,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,24.38,Missed,,,,,,,,,,,,,,,,,,
17,PT10M49.00S,2023-01-15T18:12:02.0Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,0,5,2023-01-15T18:12:08Z,170000,False,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,
18,PT10M34.00S,2023-01-15T18:12:17.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631093,91.14651773981603,49.01960784313725,1610612765,0,5,2023-01-15T18:12:22Z,180000,False,-5.0,31.0,1,right,MISS J. Ivey driving Layup - blocked,"[1631093, 1629011]",1610612765.0,DET,driving,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,3.11,Missed,,,,,,,,,,,Robinson,1629011.0,,,,,,
19,PT10M34.00S,2023-01-15T18:12:17.8Z,1,REGULAR,block,,[],1629011,,,1610612765,0,5,2023-01-15T18:12:19Z,190000,False,,,0,,M. Robinson BLOCK (2 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M29.00S,2023-01-15T18:12:22.8Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612752,0,5,2023-01-15T18:12:22Z,200000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,
21,PT10M26.00S,2023-01-15T18:12:26.5Z,1,REGULAR,foul,personal,['2freethrow'],1631093,,,1610612752,0,5,2023-01-15T18:12:38Z,210000,False,,,0,,J. Ivey shooting personal FOUL (1 PF) (Barrett 2 FT),"[1631093, 1629628]",1610612765.0,DET,shooting,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),0-8 Center,,,,1627519.0,1.0,0.0,Barrett,1629628.0,,,,,,,,,,,,
23,PT10M26.00S,2023-01-15T18:12:47.4Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612752,0,5,2023-01-15T18:12:47Z,230000,False,,,0,,MISS R. Barrett Free Throw 1 of 2,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
24,PT10M26.00S,2023-01-15T18:12:47.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,0,5,2023-01-15T18:12:47Z,240000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,
25,PT10M26.00S,2023-01-15T18:12:58.8Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612752,0,6,2023-01-15T18:12:58Z,250000,False,,,0,,R. Barrett Free Throw 2 of 2 (1 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
