actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
254,PT06M58.00S,2022-11-13T00:51:33.4Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629684,83.83705650459922,97.03584558823529,1610612738,34,39,2022-11-13T00:51:51Z,2440000,False,235.0,99.0,1,right,MISS G. Williams 25' step back 3PT,[1629684],1610612738.0,BOS,step back,,,Williams,G. Williams,,,,,Above the Break 3,24+ Right Center,25.53,Missed,,,,,,,,,,,,,,,,,,
255,PT06M54.00S,2022-11-13T00:51:37.4Z,2,REGULAR,rebound,defensive,[],1631105,,,1610612765,34,39,2022-11-13T00:51:40Z,2450000,False,,,0,,J. Duren REBOUND (Off:0 Def:4),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Right Center,,,,254.0,4.0,4.0,0.0,,,,,,,,,,,,,
256,PT06M48.00S,2022-11-13T00:51:43.1Z,2,REGULAR,3pt,Jump Shot,[],1630180,9.116294349540084,95.58823529411765,1610612765,37,39,2022-11-13T00:51:47Z,2460000,False,-228.0,33.0,1,left,S. Bey 3PT  (3 PTS) (K. Hayes 1 AST),"[1630180, 1630165]",1610612765.0,DET,,,,Bey,S. Bey,,,,,Left Corner 3,24+ Left,23.03,Made,3.0,,,,,K. Hayes,1630165.0,1.0,,,,,,,,,,
258,PT06M29.00S,2022-11-13T00:52:01.8Z,2,REGULAR,3pt,Jump Shot,[],1628401,67.32917214191853,73.0392156862745,1610612738,37,39,2022-11-13T00:59:54Z,2480000,False,115.0,255.0,1,right,MISS D. White 27' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Right Center,27.94,Missed,,,,,,,,,,,,,,,,,,
259,PT06M26.00S,2022-11-13T00:52:04.8Z,2,REGULAR,rebound,defensive,[],1631105,,,1610612765,37,39,2022-11-13T00:52:06Z,2490000,False,,,0,,J. Duren REBOUND (Off:0 Def:5),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Right Center,,,,258.0,5.0,5.0,0.0,,,,,,,,,,,,,
260,PT06M19.00S,2022-11-13T00:52:12.1Z,2,REGULAR,2pt,Jump Shot,[],1630180,15.818002628120894,88.72549019607843,1610612765,37,39,2022-11-13T01:00:48Z,2500000,False,-194.0,96.0,1,left,MISS S. Bey 21' step back Shot,[1630180],1610612765.0,DET,step back,,,Bey,S. Bey,,,,,Mid-Range,16-24 Left,21.62,Missed,,,,,,,,,,,,,,,,,,
261,PT06M17.00S,2022-11-13T00:52:15.4Z,2,REGULAR,rebound,offensive,[],1631105,,,1610612765,37,39,2022-11-13T00:52:15Z,2510000,False,,,0,,J. Duren REBOUND (Off:1 Def:5),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,16-24 Left,,,,260.0,6.0,5.0,1.0,,,,,,,,,,,,,
262,PT06M17.00S,2022-11-13T00:52:20.0Z,2,REGULAR,foul,personal,[],201933,,,1610612765,37,39,2022-11-13T00:54:01Z,2520000,False,,,0,,B. Griffin personal FOUL (1 PF),"[201933, 1631105]",1610612738.0,BOS,,,,Griffin,B. Griffin,,,,,Mid-Range,16-24 Left,,,,,,,,,,,201245.0,1.0,0.0,Duren,1631105.0,,,,,
264,PT06M17.00S,2022-11-13T00:52:37.6Z,2,REGULAR,substitution,out,[],1631105,,,1610612765,37,39,2022-11-13T00:52:55Z,2540000,False,,,0,,SUB out: J. Duren,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,,,,,,,,,,,,,
265,PT06M17.00S,2022-11-13T00:52:37.6Z,2,REGULAR,substitution,out,[],1628963,,,1610612765,37,39,2022-11-13T00:52:55Z,2550000,False,,,0,,SUB out: M. Bagley III,[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,,,
