actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2022-11-08T00:31:09.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-08T00:31:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-11-08T00:31:14.3Z,1,REGULAR,jumpball,recovered,[],202711,,,1610612765,0,0,2022-11-08T00:31:14Z,40000,,,0,,Jump Ball I. Stewart vs. J. Robinson-Earl: Tip to B. Bogdanovic,"[202711, 1630191, 1630526]",1610612765.0,DET,startperiod,B. Bogdanovic,202711.0,Bogdanovic,B. Bogdanovic,Stewart,1630191.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-11-08T00:31:22.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630180,91.40932982917214,46.81372549019608,1610612765,0,0,2022-11-08T00:31:28Z,70000,-16.0,28.0,1,right,MISS S. Bey driving Layup,[1630180],1610612765.0,DET,driving,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,3.25,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-11-08T00:31:27.2Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,0,0,2022-11-08T00:31:28Z,80000,,,0,,I. Stewart REBOUND (Off:1 Def:0),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M41.00S,2022-11-08T00:31:26.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630191,94.40999984741211,50.0,1610612765,2,0,2022-11-08T00:31:26Z,90000,0.0,0.0,1,right,I. Stewart tip Layup (2 PTS),[1630191],1610612765.0,DET,tip,,,Stewart,I. Stewart,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M20.00S,2022-11-08T00:31:48.0Z,1,REGULAR,3pt,Jump Shot,[],1629652,22.026938239159,89.70588235294117,1610612760,2,3,2022-11-08T00:31:54Z,100000,-199.0,155.0,1,left,L. Dort 25' 3PT  (3 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,25.16,Made,,,,,3.0,,,,,,,,,,,,,
11,PT11M06.00S,2022-11-08T00:32:01.7Z,1,REGULAR,2pt,Jump Shot,[],1630595,77.34888304862024,32.84313725490196,1610612765,2,3,2022-11-08T00:32:07Z,110000,-86.0,160.0,1,right,MISS C. Cunningham 18' pullup Shot,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Mid-Range,16-24 Left Center,18.19,Missed,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2022-11-08T00:32:03.7Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,2,3,2022-11-08T00:32:07Z,120000,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Left Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M56.00S,2022-11-08T00:32:11.5Z,1,REGULAR,3pt,Jump Shot,[],1629652,26.757555847568987,16.911764705882355,1610612760,2,3,2022-11-08T00:32:15Z,130000,165.0,199.0,1,left,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,25.88,Missed,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2022-11-08T00:32:13.5Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,2,3,2022-11-08T00:32:15Z,140000,,,0,,J. Ivey REBOUND (Off:0 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Right Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M47.00S,2022-11-08T00:32:21.2Z,1,REGULAR,3pt,Jump Shot,[],1631093,69.33311432325887,72.79411764705883,1610612765,2,3,2022-11-08T00:32:47Z,150000,114.0,236.0,1,right,MISS J. Ivey 26' pullup 3PT,[1631093],1610612765.0,DET,pullup,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Right Center,26.19,Missed,,,,,,,,,,,,,,,,,,
16,PT10M44.00S,2022-11-08T00:32:24.2Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,2,3,2022-11-08T00:32:25Z,160000,,,0,,J. Giddey REBOUND (Off:0 Def:2),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,,,15.0,2.0,2.0,0.0,,,,,,,,,,,,,,
17,PT10M40.00S,2022-11-08T00:32:28.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630581,7.440867279894875,53.92156862745098,1610612760,2,3,2022-11-08T00:32:34Z,170000,-20.0,17.0,1,left,MISS J. Giddey driving Layup,[1630581],1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,2.62,Missed,,,,,,,,,,,,,,,,,,
18,PT10M39.00S,2022-11-08T00:32:29.1Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,2,3,2022-11-08T00:32:34Z,180000,,,0,,I. Stewart REBOUND (Off:1 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,,,17.0,2.0,1.0,1.0,,,,,,,,,,,,,,
