actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-14T00:10:23.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-14T00:10:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-14T00:10:26.2Z,1,REGULAR,jumpball,recovered,[],1630230,,,1610612740,0,0,2023-01-14T00:10:26Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. N. Noel: Tip to N. Marshall,"[1630230, 202685, 203457]",1610612740.0,NOP,startperiod,N. Marshall,1630230.0,Marshall,N. Marshall,Valanciunas,202685.0,Noel,203457.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2023-01-14T00:10:47.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,92.85479632063075,59.55882352941176,1610612740,0,2,2023-01-14T00:11:01Z,70000,False,48.0,15.0,1,right,C. McCollum driving floating bank Jump Shot (2 PTS),[203468],1610612740.0,NOP,driving floating bank,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,5.0,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M17.00S,2023-01-14T00:11:05.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630180,8.623521681997373,50.73529411764706,1610612765,0,2,2023-01-14T00:11:24Z,80000,False,-4.0,29.0,1,left,MISS S. Bey Layup,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,2.88,Missed,,,,,,,,,,,,,,,,,,
9,PT11M14.00S,2023-01-14T00:11:08.5Z,1,REGULAR,rebound,offensive,[],1630180,,,1610612765,0,2,2023-01-14T00:11:09Z,90000,False,,,0,,S. Bey REBOUND (Off:1 Def:0),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M12.00S,2023-01-14T00:11:10.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630180,6.915243101182654,48.77450980392157,1610612765,0,2,2023-01-14T00:11:18Z,100000,False,6.0,13.0,1,left,MISS S. Bey tip Layup,[1630180],1610612765.0,DET,tip,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,1.39,Missed,,,,,,,,,,,,,,,,,,
11,PT11M08.00S,2023-01-14T00:11:14.6Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,0,2,2023-01-14T00:11:14Z,110000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M03.00S,2023-01-14T00:11:21.5Z,1,REGULAR,turnover,traveling,[],1630230,,,1610612740,0,2,2023-01-14T00:11:41Z,120000,False,,,0,,N. Marshall traveling TURNOVER (1 TO),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Mid-Range,16-24 Right,,,,,,,,2882.0,1.0,,,,,,,,,,,
13,PT11M03.00S,2023-01-14T00:11:29.7Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612765,0,2,2023-01-14T00:11:49Z,130000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,204058.0,,,,,,,,,,,,
14,PT10M46.00S,2023-01-14T00:12:02.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202711,23.73521681997372,47.05882352941176,1610612765,2,2,2023-01-14T00:12:07Z,140000,False,15.0,171.0,1,left,B. Bogdanovic 17' pullup Jump Shot (2 PTS),[202711],1610612765.0,DET,pullup,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,16-24 Center,17.12,Made,2.0,,,,,,,,,,,,,,,,,
