actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-12T00:10:20.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-12T00:10:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-03-12T00:10:24.0Z,1,REGULAR,jumpball,recovered,[],1630174,,,1610612754,0,0,2023-03-12T00:10:24Z,40000,False,,,0,,Jump Ball I. Jackson vs. J. Wiseman: Tip to A. Nesmith,"[1630174, 1630543, 1630164]",1610612754.0,IND,startperiod,A. Nesmith,1630174.0,Nesmith,A. Nesmith,Jackson,1630543.0,Wiseman,1630164.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-03-12T00:10:40.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627741,16.113666228646515,60.049019607843135,1610612754,0,2,2023-03-12T00:11:14Z,70000,False,-50.0,99.0,1,left,B. Hield 11' pullup Jump Shot (2 PTS),[1627741],1610612754.0,IND,pullup,,,Hield,B. Hield,,,,,In The Paint (Non-RA),8-16 Center,11.1,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M15.00S,2023-03-12T00:11:35.7Z,1,REGULAR,foul,offensive,[],203585,,,1610612765,0,2,2023-03-12T00:11:57Z,90000,False,,,0,,R. McGruder offensive FOUL (1 PF),"[203585, 1629614]",1610612765.0,DET,,,,McGruder,R. McGruder,,,,,Mid-Range,8-16 Right,,,,2715.0,1.0,0.0,Nembhard,1629614.0,,,,,,,,,,,,
11,PT11M15.00S,2023-03-12T00:11:35.7Z,1,REGULAR,turnover,offensive foul,[],203585,,,1610612765,0,2,2023-03-12T00:11:46Z,110000,False,,,0,,R. McGruder offensive foul TURNOVER (1 TO),[203585],1610612765.0,DET,,,,McGruder,R. McGruder,,,,,Mid-Range,8-16 Right,,,,2715.0,,,,,1.0,,,,,,,,,,,
12,PT11M05.00S,2023-03-12T00:11:56.5Z,1,REGULAR,turnover,discontinued dribble,[],1629614,,,1610612754,0,2,2023-03-12T00:12:12Z,120000,False,,,0,,A. Nembhard discontinued dribble TURNOVER (1 TO),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Right Center,,,,2715.0,,,,,1.0,,,,,,,,,,,
13,PT10M56.00S,2023-03-12T00:12:13.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630164,67.7562417871222,59.80392156862745,1610612765,3,2,2023-03-12T00:12:22Z,130000,False,49.0,251.0,1,right,J. Wiseman 25' 3PT  (3 PTS) (K. Hayes 1 AST),"[1630164, 1630165]",1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Above the Break 3,24+ Center,25.53,Made,3.0,,,,,,,K. Hayes,1630165.0,1.0,,,,,,,,
15,PT10M38.00S,2023-03-12T00:12:30.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630543,7.703679369250986,52.450980392156865,1610612754,3,2,2023-03-12T00:13:13Z,150000,False,-12.0,20.0,1,left,MISS I. Jackson cutting Layup,[1630543],1610612754.0,IND,cutting,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,2.34,Missed,,,,,,,,,,,,,,,,,,
16,PT10M35.00S,2023-03-12T00:12:33.4Z,1,REGULAR,rebound,offensive,[],1630543,,,1610612754,3,2,2023-03-12T00:12:33Z,160000,False,,,0,,I. Jackson REBOUND (Off:1 Def:0),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,
17,PT10M35.00S,2023-03-12T00:12:33.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630543,5.590000152587891,50.0,1610612754,3,4,2023-03-12T00:12:33Z,170000,False,0.0,0.0,1,left,I. Jackson tip Layup (2 PTS),[1630543],1610612754.0,IND,tip,,,Jackson,I. Jackson,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M21.00S,2023-03-12T00:12:47.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630164,83.52496714848883,43.13725490196079,1610612765,3,4,2023-03-12T00:13:35Z,180000,False,-34.0,102.0,1,right,MISS J. Wiseman 10' fadeaway Shot,[1630164],1610612765.0,DET,fadeaway,,,Wiseman,J. Wiseman,,,,,In The Paint (Non-RA),8-16 Center,10.8,Missed,,,,,,,,,,,,,,,,,,
19,PT10M19.00S,2023-03-12T00:12:49.2Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,3,4,2023-03-12T00:12:55Z,190000,False,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,
20,PT10M14.00S,2023-03-12T00:12:54.3Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1630537,7.30946123521682,74.75490196078431,1610612754,3,4,2023-03-12T00:13:53Z,200000,False,-124.0,16.0,1,left,MISS C. Duarte 12' running pullup Shot,[1630537],1610612754.0,IND,running pullup,,,Duarte,C. Duarte,,,,,Mid-Range,8-16 Left,12.49,Missed,,,,,,,,,,,,,,,,,,
21,PT10M14.00S,2023-03-12T00:12:54.3Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612765,3,4,2023-03-12T00:13:00Z,210000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,
22,PT10M01.00S,2023-03-12T00:13:07.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628963,88.25558475689881,44.85294117647059,1610612765,5,4,2023-03-12T00:13:13Z,220000,False,-26.0,58.0,1,right,M. Bagley III 6' floating Jump Shot (2 PTS) (K. Hayes 2 AST),"[1628963, 1630165]",1610612765.0,DET,floating,,,Bagley III,M. Bagley III,,,,,In The Paint (Non-RA),0-8 Center,6.33,Made,2.0,,,,,,,K. Hayes,1630165.0,2.0,,,,,,,,
24,PT09M51.00S,2023-03-12T00:13:18.1Z,1,REGULAR,2pt,Jump Shot,[],1629614,8.492115637319317,66.91176470588235,1610612754,5,6,2023-03-12T00:13:46Z,240000,False,-85.0,27.0,1,left,A. Nembhard 8' floating Jump Shot (2 PTS) (I. Jackson 1 AST),"[1629614, 1630543]",1610612754.0,IND,floating,,,Nembhard,A. Nembhard,,,,,Mid-Range,8-16 Left,8.89,Made,2.0,,,,,,,I. Jackson,1630543.0,1.0,,,,,,,,
26,PT09M39.00S,2023-03-12T00:13:30.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630165,85.3646517739816,39.21568627450981,1610612765,7,6,2023-03-12T00:13:37Z,260000,False,-54.0,85.0,1,right,K. Hayes 10' pullup Jump Shot (2 PTS),[1630165],1610612765.0,DET,pullup,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),8-16 Left,10.07,Made,2.0,,,,,,,,,,,,,,,,,
