actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,blockPlayerName,blockPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-04T23:10:57.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-04T23:10:57Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-04T23:11:00.7Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2022-11-04T23:11:00Z,40000,,,0,,Jump Ball J. Allen vs. I. Stewart: Tip to E. Mobley,"[1630596, 1628386, 1630191]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-11-04T23:11:11.2Z,1,REGULAR,foul,personal,['2freethrow'],1630191,,,1610612739,0,0,2022-11-04T23:11:33Z,70000,,,0,,I. Stewart shooting personal FOUL (1 PF) (Allen 2 FT),"[1630191, 1628386]",1610612765.0,DET,shooting,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),0-8 Center,1204.0,1.0,0.0,Allen,1628386.0,,,,,,,,,,,,,,,
9,PT11M45.00S,2022-11-04T23:11:39.5Z,1,REGULAR,freethrow,1 of 2,[],1628386,,,1610612739,0,1,2022-11-04T23:11:39Z,90000,,,0,,J. Allen Free Throw 1 of 2 (1 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M45.00S,2022-11-04T23:11:51.4Z,1,REGULAR,freethrow,2 of 2,[],1628386,,,1610612739,0,1,2022-11-04T23:11:51Z,100000,,,0,,MISS J. Allen Free Throw 2 of 2,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
11,PT11M44.00S,2022-11-04T23:11:52.8Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,0,1,2022-11-04T23:11:52Z,110000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M27.00S,2022-11-04T23:12:09.1Z,1,REGULAR,3pt,Jump Shot,[],1630595,7.933639947437584,4.166666666666657,1610612765,0,1,2022-11-04T23:12:13Z,120000,229.0,22.0,1,left,MISS C. Cunningham 3PT,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,,,,23.03,,,,,,,,
13,PT11M23.00S,2022-11-04T23:12:13.1Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612739,0,1,2022-11-04T23:12:13Z,130000,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Right Corner 3,24+ Right,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M16.00S,2022-11-04T23:12:20.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,94.3988173455979,44.36274509803921,1610612739,0,1,2022-11-04T23:13:11Z,140000,-28.0,0.0,1,right,MISS J. Allen Layup - blocked,"[1628386, 1630595]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,2.82,Cunningham,1630595.0,,,,,,
15,PT11M16.00S,2022-11-04T23:12:20.4Z,1,REGULAR,block,,[],1630595,,,1610612739,0,1,2022-11-04T23:12:23Z,150000,,,0,,C. Cunningham BLOCK (1 BLK),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT11M16.00S,2022-11-04T23:12:20.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,0,1,2022-11-04T23:13:11Z,160000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,14.0,,,,,,,,,,,,
18,PT11M08.00S,2022-11-04T23:12:42.9Z,1,REGULAR,turnover,traveling,[],1628386,,,1610612739,0,1,2022-11-04T23:12:49Z,180000,,,0,,J. Allen traveling TURNOVER (1 TO),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,1148.0,,,,,,,,,,,,,,1.0,,,,,
19,PT10M49.00S,2022-11-04T23:13:11.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630595,21.59986859395532,74.26470588235294,1610612765,2,1,2022-11-04T23:13:16Z,190000,-121.0,151.0,1,left,C. Cunningham 19' step back Jump Shot (2 PTS),[1630595],1610612765.0,DET,step back,,,Cunningham,C. Cunningham,,,,,Mid-Range,16-24 Left Center,,,,,,Made,2.0,,,,,19.33,,,,,,,,
20,PT10M23.00S,2022-11-04T23:13:37.3Z,1,REGULAR,3pt,Jump Shot,[],1629731,78.49868593955321,91.42156862745098,1610612739,2,1,2022-11-04T23:13:46Z,200000,207.0,150.0,1,right,MISS D. Wade 25' 3PT,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,25.55,,,,,,,,
