actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-15T00:10:51.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-15T00:10:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-15T00:10:55.1Z,1,REGULAR,jumpball,recovered,[],1631093,,,1610612765,0,0,2022-11-15T00:10:55Z,40000,False,,,0,,Jump Ball M. Bagley III vs. S. Barnes: Tip to J. Ivey,"[1631093, 1628963, 1630567]",1610612765.0,DET,startperiod,J. Ivey,1631093.0,Ivey,J. Ivey,Bagley III,1628963.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2022-11-15T00:11:00.4Z,1,REGULAR,turnover,lost ball,[],1631093,,,1610612765,0,0,2022-11-15T00:11:04Z,70000,False,,,0,,J. Ivey lost ball TURNOVER (1 TO),"[1631093, 201152]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Left Center,1.0,Young,201152.0,,,,,,,,,,,,,,,,,
8,PT11M50.00S,2022-11-15T00:11:00.4Z,1,REGULAR,steal,,[],201152,,,1610612761,0,0,2022-11-15T00:11:02Z,80000,False,,,0,,T. Young STEAL (1 STL),[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M45.00S,2022-11-15T00:11:05.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630567,95.66360052562418,49.486825980392155,1610612761,0,2,2022-11-15T00:11:48Z,90000,False,-3.0,-12.0,1,right,S. Barnes running DUNK (2 PTS) (O. Anunoby 1 AST),"[1630567, 1628384]",1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,1.2,Made,2.0,O. Anunoby,1628384.0,1.0,,,,,,,,,,,
13,PT11M23.00S,2022-11-15T00:11:55.8Z,1,REGULAR,turnover,bad pass,[],202711,,,1610612765,0,2,2022-11-15T00:12:02Z,130000,False,,,0,,B. Bogdanovic bad pass TURNOVER (1 TO),"[202711, 1630625]",1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Left Center,1.0,Banton,1630625.0,,,,,,,,,,,,,,,,,
14,PT11M23.00S,2022-11-15T00:11:55.8Z,1,REGULAR,steal,,[],1630625,,,1610612761,0,2,2022-11-15T00:11:59Z,140000,False,,,0,,D. Banton STEAL (1 STL),[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
15,PT11M20.00S,2022-11-15T00:12:01.7Z,1,REGULAR,turnover,traveling,[],203490,,,1610612761,0,2,2022-11-15T00:12:08Z,150000,False,,,0,,O. Porter Jr. traveling TURNOVER (1 TO),[203490],1610612761.0,TOR,,,,Porter Jr.,O. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,,,,2003.0,,,,,,,,,,
16,PT11M10.00S,2022-11-15T00:12:19.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628963,33.03219448094612,46.32352941176471,1610612765,3,2,2022-11-15T00:12:24Z,160000,False,18.0,258.0,1,left,M. Bagley III 25' 3PT  (3 PTS) (K. Hayes 1 AST),"[1628963, 1630165]",1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,Above the Break 3,24+ Center,,,,25.87,Made,3.0,K. Hayes,1630165.0,1.0,,,,,,,,,,,
18,PT10M50.00S,2022-11-15T00:12:39.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201152,93.34756898817345,60.049019607843135,1610612761,3,4,2022-11-15T00:13:35Z,180000,False,50.0,10.0,1,right,T. Young driving Hook (2 PTS),[201152],1610612761.0,TOR,driving,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,,,,5.12,Made,2.0,,,,,,,,,,,,,,
