actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-07T00:10:51.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-07T00:10:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-03-07T00:10:54.3Z,1,REGULAR,jumpball,recovered,[],1629629,,,1610612757,0,0,2023-03-07T00:10:54Z,40000,False,,,0,,Jump Ball D. Eubanks vs. J. Wiseman: Tip to C. Reddish,"[1629629, 1629234, 1630164]",1610612757.0,POR,startperiod,C. Reddish,1629629.0,Reddish,C. Reddish,Eubanks,1629234.0,Wiseman,1630164.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2023-03-07T00:11:14.1Z,1,REGULAR,3pt,Jump Shot,[],203924,68.38042049934297,36.51960784313726,1610612757,0,0,2023-03-07T00:11:22Z,70000,False,-67.0,245.0,1,right,MISS J. Grant 25' 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Center,25.38,Missed,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2023-03-07T00:11:19.1Z,1,REGULAR,rebound,defensive,[],1630164,,,1610612765,0,0,2023-03-07T00:11:22Z,80000,False,,,0,,J. Wiseman REBOUND (Off:0 Def:1),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M10.00S,2023-03-07T00:11:39.6Z,1,REGULAR,3pt,Jump Shot,[],1631093,26.461892247043366,88.72549019607843,1610612765,0,0,2023-03-07T00:11:58Z,90000,False,-194.0,196.0,1,left,MISS J. Ivey 27' pullup 3PT - blocked,"[1631093, 203924]",1610612765.0,DET,pullup,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Left Center,27.56,Missed,,,,,Grant,203924.0,,,,,,,,,,,,
10,PT11M10.00S,2023-03-07T00:11:39.6Z,1,REGULAR,block,,[],203924,,,1610612765,0,0,2023-03-07T00:11:43Z,100000,False,,,0,,J. Grant BLOCK (1 BLK),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
11,PT11M06.00S,2023-03-07T00:11:43.6Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612757,0,0,2023-03-07T00:11:45Z,110000,False,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT10M59.00S,2023-03-07T00:11:51.1Z,1,REGULAR,3pt,Jump Shot,[],203081,66.01511169513799,31.862745098039213,1610612757,0,3,2023-03-07T00:11:57Z,120000,False,-91.0,267.0,1,right,D. Lillard 28' 3PT  (3 PTS) (M. Thybulle 1 AST),"[203081, 1629680]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,28.2,Made,,,,,,,3.0,M. Thybulle,1629680.0,1.0,,,,,,,,
14,PT10M39.00S,2023-03-07T00:12:11.0Z,1,REGULAR,2pt,Jump Shot,[],202692,26.593298291721425,48.529411764705884,1610612765,0,3,2023-03-07T00:12:15Z,140000,False,7.0,197.0,1,left,MISS A. Burks 19' pullup Shot,[202692],1610612765.0,DET,pullup,,,Burks,A. Burks,,,,,Mid-Range,16-24 Center,19.76,Missed,,,,,,,,,,,,,,,,,,
15,PT10M36.00S,2023-03-07T00:12:14.0Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,0,3,2023-03-07T00:12:15Z,150000,False,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M29.00S,2023-03-07T00:12:20.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203924,92.55913272010513,42.15686274509803,1610612757,0,5,2023-03-07T01:10:02Z,160000,False,-39.0,17.0,1,right,J. Grant driving floating bank Jump Shot (2 PTS),[203924],1610612757.0,POR,driving floating bank,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,4.29,Made,,,,,,,2.0,,,,,,,,,,,
17,PT10M07.00S,2023-03-07T00:12:43.3Z,1,REGULAR,2pt,Jump Shot,[],1630164,7.276609724047319,73.52941176470588,1610612765,0,5,2023-03-07T00:13:11Z,170000,False,-118.0,16.0,1,left,MISS J. Wiseman 11' Jump Shot,[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Mid-Range,8-16 Left,11.87,Missed,,,,,,,,,,,,,,,,,,
18,PT10M05.00S,2023-03-07T00:12:45.3Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,0,5,2023-03-07T00:12:47Z,180000,False,,,0,,D. Lillard REBOUND (Off:0 Def:2),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Mid-Range,8-16 Left,,,17.0,2.0,2.0,0.0,,,,,,,,,,,,,,
19,PT09M57.00S,2023-03-07T00:12:53.0Z,1,REGULAR,3pt,Jump Shot,[],203081,73.242444152431,84.55882352941177,1610612757,0,5,2023-03-07T00:12:58Z,190000,False,173.0,199.0,1,right,MISS D. Lillard 26' step back 3PT,[203081],1610612757.0,POR,step back,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,26.36,Missed,,,,,,,,,,,,,,,,,,
20,PT09M55.00S,2023-03-07T00:12:55.0Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,0,5,2023-03-07T00:12:58Z,200000,False,,,0,,J. Ivey REBOUND (Off:0 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Right Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT09M50.00S,2023-03-07T00:13:00.8Z,1,REGULAR,3pt,Jump Shot,[],202692,31.32391590013141,83.57843137254902,1610612765,0,5,2023-03-07T00:13:10Z,210000,False,-168.0,242.0,1,left,MISS A. Burks 29' 3PT,[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,Above the Break 3,24+ Left Center,29.45,Missed,,,,,,,,,,,,,,,,,,
22,PT09M44.00S,2023-03-07T00:13:06.1Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,0,5,2023-03-07T00:13:06Z,220000,False,,,0,,D. Lillard REBOUND (Off:0 Def:3),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,,,21.0,3.0,3.0,0.0,,,,,,,,,,,,,,
23,PT09M32.00S,2023-03-07T00:13:18.6Z,1,REGULAR,3pt,Jump Shot,[],1629680,92.95335085413929,98.03921568627452,1610612757,0,5,2023-03-07T00:13:23Z,230000,False,240.0,14.0,1,right,MISS M. Thybulle 24' 3PT,[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Right Corner 3,24+ Right,24.06,Missed,,,,,,,,,,,,,,,,,,
24,PT09M29.00S,2023-03-07T00:13:21.6Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612765,0,5,2023-03-07T00:13:23Z,240000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,Right Corner 3,24+ Right,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M16.00S,2023-03-07T00:13:33.7Z,1,REGULAR,3pt,Jump Shot,[],1630587,29.747043363994734,22.058823529411768,1610612765,0,5,2023-03-07T00:13:37Z,250000,False,140.0,227.0,1,left,MISS I. Livers 26' 3PT,[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,Above the Break 3,24+ Right Center,26.66,Missed,,,,,,,,,,,,,,,,,,
26,PT09M14.00S,2023-03-07T00:13:35.7Z,1,REGULAR,rebound,defensive,[],203924,,,1610612757,0,5,2023-03-07T00:13:37Z,260000,False,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M03.00S,2023-03-07T00:13:46.5Z,1,REGULAR,2pt,Jump Shot,[],203081,86.12023653088042,74.26470588235294,1610612757,0,7,2023-03-07T00:13:51Z,270000,False,121.0,78.0,1,right,D. Lillard 14' fadeaway Jump Shot (5 PTS),[203081],1610612757.0,POR,fadeaway,,,Lillard,D. Lillard,,,,,Mid-Range,8-16 Right,14.42,Made,,,,,,,5.0,,,,,,,,,,,
28,PT08M47.00S,2023-03-07T00:14:05.5Z,1,REGULAR,turnover,out-of-bounds,[],1630587,,,1610612765,0,7,2023-03-07T00:14:28Z,280000,False,,,0,,I. Livers bad pass out-of-bounds TURNOVER (1 TO),[1630587],1610612765.0,DET,bad pass,,,Livers,I. Livers,,,,,Mid-Range,0-8 Center,,,,,,,,,,,,,1.0,,,,,,,
29,PT08M35.00S,2023-03-07T00:14:26.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203081,68.38042049934297,25.980392156862735,1610612757,0,10,2023-03-07T00:15:58Z,290000,False,-120.0,245.0,1,right,D. Lillard 27' 3PT pullup (8 PTS) (J. Grant 1 AST),"[203081, 203924]",1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,27.26,Made,,,,,,,8.0,J. Grant,203924.0,1.0,,,,,,,,
30,PT08M19.00S,2023-03-07T00:14:43.4Z,1,REGULAR,3pt,Jump Shot,[],202692,32.637976346911955,71.81372549019608,1610612765,0,10,2023-03-07T00:16:13Z,300000,False,-109.0,254.0,1,left,MISS A. Burks 27' pullup 3PT,[202692],1610612765.0,DET,pullup,,,Burks,A. Burks,,,,,Above the Break 3,24+ Left Center,27.67,Missed,,,,,,,,,,,,,,,,,,
31,PT08M16.00S,2023-03-07T00:14:46.4Z,1,REGULAR,rebound,defensive,[],1629680,,,1610612757,0,10,2023-03-07T00:14:47Z,310000,False,,,0,,M. Thybulle REBOUND (Off:0 Def:1),[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Above the Break 3,24+ Left Center,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT08M08.00S,2023-03-07T00:14:54.0Z,1,REGULAR,3pt,Jump Shot,[],203081,66.67214191852825,50.98039215686275,1610612757,0,10,2023-03-07T00:14:58Z,320000,False,5.0,261.0,1,right,MISS D. Lillard 26' pullup 3PT,[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,26.08,Missed,,,,,,,,,,,,,,,,,,
