actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-28T23:11:51.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-28T23:11:51Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-28T23:11:53.6Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2022-10-28T23:11:53Z,40000,,,0,,Jump Ball C. Capela vs. I. Stewart: Tip to T. Young,"[1629027, 203991, 1630191]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Capela,203991.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-10-28T23:12:08.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,94.79303547963207,53.92156862745098,1610612737,0,2,2022-10-28T23:12:16Z,70000,20.0,-4.0,1,right,T. Young driving Layup (2 PTS),[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,Restricted Area,0-8 Center,1.99,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2022-10-28T23:12:21.6Z,1,REGULAR,3pt,Jump Shot,[],1630180,29.878449408672807,26.225490196078425,1610612765,0,2,2022-10-28T23:12:25Z,80000,119.0,228.0,1,left,MISS S. Bey 25' 3PT - blocked,"[1630180, 1628381]",1610612765.0,DET,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Right Center,25.75,Missed,,Collins,1628381.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2022-10-28T23:12:21.6Z,1,REGULAR,block,,[],1628381,,,1610612765,0,2,2022-10-28T23:12:24Z,90000,,,0,,J. Collins BLOCK (1 BLK),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2022-10-28T23:12:24.6Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,2,2022-10-28T23:12:25Z,100000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Right Center,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M19.00S,2022-10-28T23:12:30.4Z,1,REGULAR,3pt,Jump Shot,[],1628381,91.63929040735874,3.1862745098039227,1610612737,0,2,2022-10-28T23:12:34Z,110000,-234.0,26.0,1,right,MISS J. Collins 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Left Corner 3,24+ Left,23.56,Missed,,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2022-10-28T23:12:32.4Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,0,2,2022-10-28T23:12:34Z,120000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Left Corner 3,24+ Left,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M04.00S,2022-10-28T23:12:45.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631093,8.984888304862025,44.607843137254896,1610612765,0,2,2022-10-28T23:12:52Z,130000,27.0,32.0,1,left,MISS J. Ivey driving floating Shot,[1631093],1610612765.0,DET,driving floating,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,4.19,Missed,,,,,,,,,,,,,,,,,,
14,PT11M02.00S,2022-10-28T23:12:48.0Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,0,2,2022-10-28T23:12:48Z,140000,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
