actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-10T00:10:55.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-10T00:10:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-03-10T00:10:58.4Z,1,REGULAR,jumpball,recovered,[],1626162,,,1610612766,0,0,2023-03-10T00:10:58Z,40000,False,,,0,,Jump Ball M. Williams vs. J. Wiseman: Tip to K. Oubre Jr.,"[1626162, 1631109, 1630164]",1610612766.0,CHA,startperiod,K. Oubre Jr.,1626162.0,Oubre Jr.,K. Oubre Jr.,Williams,1631109.0,Wiseman,1630164.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M52.00S,2023-03-10T00:11:05.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,11.908672798948752,60.049019607843135,1610612766,0,0,2023-03-10T00:11:13Z,70000,False,-50.0,59.0,1,left,MISS T. Rozier 7' pullup Shot,[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,7.78,Missed,,,,,,,,,,,,,,,,,,
8,PT11M51.00S,2023-03-10T00:11:06.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,0,0,2023-03-10T00:11:13Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M50.00S,2023-03-10T00:11:14.3Z,1,REGULAR,foul,personal,[],1630587,,,1610612766,0,0,2023-03-10T00:11:22Z,90000,False,,,0,,I. Livers loose ball personal FOUL (1 PF),"[1630587, 1631109]",1610612765.0,DET,loose ball,,,Livers,I. Livers,,,,,Restricted Area,0-8 Center,,,,203591.0,1.0,0.0,Williams,1631109.0,,,,,,,,,,,,
11,PT11M43.00S,2023-03-10T00:11:27.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202330,5.601182654402102,75.49019607843137,1610612766,0,0,2023-03-10T00:11:33Z,110000,False,-127.0,0.0,1,left,MISS G. Hayward 12' pullup Shot,[202330],1610612766.0,CHA,pullup,,,Hayward,G. Hayward,,,,,Mid-Range,8-16 Left,12.75,Missed,,,,,,,,,,,,,,,,,,
12,PT11M39.00S,2023-03-10T00:11:31.3Z,1,REGULAR,rebound,defensive,[],1630164,,,1610612765,0,0,2023-03-10T00:11:33Z,120000,False,,,0,,J. Wiseman REBOUND (Off:0 Def:1),[1630164],1610612765.0,DET,,,,Wiseman,J. Wiseman,,,,,Mid-Range,8-16 Left,,,11.0,,,,,,1.0,1.0,0.0,,,,,,,,,
13,PT11M26.00S,2023-03-10T00:11:43.9Z,1,REGULAR,3pt,Jump Shot,[],1631093,70.51576872536137,74.50980392156863,1610612765,3,0,2023-03-10T00:11:49Z,130000,False,123.0,225.0,1,right,J. Ivey 25' 3PT  (3 PTS) (R. McGruder 1 AST),"[1631093, 203585]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Right Center,25.59,Made,,,,,,,,,,3.0,R. McGruder,203585.0,1.0,,,,,
15,PT11M14.00S,2023-03-10T00:11:55.5Z,1,REGULAR,2pt,Jump Shot,[],1629023,21.50131406044678,42.8921568627451,1610612766,3,2,2023-03-10T00:12:01Z,150000,False,36.0,150.0,1,left,P. Washington 15' pullup Jump Shot (2 PTS) (T. Rozier 1 AST),"[1629023, 1626179]",1610612766.0,CHA,pullup,,,Washington,P. Washington,,,,,Mid-Range,8-16 Center,15.38,Made,,,,,,,,,,2.0,T. Rozier,1626179.0,1.0,,,,,
17,PT10M54.00S,2023-03-10T00:12:16.4Z,1,REGULAR,turnover,bad pass,[],1630587,,,1610612765,3,2,2023-03-10T00:12:21Z,170000,False,,,0,,I. Livers bad pass TURNOVER (1 TO),"[1630587, 1626179]",1610612765.0,DET,,,,Livers,I. Livers,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1.0,Rozier,1626179.0,,
18,PT10M54.00S,2023-03-10T00:12:16.4Z,1,REGULAR,steal,,[],1626179,,,1610612766,3,2,2023-03-10T00:12:18Z,180000,False,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
19,PT10M49.00S,2023-03-10T00:12:20.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629023,6.258212877792378,51.225490196078425,1610612766,3,4,2023-03-10T00:12:26Z,190000,False,-6.0,6.0,1,left,P. Washington running DUNK (4 PTS) (T. Rozier 2 AST),"[1629023, 1626179]",1610612766.0,CHA,running,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,0.88,Made,,,,,,,,,,4.0,T. Rozier,1626179.0,2.0,,,,,
21,PT10M43.00S,2023-03-10T00:12:28.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203585,94.43166885676742,53.431372549019606,1610612765,5,4,2023-03-10T00:12:32Z,210000,False,17.0,0.0,1,right,R. McGruder driving Layup (2 PTS),[203585],1610612765.0,DET,driving,,,McGruder,R. McGruder,,,,,Restricted Area,0-8 Center,1.72,Made,,,,,,,,,,2.0,,,,,,,,
22,PT10M24.00S,2023-03-10T00:12:45.6Z,1,REGULAR,3pt,Jump Shot,[],1629023,27.677398160315374,75.0,1610612766,5,4,2023-03-10T00:12:49Z,220000,False,-125.0,208.0,1,left,MISS P. Washington 24' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,24.24,Missed,,,,,,,,,,,,,,,,,,
23,PT10M23.00S,2023-03-10T00:12:46.6Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612766,5,4,2023-03-10T00:12:49Z,230000,False,,,0,,M. Williams REBOUND (Off:1 Def:0),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Above the Break 3,24+ Left Center,,,22.0,,,,,,1.0,0.0,1.0,,,,,,,,,
24,PT10M20.00S,2023-03-10T00:12:50.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1629023,12.434296977660972,48.529411764705884,1610612766,5,6,2023-03-10T00:12:56Z,240000,False,7.0,64.0,1,left,P. Washington 6' Hook (6 PTS) (M. Williams 1 AST),"[1629023, 1631109]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,6.48,Made,,,,,,,,,,6.0,M. Williams,1631109.0,1.0,,,,,
26,PT10M07.00S,2023-03-10T00:13:05.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631093,87.72996057818659,41.17647058823529,1610612765,5,6,2023-03-10T00:14:07Z,260000,False,-44.0,63.0,1,right,MISS J. Ivey 7' Layup - blocked,"[1631093, 1626179]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),0-8 Center,7.67,Missed,,,,,,,,,,,,,,,,,Rozier,1626179.0
27,PT10M07.00S,2023-03-10T00:13:05.8Z,1,REGULAR,block,,[],1626179,,,1610612765,5,6,2023-03-10T00:13:08Z,270000,False,,,0,,T. Rozier BLOCK (1 BLK),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT10M05.00S,2023-03-10T00:13:07.8Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,5,6,2023-03-10T00:14:07Z,280000,False,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,,,26.0,,,,,,1.0,1.0,0.0,,,,,,,,,
29,PT09M59.00S,2023-03-10T00:13:13.1Z,1,REGULAR,foul,personal,['2freethrow'],1630164,,,1610612766,5,6,2023-03-10T00:13:37Z,290000,False,,,0,,J. Wiseman shooting personal FOUL (1 PF) (Williams 2 FT),"[1630164, 1631109]",1610612765.0,DET,shooting,,,Wiseman,J. Wiseman,,,,,Restricted Area,0-8 Center,,,,200834.0,1.0,0.0,Williams,1631109.0,,,,,,,,,,,,
31,PT09M59.00S,2023-03-10T00:14:01.9Z,1,REGULAR,freethrow,1 of 2,[],1631109,,,1610612766,5,6,2023-03-10T00:14:01Z,310000,False,,,0,,MISS M. Williams Free Throw 1 of 2,[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
