actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-26T23:11:00.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-26T23:11:00Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-10-26T23:11:04.8Z,1,REGULAR,jumpball,recovered,[],1630595,,,1610612765,0,0,2022-10-26T23:11:04Z,40000,,,0,,Jump Ball I. Stewart vs. C. Capela: Tip to C. Cunningham,"[1630595, 1630191, 203991]",1610612765.0,DET,startperiod,C. Cunningham,1630595.0,Cunningham,C. Cunningham,Stewart,1630191.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-10-26T23:11:14.8Z,1,REGULAR,3pt,Jump Shot,[],1630180,82.21090670170827,5.88235294117647,1610612765,0,0,2022-10-26T23:11:21Z,70000,-221.0,115.0,1,right,MISS S. Bey 24' 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,24.86,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-10-26T23:11:18.8Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,0,0,2022-10-26T23:11:21Z,80000,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2022-10-26T23:11:32.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,13.091327201051248,47.30392156862745,1610612737,0,2,2022-10-26T23:11:36Z,90000,13.0,71.0,1,left,D. Hunter 7' driving floating Jump Shot (2 PTS) (D. Murray 1 AST),"[1629631, 1627749]",1610612737.0,ATL,driving floating,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),0-8 Center,7.19,Made,,,,,2.0,D. Murray,1627749.0,1.0,,,,,,,,,,
10,PT11M11.00S,2022-10-26T23:11:48.9Z,1,REGULAR,2pt,Jump Shot,[],1630595,93.03547963206307,32.299325980392155,1610612765,2,2,2022-10-26T23:11:56Z,100000,-89.0,13.0,1,right,C. Cunningham 8' driving floating Jump Shot (2 PTS) (B. Bogdanovic 1 AST),"[1630595, 202711]",1610612765.0,DET,driving floating,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Left,8.94,Made,,,,,2.0,B. Bogdanovic,202711.0,1.0,,,,,,,,,,
12,PT10M56.00S,2022-10-26T23:12:04.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,14.536793692509855,49.754901960784316,1610612737,2,4,2022-10-26T23:12:09Z,120000,1.0,84.0,1,left,D. Hunter 8' floating Jump Shot (4 PTS),[1629631],1610612737.0,ATL,floating,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,8.41,Made,,,,,4.0,,,,,,,,,,,,,
13,PT10M42.00S,2022-10-26T23:12:16.7Z,1,REGULAR,3pt,Jump Shot,[],1630595,67.7562417871222,37.99019607843137,1610612765,5,4,2022-10-26T23:13:30Z,130000,-60.0,251.0,1,right,C. Cunningham 25' 3PT step back (5 PTS),[1630595],1610612765.0,DET,step back,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,25.77,Made,,,,,5.0,,,,,,,,,,,,,
14,PT10M33.00S,2022-10-26T23:12:29.4Z,1,REGULAR,foul,personal,[],202709,,,1610612737,5,4,2022-10-26T23:12:58Z,140000,,,0,,C. Joseph personal FOUL (1 PF),"[202709, 1628381]",1610612765.0,DET,,,,Joseph,C. Joseph,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1628480.0,1.0,0.0,Collins,1628381.0,,,,,
16,PT10M26.00S,2022-10-26T23:12:53.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,13.091327201051248,41.66666666666667,1610612737,5,6,2022-10-26T23:13:02Z,160000,42.0,71.0,1,left,T. Young 8' fadeaway Jump Shot (2 PTS) (D. Murray 2 AST),"[1629027, 1627749]",1610612737.0,ATL,fadeaway,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,8.2,Made,,,,,2.0,D. Murray,1627749.0,2.0,,,,,,,,,,
18,PT10M06.00S,2022-10-26T23:13:12.0Z,1,REGULAR,3pt,Jump Shot,[],202711,92.06636005256242,95.58823529411765,1610612765,5,6,2022-10-26T23:13:18Z,180000,228.0,22.0,1,right,MISS B. Bogdanovic 3PT,[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Right Corner 3,24+ Right,22.9,Missed,,,,,,,,,,,,,,,,,,
19,PT10M02.00S,2022-10-26T23:13:16.0Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,5,6,2022-10-26T23:13:18Z,190000,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Right Corner 3,24+ Right,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT09M58.00S,2022-10-26T23:13:21.8Z,1,REGULAR,foul,personal,['2freethrow'],202709,,,1610612737,5,6,2022-10-26T23:13:35Z,200000,,,0,,C. Joseph shooting personal FOUL (2 PF) (Young 2 FT),"[202709, 1629027]",1610612765.0,DET,shooting,,,Joseph,C. Joseph,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,202049.0,2.0,0.0,Young,1629027.0,,,,,
22,PT09M58.00S,2022-10-26T23:13:47.6Z,1,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,5,7,2022-10-26T23:13:47Z,220000,,,0,,T. Young Free Throw 1 of 2 (3 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
23,PT09M58.00S,2022-10-26T23:13:54.1Z,1,REGULAR,substitution,out,[],202709,,,1610612737,5,7,2022-10-26T23:13:58Z,230000,,,0,,SUB out: C. Joseph,[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT09M58.00S,2022-10-26T23:13:54.1Z,1,REGULAR,substitution,in,[],1630165,,,1610612737,5,7,2022-10-26T23:13:58Z,240000,,,0,,SUB in: K. Hayes,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M58.00S,2022-10-26T23:14:10.1Z,1,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,5,8,2022-10-26T23:14:10Z,250000,,,0,,T. Young Free Throw 2 of 2 (4 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
27,PT09M39.00S,2022-10-26T23:14:41.5Z,1,REGULAR,2pt,Jump Shot,[],1630595,88.51839684625493,70.83333333333334,1610612765,5,8,2022-10-26T23:14:46Z,270000,104.0,55.0,1,right,MISS C. Cunningham 11' step back Shot,[1630595],1610612765.0,DET,step back,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Right,11.8,Missed,,,,,,,,,,,,,,,,,,
28,PT09M36.00S,2022-10-26T23:14:44.3Z,1,REGULAR,rebound,offensive,[],1630165,,,1610612765,5,8,2022-10-26T23:14:44Z,280000,,,0,,K. Hayes REBOUND (Off:1 Def:0),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Mid-Range,8-16 Right,,,27.0,1.0,0.0,1.0,,,,,,,,,,,,,,
