actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-03-26T23:10:59.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-26T23:10:59Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-03-26T23:11:03.8Z,1,REGULAR,jumpball,recovered,[],1627749,,,1610612740,0,0,2026-03-26T23:11:03Z,40000,False,,,0,,Jump Ball D. Jordan vs. J. Duren: Tip to D. Murray,"[1627749, 201599, 1631105]",1610612740.0,NOP,startperiod,D. Murray,1627749.0,Murray,D. Murray,Jordan,201599.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2026-03-26T23:11:20.5Z,1,REGULAR,turnover,out-of-bounds,[],1630180,,,1610612740,0,0,2026-03-26T23:11:28Z,80000,False,,,0,,S. Bey lost ball out-of-bounds TURNOVER (1 TO),[1630180],1610612740.0,NOP,lost ball,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,1627526.0,1.0,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2026-03-26T23:11:47.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202699,19.66162943495401,94.6078431372549,1610612765,3,0,2026-03-26T23:12:15Z,90000,False,-223.0,132.0,1,left,T. Harris 25' 3PT  (3 PTS) (D. Jenkins 1 AST),"[202699, 1642450]",1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,,,25.93,Made,3.0,D. Jenkins,1642450.0,1.0,,,,,,,,,,,,
11,PT11M05.00S,2026-03-26T23:12:06.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201599,93.64323258869908,58.57843137254902,1610612740,3,2,2026-03-26T23:12:10Z,110000,False,43.0,7.0,1,right,D. Jordan Hook (2 PTS) (H. Jones 1 AST),"[201599, 1630529]",1610612740.0,NOP,,,,Jordan,D. Jordan,,,,,In The Paint (Non-RA),0-8 Center,,,4.35,Made,2.0,H. Jones,1630529.0,1.0,,,,,,,,,,,,
13,PT11M01.00S,2026-03-26T23:12:15.5Z,1,REGULAR,turnover,out-of-bounds,[],1642450,,,1610612765,3,2,2026-03-26T23:13:42Z,130000,False,,,0,,D. Jenkins bad pass out-of-bounds TURNOVER (1 TO),[1642450],1610612765.0,DET,bad pass,,,Jenkins,D. Jenkins,,,,,Mid-Range,8-16 Left,1628953.0,1.0,,,,,,,,,,,,,,,,,,
14,PT10M45.00S,2026-03-26T23:12:38.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630180,93.87319316688567,40.68627450980392,1610612740,3,2,2026-03-26T23:14:31Z,140000,False,-47.0,5.0,1,right,MISS S. Bey driving reverse Layup,[1630180],1610612740.0,NOP,driving reverse,,,Bey,S. Bey,,,,,In The Paint (Non-RA),0-8 Center,,,4.69,Missed,,,,,,,,,,,,,,,,
15,PT10M44.00S,2026-03-26T23:12:39.1Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,3,2,2026-03-26T23:14:31Z,150000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT10M33.00S,2026-03-26T23:12:45.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642450,19.23455978975032,37.5,1610612765,3,2,2026-03-26T23:15:02Z,160000,False,62.0,128.0,1,left,MISS D. Jenkins 14' pullup Shot,[1642450],1610612765.0,DET,pullup,,,Jenkins,D. Jenkins,,,,,In The Paint (Non-RA),8-16 Center,,,14.27,Missed,,,,,,,,,,,,,,,,
17,PT10M30.00S,2026-03-26T23:12:48.8Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612740,3,2,2026-03-26T23:12:52Z,170000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,
18,PT10M12.00S,2026-03-26T23:13:10.3Z,1,REGULAR,3pt,Jump Shot,[],1630180,76.7904073587385,7.843137254901961,1610612740,3,5,2026-03-26T23:15:36Z,180000,False,-211.0,166.0,1,right,S. Bey 26' 3PT  (3 PTS) (D. Jordan 1 AST),"[1630180, 201599]",1610612740.0,NOP,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,,,26.81,Made,3.0,D. Jordan,201599.0,1.0,,,,,,,,,,,,
20,PT09M55.00S,2026-03-26T23:13:23.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642450,5.174113009198422,60.294117647058826,1610612765,3,5,2026-03-26T23:13:31Z,200000,False,-51.0,-4.0,1,left,MISS D. Jenkins driving Layup - blocked,"[1642450, 201599]",1610612765.0,DET,driving,,,Jenkins,D. Jenkins,,,,,In The Paint (Non-RA),0-8 Center,,,5.16,Missed,,,,,,,,,Jordan,201599.0,,,,,,
21,PT09M55.00S,2026-03-26T23:13:23.6Z,1,REGULAR,block,,[],201599,,,1610612765,3,5,2026-03-26T23:13:26Z,210000,False,,,0,,D. Jordan BLOCK (1 BLK),[201599],1610612740.0,NOP,,,,Jordan,D. Jordan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT09M54.00S,2026-03-26T23:13:24.6Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612740,3,5,2026-03-26T23:13:31Z,220000,False,,,0,,D. Murray REBOUND (Off:0 Def:2),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,
23,PT09M38.00S,2026-03-26T23:13:41.3Z,1,REGULAR,3pt,Jump Shot,[],1627749,75.607752956636,89.2156862745098,1610612740,3,5,2026-03-26T23:17:17Z,230000,False,196.0,177.0,1,right,MISS D. Murray 26' pullup 3PT,[1627749],1610612740.0,NOP,pullup,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,,,26.4,Missed,,,,,,,,,,,,,,,,
24,PT09M35.00S,2026-03-26T23:13:44.3Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,3,5,2026-03-26T23:13:46Z,240000,False,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,,,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,
25,PT09M26.00S,2026-03-26T23:13:53.5Z,1,REGULAR,3pt,Jump Shot,[],202699,33.163600525624176,42.15686274509803,1610612765,3,5,2026-03-26T23:17:37Z,250000,False,39.0,259.0,1,left,MISS T. Harris 26' pullup 3PT,[202699],1610612765.0,DET,pullup,,,Harris,T. Harris,,,,,Above the Break 3,24+ Center,,,26.21,Missed,,,,,,,,,,,,,,,,
26,PT09M23.00S,2026-03-26T23:13:56.5Z,1,REGULAR,rebound,defensive,[],201599,,,1610612740,3,5,2026-03-26T23:13:58Z,260000,False,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612740.0,NOP,,,,Jordan,D. Jordan,,,,,Above the Break 3,24+ Center,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,
29,PT09M07.00S,2026-03-26T23:15:41.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201599,94.66162943495401,45.58823529411765,1610612740,3,5,2026-03-26T23:20:20Z,290000,False,-22.0,-2.0,1,right,MISS D. Jordan driving Layup,[201599],1610612740.0,NOP,driving,,,Jordan,D. Jordan,,,,,Restricted Area,0-8 Center,,,2.22,Missed,,,,,,,,,,,,,,,,
30,PT09M06.00S,2026-03-26T23:15:42.6Z,1,REGULAR,rebound,offensive,[],201599,,,1610612740,3,5,2026-03-26T23:15:50Z,300000,False,,,0,,D. Jordan REBOUND (Off:1 Def:1),[201599],1610612740.0,NOP,,,,Jordan,D. Jordan,,,,,Restricted Area,0-8 Center,,,,,,,,,29.0,2.0,1.0,1.0,,,,,,,,
31,PT09M05.00S,2026-03-26T23:15:44.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201599,92.42772667542707,46.81372549019608,1610612740,3,5,2026-03-26T23:21:23Z,310000,False,-16.0,19.0,1,right,MISS D. Jordan putback Layup - blocked,"[201599, 1631105]",1610612740.0,NOP,putback,,,Jordan,D. Jordan,,,,,Restricted Area,0-8 Center,,,2.45,Missed,,,,,,,,,Duren,1631105.0,,,,,,
32,PT09M05.00S,2026-03-26T23:15:44.1Z,1,REGULAR,block,,[],1631105,,,1610612740,3,5,2026-03-26T23:15:46Z,320000,False,,,0,,J. Duren BLOCK (1 BLK),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
33,PT09M04.00S,2026-03-26T23:15:45.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,3,5,2026-03-26T23:17:55Z,330000,False,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,31.0,,,,,,,,,,,
35,PT09M04.00S,2026-03-26T23:16:07.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,3,5,2026-03-26T23:17:55Z,350000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M47.00S,2026-03-26T23:19:11.8Z,1,REGULAR,turnover,lost ball,[],1628989,,,1610612765,3,5,2026-03-26T23:19:17Z,370000,False,,,0,,K. Huerter lost ball TURNOVER (1 TO),"[1628989, 201599]",1610612765.0,DET,,,,Huerter,K. Huerter,,,,,Mid-Range,16-24 Left,,1.0,,,,,,,,,,,,,Jordan,201599.0,,,,
39,PT08M47.00S,2026-03-26T23:19:11.8Z,1,REGULAR,steal,,[],201599,,,1610612740,3,5,2026-03-26T23:28:34Z,380000,False,,,0,,D. Jordan STEAL (1 STL),[201599],1610612740.0,NOP,,,,Jordan,D. Jordan,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
40,PT08M39.00S,2026-03-26T23:19:19.5Z,1,REGULAR,turnover,lost ball,[],1629627,,,1610612740,3,5,2026-03-26T23:19:23Z,390000,False,,,0,,Z. Williamson lost ball TURNOVER (1 TO),"[1629627, 1642450]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Mid-Range,8-16 Left,,1.0,,,,,,,,,,,,,Jenkins,1642450.0,,,,
41,PT08M39.00S,2026-03-26T23:19:19.5Z,1,REGULAR,steal,,[],1642450,,,1610612765,3,5,2026-03-26T23:19:22Z,400000,False,,,0,,D. Jenkins STEAL (1 STL),[1642450],1610612765.0,DET,,,,Jenkins,D. Jenkins,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
42,PT08M30.00S,2026-03-26T23:19:28.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628989,5.305519053876466,52.94117647058824,1610612765,5,5,2026-03-26T23:19:35Z,410000,False,-15.0,-3.0,1,left,K. Huerter driving reverse Layup (2 PTS) (T. Harris 1 AST),"[1628989, 202699]",1610612765.0,DET,driving reverse,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,,,1.49,Made,2.0,T. Harris,202699.0,1.0,,,,,,,,,,,,
44,PT08M15.00S,2026-03-26T23:19:45.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,92.42772667542707,41.42156862745098,1610612740,5,5,2026-03-26T23:19:58Z,430000,False,-43.0,19.0,1,right,MISS Z. Williamson driving Layup,[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,4.68,Missed,,,,,,,,,,,,,,,,
45,PT08M14.00S,2026-03-26T23:19:46.8Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,5,5,2026-03-26T23:19:58Z,440000,False,,,0,,T. Harris REBOUND (Off:0 Def:3),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,44.0,3.0,3.0,0.0,,,,,,,,
46,PT08M10.00S,2026-03-26T23:19:50.8Z,1,REGULAR,foul,personal,['2freethrow'],1627749,,,1610612765,5,5,2026-03-26T23:20:01Z,450000,False,,,0,,D. Murray shooting personal FOUL (1 PF) (Duren 2 FT),"[1627749, 1631105]",1610612740.0,NOP,shooting,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,1628953.0,,,,,,,,,,,,,,,,1.0,0.0,Duren,1631105.0
48,PT08M10.00S,2026-03-26T23:20:21.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631105,,,1610612765,6,5,2026-03-26T23:20:21Z,470000,False,,,0,,J. Duren Free Throw 1 of 2 (1 PTS),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
49,PT08M10.00S,2026-03-26T23:20:39.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631105,,,1610612765,7,5,2026-03-26T23:20:39Z,480000,False,,,0,,J. Duren Free Throw 2 of 2 (2 PTS),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
50,PT07M56.00S,2026-03-26T23:20:54.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,82.57227332457293,41.91176470588235,1610612740,7,7,2026-03-26T23:20:59Z,490000,False,-40.0,111.0,1,right,D. Murray 11' pullup Jump Shot (2 PTS),[1627749],1610612740.0,NOP,pullup,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,11.84,Made,2.0,,,,,,,,,,,,,,,
52,PT07M39.00S,2026-03-26T23:21:29.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641709,6.093955321944804,40.931372549019606,1610612765,9,7,2026-03-26T23:21:44Z,510000,False,45.0,5.0,1,left,A. Thompson driving Layup (2 PTS) (T. Harris 2 AST),"[1641709, 202699]",1610612765.0,DET,driving,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,4.56,Made,2.0,T. Harris,202699.0,2.0,,,,,,,,,,,,
54,PT07M21.00S,2026-03-26T23:21:47.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,90.5880420499343,45.833333333333336,1610612740,9,9,2026-03-26T23:24:57Z,530000,False,-21.0,36.0,1,right,S. Bey driving floating Jump Shot (5 PTS) (Z. Williamson 1 AST),"[1630180, 1629627]",1610612740.0,NOP,driving floating,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,,,4.16,Made,5.0,Z. Williamson,1629627.0,1.0,,,,,,,,,,,,
56,PT07M09.00S,2026-03-26T23:21:59.7Z,1,REGULAR,2pt,Jump Shot,[],1642450,15.55519053876479,32.84313725490196,1610612765,11,9,2026-03-26T23:22:04Z,550000,False,86.0,94.0,1,left,D. Jenkins 12' pullup Jump Shot (2 PTS),[1642450],1610612765.0,DET,pullup,,,Jenkins,D. Jenkins,,,,,Mid-Range,8-16 Right,,,12.7,Made,2.0,,,,,,,,,,,,,,,
57,PT06M47.00S,2026-03-26T23:22:21.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629627,93.47897503285151,58.088235294117645,1610612740,11,11,2026-03-26T23:25:59Z,560000,False,40.0,9.0,1,right,Z. Williamson DUNK (2 PTS) (H. Jones 2 AST),"[1629627, 1630529]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,4.13,Made,2.0,H. Jones,1630529.0,2.0,,,,,,,,,,,,
69,PT06M30.00S,2026-03-26T23:22:37.5Z,1,REGULAR,turnover,bad pass,[],1628989,,,1610612765,11,11,2026-03-26T23:29:44Z,580000,False,,,0,,K. Huerter bad pass TURNOVER (2 TO),"[1628989, 1627749]",1610612765.0,DET,,,,Huerter,K. Huerter,,,,,Mid-Range,8-16 Right,,2.0,,,,,,,,,,,,,Murray,1627749.0,,,,
70,PT06M30.00S,2026-03-26T23:22:37.5Z,1,REGULAR,steal,,[],1627749,,,1610612740,11,11,2026-03-26T23:23:54Z,585000,False,,,0,,D. Murray STEAL (1 STL),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
60,PT06M29.00S,2026-03-26T23:22:53.3Z,1,REGULAR,turnover,lost ball,[],1627749,,,1610612740,11,11,2026-03-26T23:24:58Z,590000,False,,,0,,D. Murray lost ball TURNOVER (1 TO),"[1627749, 1641709]",1610612740.0,NOP,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,,,Thompson,1641709.0,,,,
61,PT06M29.00S,2026-03-26T23:22:53.3Z,1,REGULAR,steal,,[],1641709,,,1610612765,11,11,2026-03-26T23:22:56Z,600000,False,,,0,,A. Thompson STEAL (1 STL),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
