actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,shotResult,pointsTotal,playerName,playerNameI,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-02-01T23:13:42.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-01T23:13:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT12M00.00S,2026-02-01T23:14:52.7Z,1,REGULAR,foul,technical,['1freethrow'],2794,,,0,0,0,2026-02-01T23:15:53Z,22500,False,,,0,,TEAM foul technical,[2794],1610612765.0,DET,1830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT12M00.00S,2026-02-01T23:14:54.6Z,1,REGULAR,freethrow,1 of 1,[],1642856,,,0,0,1,2026-02-02T00:17:24Z,23750,False,,,0,,E. Dëmin technical Free Throw 1 of 1 (1 PTS),[1642856],1610612751.0,BKN,,technical,Made,1.0,Dëmin,E. Dëmin,,,,,,,,,,,,,,,,,,,,,,,,
11,PT12M00.00S,2026-02-01T23:14:54.8Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,1,2026-02-02T00:18:24Z,25000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612765.0,DET,1830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2026-02-01T23:14:55.3Z,1,REGULAR,jumpball,recovered,[],0,,,1610612751,0,1,2026-02-01T23:14:24Z,40000,False,,,0,,Jump Ball N. Claxton vs. J. Duren: Tip to Team (BKN),"[1629651, 1631105]",1610612751.0,BKN,,startperiod,,,,,Team (BKN),Claxton,1629651.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,
7,PT11M59.00S,2026-02-01T23:14:55.4Z,1,REGULAR,foul,personal,[],1631105,,,1610612751,0,1,2026-02-02T00:21:24Z,70000,False,,,0,,J. Duren loose ball personal FOUL (1 PF),"[1631105, 1629651]",1610612765.0,DET,1627964.0,loose ball,,,Duren,J. Duren,,,,,,Above the Break 3,24+ Center,1.0,0.0,Claxton,1629651.0,,,,,,,,,,,,,
12,PT11M43.00S,2026-02-01T23:16:03.1Z,1,REGULAR,3pt,Jump Shot,[],1642874,32.802233902759525,36.51960784313725,1610612751,0,1,2026-02-01T23:17:56Z,110000,False,67.0,256.0,1,left,MISS D. Wolf 26' 3PT,[1642874],1610612751.0,BKN,,,Missed,,Wolf,D. Wolf,,,,,,Above the Break 3,24+ Center,,,,,26.45,,,,,,,,,,,,
13,PT11M42.00S,2026-02-01T23:16:04.1Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,0,1,2026-02-01T23:18:43Z,120000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641709],1610612765.0,DET,,,,,Thompson,A. Thompson,,,,,,Above the Break 3,24+ Center,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
52,PT11M34.00S,2026-02-01T23:16:07.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631105,90.48948751642575,48.529411764705884,1610612765,0,1,2026-02-01T23:22:55Z,130000,False,-7.0,37.0,1,right,MISS J. Duren running Layup - blocked,"[1631105, 1642874]",1610612765.0,DET,,running,Missed,,Duren,J. Duren,,,,,,Restricted Area,0-8 Center,,,,,3.76,,,,,Wolf,1642874.0,,,,,,
53,PT11M34.00S,2026-02-01T23:16:07.1Z,1,REGULAR,block,,[],1642874,,,1610612765,0,1,2026-02-01T23:22:15Z,135000,False,,,0,,D. Wolf BLOCK (1 BLK),[1642874],1610612751.0,BKN,,,,,Wolf,D. Wolf,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,
54,PT11M33.00S,2026-02-01T23:16:08.1Z,1,REGULAR,rebound,defensive,[],1642849,,,1610612751,0,1,2026-02-01T23:22:15Z,137500,False,,,0,,N. Traore REBOUND (Off:0 Def:1),[1642849],1610612751.0,BKN,,,,,Traore,N. Traore,,,,,,Restricted Area,0-8 Center,,,,,,52.0,1.0,1.0,0.0,,,,,,,,
15,PT11M18.00S,2026-02-01T23:16:11.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642874,7.30946123521682,52.450980392156865,1610612751,0,3,2026-02-01T23:20:32Z,140000,False,-12.0,16.0,1,left,D. Wolf driving reverse Layup (2 PTS) (T. Mann 1 AST),"[1642874, 1629611]",1610612751.0,BKN,,driving reverse,Made,2.0,Wolf,D. Wolf,,,,,,Restricted Area,0-8 Center,,,,,2.03,,,,,,,T. Mann,1629611.0,1.0,,,
16,PT11M06.00S,2026-02-01T23:16:26.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,93.51182654402102,45.588235294117645,1610612765,2,3,2026-02-01T23:18:37Z,150000,False,-22.0,8.0,1,right,J. Duren cutting Layup (2 PTS) (C. Cunningham 1 AST),"[1631105, 1630595]",1610612765.0,DET,,cutting,Made,2.0,Duren,J. Duren,,,,,,Restricted Area,0-8 Center,,,,,2.37,,,,,,,C. Cunningham,1630595.0,1.0,,,
18,PT10M47.00S,2026-02-01T23:16:44.3Z,1,REGULAR,foul,personal,['2freethrow'],1641709,,,1610612751,2,3,2026-02-01T23:16:56Z,170000,False,,,0,,A. Thompson shooting personal FOUL (1 PF) (Dëmin 2 FT),"[1641709, 1642856]",1610612765.0,DET,1627964.0,shooting,,,Thompson,A. Thompson,,,,,,In The Paint (Non-RA),0-8 Center,1.0,0.0,Dëmin,1642856.0,,,,,,,,,,,,,
20,PT10M47.00S,2026-02-01T23:17:21.4Z,1,REGULAR,freethrow,1 of 2,[],1642856,,,1610612751,2,4,2026-02-01T23:17:21Z,190000,False,,,0,,E. Dëmin Free Throw 1 of 2 (2 PTS),[1642856],1610612751.0,BKN,,,Made,2.0,Dëmin,E. Dëmin,,,,,,,,,,,,,,,,,,,,,,,,
