actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-11-13T00:10:48.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-13T00:10:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-11-13T00:10:49.9Z,1,REGULAR,jumpball,recovered,[],1630200,,,1610612741,0,0,2025-11-13T00:10:49Z,40000,False,,,0,,Jump Ball N. Vučević vs. P. Reed: Tip to T. Jones,"[1630200, 202696, 1630194]",1610612741.0,CHI,startperiod,T. Jones,1630200.0,Jones,T. Jones,Vučević,202696.0,Reed,1630194.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-11-13T00:11:04.8Z,1,REGULAR,turnover,out-of-bounds,[],1641824,,,1610612741,0,0,2025-11-13T00:17:08Z,70000,False,,,0,,M. Buzelis bad pass out-of-bounds TURNOVER (1 TO),[1641824],1610612741.0,CHI,bad pass,,,Buzelis,M. Buzelis,,,,,Left Corner 3,24+ Left,1626300.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2025-11-13T00:11:28.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629130,28.991458607095925,77.20588235294117,1610612765,3,0,2025-11-13T00:12:31Z,80000,False,-136.0,220.0,1,left,D. Robinson 25' 3PT pullup (3 PTS) (P. Reed 1 AST),"[1629130, 1630194]",1610612765.0,DET,pullup,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,,,25.86,Made,3.0,P. Reed,1630194.0,1.0,,,,,,,,,,,,
9,PT11M10.00S,2025-11-13T00:11:43.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641824,91.14651773981603,45.83333333333333,1610612741,3,0,2025-11-13T00:11:49Z,90000,False,-21.0,31.0,1,right,MISS M. Buzelis driving finger roll Layup,[1641824],1610612741.0,CHI,driving finger roll,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,3.71,Missed,,,,,,,,,,,,,,,,
10,PT11M08.00S,2025-11-13T00:11:45.8Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612765,3,0,2025-11-13T00:11:49Z,100000,False,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,
11,PT11M01.00S,2025-11-13T00:11:53.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641842,8.754927726675426,55.88235294117647,1610612765,3,0,2025-11-13T00:11:56Z,110000,False,-29.0,30.0,1,left,MISS R. Holland II driving Layup,[1641842],1610612765.0,DET,driving,,,Holland II,R. Holland II,,,,,Restricted Area,0-8 Center,,,4.19,Missed,,,,,,,,,,,,,,,,
12,PT10M58.00S,2025-11-13T00:11:55.2Z,1,REGULAR,rebound,offensive,[],1630194,,,1610612765,3,0,2025-11-13T00:11:55Z,120000,False,,,0,,P. Reed REBOUND (Off:1 Def:0),[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,
13,PT10M46.00S,2025-11-13T00:12:07.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642450,22.552562417871222,10.53921568627451,1610612765,3,0,2025-11-13T00:12:12Z,130000,False,197.0,159.0,1,left,MISS D. Jenkins 25' step back 3PT,[1642450],1610612765.0,DET,step back,,,Jenkins,D. Jenkins,,,,,Above the Break 3,24+ Right Center,,,25.37,Missed,,,,,,,,,,,,,,,,
14,PT10M43.00S,2025-11-13T00:12:10.8Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,3,0,2025-11-13T00:12:10Z,140000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:1),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Right Center,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
