actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-11-06T00:11:08.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-06T00:11:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-11-06T00:11:12.1Z,1,REGULAR,jumpball,recovered,[],1629130,,,1610612765,0,0,2025-11-06T00:11:12Z,40000,False,,,0,,Jump Ball J. Duren vs. J. Nurkić: Tip to D. Robinson,"[1629130, 1631105, 203994]",1610612765.0,DET,startperiod,D. Robinson,1629130.0,Robinson,D. Robinson,Duren,1631105.0,Nurkić,203994.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-11-06T00:11:24.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641709,92.55913272010513,44.36274509803921,1610612765,2,0,2025-11-06T00:11:32Z,70000,False,-28.0,17.0,1,right,A. Thompson cutting Layup (2 PTS) (J. Duren 1 AST),"[1641709, 1631105]",1610612765.0,DET,cutting,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,3.31,Made,2.0,J. Duren,1631105.0,1.0,,,,,,,,,,,,,,
9,PT11M32.00S,2025-11-06T00:11:43.9Z,1,REGULAR,3pt,Jump Shot,[],1628374,23.96517739816032,92.15686274509804,1610612762,2,0,2025-11-06T00:11:49Z,90000,False,-211.0,173.0,1,left,MISS L. Markkanen 27' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,27.26,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2025-11-06T00:11:46.6Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,2,0,2025-11-06T00:11:46Z,100000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M19.00S,2025-11-06T00:11:49.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631105,93.08475689881735,55.63725490196079,1610612765,4,0,2025-11-06T00:11:56Z,110000,False,28.0,13.0,1,right,J. Duren running Layup (2 PTS) (C. Cunningham 1 AST),"[1631105, 1630595]",1610612765.0,DET,running,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,3.08,Made,2.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,,,,,
13,PT11M03.00S,2025-11-06T00:12:04.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629004,6.225361366622863,44.607843137254896,1610612762,4,2,2025-11-06T00:13:29Z,130000,False,27.0,6.0,1,left,S. Mykhailiuk driving Layup (2 PTS) (J. Nurkić 1 AST),"[1629004, 203994]",1610612762.0,UTA,driving,,,Mykhailiuk,S. Mykhailiuk,,,,,Restricted Area,0-8 Center,2.77,Made,2.0,J. Nurkić,203994.0,1.0,,,,,,,,,,,,,,
15,PT10M52.00S,2025-11-06T00:12:15.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,93.34756898817345,58.33333333333333,1610612765,4,2,2025-11-06T00:14:47Z,150000,False,42.0,10.0,1,right,MISS C. Cunningham driving floating bank Shot,[1630595],1610612765.0,DET,driving floating bank,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,4.29,Missed,,,,,,,,,,,,,,,,,,
16,PT10M50.00S,2025-11-06T00:12:17.5Z,1,REGULAR,rebound,defensive,[],203994,,,1610612762,4,2,2025-11-06T00:12:23Z,160000,False,,,0,,J. Nurkić REBOUND (Off:0 Def:1),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,Restricted Area,0-8 Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M45.00S,2025-11-06T00:12:23.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,8.196452036793687,38.23529411764706,1610612762,4,2,2025-11-06T00:15:53Z,170000,False,59.0,25.0,1,left,MISS L. Markkanen 6' driving floating Shot - blocked,"[1628374, 1630191]",1610612762.0,UTA,driving floating,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,6.37,Missed,,,,,,,,,Stewart,1630191.0,,,,,,,,
18,PT10M45.00S,2025-11-06T00:12:23.1Z,1,REGULAR,block,,[],1630191,,,1610612762,4,2,2025-11-06T00:12:25Z,180000,False,,,0,,I. Stewart BLOCK (1 BLK),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M41.00S,2025-11-06T00:12:27.1Z,1,REGULAR,rebound,offensive,[],1641707,,,1610612762,4,2,2025-11-06T00:12:27Z,190000,False,,,0,,T. Hendricks REBOUND (Off:1 Def:0),[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,
20,PT10M40.00S,2025-11-06T00:12:30.8Z,1,REGULAR,turnover,backcourt,[],1641707,,,1610612762,4,2,2025-11-06T00:12:44Z,200000,False,,,0,,T. Hendricks backcourt TURNOVER (1 TO),[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,1628480.0,1.0,,,,,,
21,PT10M38.00S,2025-11-06T00:12:54.4Z,1,REGULAR,turnover,traveling,[],1641709,,,1610612765,4,2,2025-11-06T00:13:00Z,210000,False,,,0,,A. Thompson traveling TURNOVER (1 TO),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1151.0,1.0,,,,,,
22,PT10M34.00S,2025-11-06T00:13:12.8Z,1,REGULAR,turnover,lost ball,[],1641718,,,1610612762,4,2,2025-11-06T00:13:17Z,220000,False,,,0,,K. George lost ball TURNOVER (1 TO),"[1641718, 1641709]",1610612762.0,UTA,,,,George,K. George,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,1.0,Thompson,1641709.0,,,,
23,PT10M34.00S,2025-11-06T00:13:12.8Z,1,REGULAR,steal,,[],1641709,,,1610612765,4,2,2025-11-06T00:13:16Z,230000,False,,,0,,A. Thompson STEAL (1 STL),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
24,PT10M29.00S,2025-11-06T00:13:17.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1641709,92.55913272010513,54.65686274509804,1610612765,6,2,2025-11-06T00:13:20Z,240000,False,23.0,17.0,1,right,A. Thompson DUNK (4 PTS),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,2.91,Made,4.0,,,,,,,,,,,,,,,,,
25,PT10M18.00S,2025-11-06T00:13:31.6Z,1,REGULAR,foul,personal,['2freethrow'],1630595,,,1610612762,6,2,2025-11-06T00:13:39Z,250000,False,,,0,,C. Cunningham shooting personal FOUL (1 PF) (George 2 FT),"[1630595, 1641718]",1610612765.0,DET,shooting,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1151.0,,,,1.0,0.0,George,1641718.0
27,PT10M18.00S,2025-11-06T00:14:03.9Z,1,REGULAR,freethrow,1 of 2,[],1641718,,,1610612762,6,3,2025-11-06T00:14:03Z,270000,False,,,0,,K. George Free Throw 1 of 2 (1 PTS),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
