actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-18T00:11:25.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-18T00:11:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-11-18T00:11:29.5Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612754,0,0,2025-11-18T00:11:29Z,40000,False,,,0,,Jump Ball I. Jackson vs. J. Duren: Tip to P. Siakam,"[1627783, 1630543, 1631105]",1610612754.0,IND,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Jackson,1630543.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2025-11-18T00:11:47.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629614,89.43823915900131,52.20588235294118,1610612754,0,2,2025-11-18T00:11:55Z,70000,False,11.0,47.0,1,right,A. Nembhard floating Jump Shot (2 PTS),[1629614],1610612754.0,IND,floating,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),0-8 Center,4.81,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2025-11-18T00:12:04.8Z,1,REGULAR,3pt,Jump Shot,[],1629130,32.40801576872536,33.57843137254902,1610612765,3,2,2025-11-18T00:12:13Z,80000,False,82.0,252.0,1,left,D. Robinson 26' 3PT  (3 PTS) (J. Duren 1 AST),"[1629130, 1631105]",1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Center,26.51,Made,3.0,J. Duren,1631105.0,1.0,,,,,,,,,,,,,,
10,PT11M11.00S,2025-11-18T00:12:16.5Z,1,REGULAR,turnover,out-of-bounds,[],1631097,,,1610612754,3,2,2025-11-18T00:12:27Z,100000,False,,,0,,B. Mathurin lost ball out-of-bounds TURNOVER (1 TO),[1631097],1610612754.0,IND,lost ball,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Left Center,,,,,,,1.0,,,,,,,,,,,,,
11,PT11M11.00S,2025-11-18T00:12:33.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,3,2,2025-11-18T00:12:33Z,110000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT10M55.00S,2025-11-18T00:15:39.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631105,7.178055190538765,53.18627450980392,1610612765,3,2,2025-11-18T00:15:44Z,120000,False,-16.0,15.0,1,left,MISS J. Duren driving Layup,[1631105],1610612765.0,DET,driving,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,2.19,Missed,,,,,,,,,,,,,,,,,,
13,PT10M52.00S,2025-11-18T00:15:42.9Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,3,2,2025-11-18T00:15:44Z,130000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT10M49.00S,2025-11-18T00:15:48.3Z,1,REGULAR,foul,personal,['2freethrow'],1631105,,,1610612754,3,2,2025-11-18T00:16:03Z,140000,False,,,0,,J. Duren shooting personal FOUL (1 PF) (Walker 2 FT),"[1631105, 1641716]",1610612765.0,DET,shooting,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,1201.0,1.0,0.0,Walker,1641716.0,,,,
16,PT10M49.00S,2025-11-18T00:16:13.9Z,1,REGULAR,freethrow,1 of 2,[],1641716,,,1610612754,3,3,2025-11-18T00:16:13Z,160000,False,,,0,,J. Walker Free Throw 1 of 2 (1 PTS),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
