actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-18T00:41:36.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-18T00:41:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-01-18T00:41:43.0Z,1,REGULAR,jumpball,recovered,[],1631245,,,1610612754,0,0,2026-01-18T00:41:43Z,40000,False,,,0,,Jump Ball J. Huff vs. J. Duren: Tip to Q. Jackson,"[1631245, 1630643, 1631105]",1610612754.0,IND,startperiod,Q. Jackson,1631245.0,Jackson,Q. Jackson,Huff,1630643.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M58.00S,2026-01-18T00:41:45.1Z,1,REGULAR,foul,personal,[],1630595,,,1610612754,0,0,2026-01-18T00:41:58Z,70000,False,,,0,,C. Cunningham personal FOUL (1 PF),"[1630595, 1631245]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,203591.0,1.0,0.0,Jackson,1631245.0,,,,,,,,,,,,,,,
9,PT11M52.00S,2026-01-18T00:42:09.5Z,1,REGULAR,2pt,Jump Shot,[],1631245,71.17279894875165,32.84313725490196,1610612754,0,0,2026-01-18T00:42:18Z,90000,False,-86.0,218.0,1,right,MISS Q. Jackson 23' step back Shot,[1631245],1610612754.0,IND,step back,,,Jackson,Q. Jackson,,,,,Mid-Range,16-24 Left Center,,,,,,23.47,Missed,,,,,,,,,,,,,
10,PT11M47.00S,2026-01-18T00:42:14.5Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,0,0,2026-01-18T00:42:18Z,100000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,16-24 Left Center,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT11M43.00S,2026-01-18T00:42:18.7Z,1,REGULAR,3pt,Jump Shot,[],1629130,29.911300919842315,26.225490196078432,1610612765,3,0,2026-01-18T00:43:04Z,110000,False,119.0,229.0,1,left,D. Robinson 25' 3PT pullup (3 PTS) (J. Duren 1 AST),"[1629130, 1631105]",1610612765.0,DET,pullup,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Right Center,,,,,,25.78,Made,,,,,3.0,J. Duren,1631105.0,1.0,,,,,
13,PT11M31.00S,2026-01-18T00:42:29.7Z,1,REGULAR,3pt,Jump Shot,[],1630643,79.58278580814718,8.333333333333332,1610612754,3,0,2026-01-18T00:42:48Z,130000,False,-208.0,139.0,1,right,MISS J. Huff 25' 3PT,[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,Above the Break 3,24+ Left Center,,,,,,25.06,Missed,,,,,,,,,,,,,
14,PT11M31.00S,2026-01-18T00:42:29.7Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,3,0,2026-01-18T00:42:48Z,140000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT11M23.00S,2026-01-18T00:42:38.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630595,8.360709592641262,53.431372549019606,1610612765,5,0,2026-01-18T00:43:35Z,150000,False,-17.0,26.0,1,left,C. Cunningham running Layup (2 PTS),[1630595],1610612765.0,DET,running,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,,,,,,3.13,Made,,,,,2.0,,,,,,,,
16,PT11M05.00S,2026-01-18T00:42:56.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641716,86.15308804204993,54.65686274509803,1610612754,5,0,2026-01-18T00:44:36Z,160000,False,23.0,78.0,1,right,MISS J. Walker 8' driving Layup,[1641716],1610612754.0,IND,driving,,,Walker,J. Walker,,,,,In The Paint (Non-RA),8-16 Center,,,,,,8.11,Missed,,,,,,,,,,,,,
