actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2026-02-04T00:10:58.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-04T00:10:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-02-04T00:11:02.6Z,1,REGULAR,jumpball,recovered,[],202699,,,1610612765,0,0,2026-02-04T00:11:02Z,40000,False,,,0,,Jump Ball J. Duren vs. N. Jokić: Tip to T. Harris,"[202699, 1631105, 203999]",1610612765.0,DET,startperiod,T. Harris,202699.0,Harris,T. Harris,Duren,1631105.0,Jokić,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2026-02-04T00:11:14.3Z,1,REGULAR,foul,personal,['2freethrow'],1629618,,,1610612765,0,0,2026-02-04T00:11:39Z,70000,False,,,0,,J. Pickett shooting personal FOUL (1 PF) (Duren 2 FT),"[1629618, 1631105]",1610612743.0,DEN,shooting,,,Pickett,J. Pickett,,,,,Restricted Area,0-8 Center,1627962.0,1.0,0.0,Duren,1631105.0,,,,,,,,,,,,,,,
9,PT11M46.00S,2026-02-04T00:11:40.2Z,1,REGULAR,freethrow,1 of 2,[],1631105,,,1610612765,1,0,2026-02-04T00:11:40Z,90000,False,,,0,,J. Duren Free Throw 1 of 2 (1 PTS),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M46.00S,2026-02-04T00:11:57.2Z,1,REGULAR,freethrow,2 of 2,[],1631105,,,1610612765,2,0,2026-02-04T00:11:57Z,100000,False,,,0,,J. Duren Free Throw 2 of 2 (2 PTS),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M31.00S,2026-02-04T00:12:13.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629618,91.14651773981603,55.63725490196079,1610612743,2,0,2026-02-04T00:13:18Z,110000,False,28.0,31.0,1,right,MISS J. Pickett cutting Layup - blocked,"[1629618, 1641709]",1610612743.0,DEN,cutting,,,Pickett,J. Pickett,,,,,Restricted Area,0-8 Center,,,,,,Missed,,4.17,Thompson,1641709.0,,,,,,,,,,
12,PT11M31.00S,2026-02-04T00:12:13.7Z,1,REGULAR,block,,[],1641709,,,1610612743,2,0,2026-02-04T00:12:16Z,120000,False,,,0,,A. Thompson BLOCK (1 BLK),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M30.00S,2026-02-04T00:12:14.7Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,2,0,2026-02-04T00:12:22Z,130000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,
14,PT11M11.00S,2026-02-04T00:12:33.6Z,1,REGULAR,2pt,Jump Shot,[],1641709,4.812746386333772,28.676470588235293,1610612765,2,0,2026-02-04T00:15:17Z,140000,False,107.0,-7.0,1,left,MISS A. Thompson 10' pullup Shot - blocked,"[1641709, 1629618]",1610612765.0,DET,pullup,,,Thompson,A. Thompson,,,,,Mid-Range,8-16 Right,,,,,,Missed,,10.68,Pickett,1629618.0,,,,,,,,,,
15,PT11M11.00S,2026-02-04T00:12:33.6Z,1,REGULAR,block,,[],1629618,,,1610612765,2,0,2026-02-04T00:12:36Z,150000,False,,,0,,J. Pickett BLOCK (1 BLK),[1629618],1610612743.0,DEN,,,,Pickett,J. Pickett,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
