actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-11T00:40:25.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-11T00:40:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2026-01-11T00:40:31.7Z,1,REGULAR,jumpball,recovered,[],1627826,,,1610612746,0,0,2026-01-11T00:40:31Z,40000,False,,,0,,Jump Ball I. Zubac vs. P. Reed: Tip to I. Zubac,"[1627826, 1627826, 1630194]",1610612746.0,LAC,startperiod,I. Zubac,1627826.0,Zubac,I. Zubac,Zubac,1627826.0,Reed,1630194.0,,,,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2026-01-11T00:41:30.0Z,1,REGULAR,foul,personal,['2freethrow'],1641709,,,1610612746,0,0,2026-01-11T00:41:41Z,90000,False,,,0,,A. Thompson shooting personal FOUL (1 PF) (Leonard 2 FT),"[1641709, 202695]",1610612765.0,DET,shooting,,,Thompson,A. Thompson,,,,,Mid-Range,8-16 Left,1627529.0,1.0,0.0,Leonard,202695.0,,,,,,,,,,,,,,,
11,PT11M34.00S,2026-01-11T00:41:55.8Z,1,REGULAR,freethrow,1 of 2,[],202695,,,1610612746,0,0,2026-01-11T00:41:55Z,110000,False,,,0,,MISS K. Leonard Free Throw 1 of 2,[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
12,PT11M34.00S,2026-01-11T00:41:55.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612746,0,0,2026-01-11T00:41:55Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,
13,PT11M34.00S,2026-01-11T00:42:13.2Z,1,REGULAR,freethrow,2 of 2,[],202695,,,1610612746,0,1,2026-01-11T00:42:13Z,130000,False,,,0,,K. Leonard Free Throw 2 of 2 (1 PTS),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
14,PT11M16.00S,2026-01-11T00:42:34.3Z,1,REGULAR,2pt,Jump Shot,[],1630194,6.1268068331143235,82.35294117647058,1610612765,2,1,2026-01-11T00:42:52Z,140000,False,-162.0,5.0,1,left,P. Reed 16' step back Jump Shot (2 PTS) (A. Thompson 1 AST),"[1630194, 1641709]",1610612765.0,DET,step back,,,Reed,P. Reed,,,,,Mid-Range,16-24 Left,,,,,,Made,,2.0,16.19,A. Thompson,1641709.0,1.0,,,,,,,,
16,PT11M06.00S,2026-01-11T00:42:46.9Z,1,REGULAR,foul,personal,[],1631093,,,1610612746,2,1,2026-01-11T00:43:10Z,160000,False,,,0,,J. Ivey personal FOUL (1 PF),"[1631093, 201935]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Center,2882.0,1.0,0.0,Harden,201935.0,,,,,,,,,,,,,,,
18,PT10M53.00S,2026-01-11T00:43:23.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,81.94809461235218,52.94117647058824,1610612746,2,1,2026-01-11T00:43:45Z,180000,False,15.0,117.0,1,right,MISS I. Zubac 11' Hook,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,11.81,,,,,,,,,,,
19,PT10M50.00S,2026-01-11T00:43:26.1Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612765,2,1,2026-01-11T00:43:45Z,190000,False,,,0,,P. Reed REBOUND (Off:0 Def:1),[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,18.0,,,,,,1.0,1.0,0.0,,,,,
