actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-11T00:12:58.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-11T00:12:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-11-11T00:13:01.7Z,1,REGULAR,jumpball,recovered,[],1641842,,,1610612765,0,0,2025-11-11T00:13:01Z,40000,False,,,0,,Jump Ball J. Duren vs. A. Sarr: Tip to R. Holland II,"[1641842, 1631105, 1642259]",1610612765.0,DET,startperiod,R. Holland II,1641842.0,Holland II,R. Holland II,Duren,1631105.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-11-11T00:13:15.1Z,1,REGULAR,2pt,Jump Shot,[],1630595,81.42247043363994,31.862745098039213,1610612765,2,0,2025-11-11T00:13:23Z,70000,False,-91.0,122.0,1,right,C. Cunningham 15' fadeaway Jump Shot (2 PTS),[1630595],1610612765.0,DET,fadeaway,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Left,15.21,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2025-11-11T00:13:50.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,6.258212877792378,51.71568627450981,1610612764,2,2,2025-11-11T00:13:59Z,90000,False,-9.0,6.0,1,left,C. McCollum reverse Layup (2 PTS) (K. George 1 AST),"[203468, 1642273]",1610612764.0,WAS,reverse,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,1.07,Made,2.0,K. George,1642273.0,1.0,,,,,,,,,,,,,,
11,PT11M08.00S,2025-11-11T00:14:05.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630595,84.31340341655716,56.61764705882353,1610612765,2,2,2025-11-11T00:14:11Z,110000,False,33.0,95.0,1,right,MISS C. Cunningham 10' turnaround Hook,[1630595],1610612765.0,DET,turnaround,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Center,10.06,Missed,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2025-11-11T00:14:09.9Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,2,2,2025-11-11T00:14:09Z,120000,False,,,0,,A. Sarr REBOUND (Off:0 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M57.00S,2025-11-11T00:14:17.1Z,1,REGULAR,2pt,Jump Shot,[],203114,13.091327201051248,32.35294117647059,1610612764,2,2,2025-11-11T00:14:26Z,130000,False,88.0,71.0,1,left,MISS K. Middleton 11' driving floating bank Shot,[203114],1610612764.0,WAS,driving floating bank,,,Middleton,K. Middleton,,,,,Mid-Range,8-16 Right,11.3,Missed,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2025-11-11T00:14:20.1Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,2,2,2025-11-11T00:14:26Z,140000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Right,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M47.00S,2025-11-11T00:14:26.8Z,1,REGULAR,3pt,Jump Shot,[],1629130,77.61169513797634,9.558823529411764,1610612765,5,2,2025-11-11T00:14:31Z,150000,False,-202.0,158.0,1,right,D. Robinson 25' 3PT  (3 PTS) (R. Holland II 1 AST),"[1629130, 1641842]",1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,25.66,Made,3.0,R. Holland II,1641842.0,1.0,,,,,,,,,,,,,,
17,PT10M39.00S,2025-11-11T00:14:37.2Z,1,REGULAR,2pt,Jump Shot,[],203468,17.0335085413929,32.35294117647059,1610612764,5,4,2025-11-11T00:15:06Z,170000,False,88.0,108.0,1,left,C. McCollum 13' driving floating Jump Shot (4 PTS),[203468],1610612764.0,WAS,driving floating,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Right,13.91,Made,4.0,,,,,,,,,,,,,,,,,
