actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-06T00:10:51.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-06T00:10:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-01-06T00:10:56.7Z,1,REGULAR,jumpball,recovered,[],1626157,,,1610612752,0,0,2026-01-06T00:10:56Z,40000,False,,,0,,Jump Ball M. Robinson vs. P. Reed: Tip to K. Towns,"[1626157, 1629011, 1630194]",1610612752.0,NYK,startperiod,K. Towns,1626157.0,Towns,K. Towns,Robinson,1629011.0,Reed,1630194.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2026-01-06T00:11:08.7Z,1,REGULAR,foul,personal,['2freethrow'],1630191,,,1610612752,0,0,2026-01-06T00:11:23Z,70000,False,,,0,,I. Stewart shooting personal FOUL (1 PF) (Anunoby 2 FT),"[1630191, 1628384]",1610612765.0,DET,shooting,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,1627964.0,1.0,0.0,Anunoby,1628384.0,,,,,,,,,,,,,,,
9,PT11M46.00S,2026-01-06T00:11:41.2Z,1,REGULAR,freethrow,1 of 2,[],1628384,,,1610612752,0,1,2026-01-06T00:12:01Z,90000,False,,,0,,O. Anunoby Free Throw 1 of 2 (1 PTS),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M46.00S,2026-01-06T00:11:41.2Z,1,REGULAR,freethrow,2 of 2,[],1628384,,,1610612752,0,1,2026-01-06T00:12:01Z,100000,False,,,0,,MISS O. Anunoby Free Throw 2 of 2,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
11,PT11M45.00S,2026-01-06T00:11:42.2Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,0,1,2026-01-06T00:12:01Z,110000,False,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M33.00S,2026-01-06T00:12:12.4Z,1,REGULAR,3pt,Jump Shot,[],1629130,65.91655716162943,40.931372549019606,1610612765,3,1,2026-01-06T00:12:29Z,120000,False,-45.0,268.0,1,right,D. Robinson 27' 3PT  (3 PTS) (C. Cunningham 1 AST),"[1629130, 1630595]",1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Center,,,,,,Made,3.0,,,,,27.17,C. Cunningham,1630595.0,1.0,,,,,
14,PT11M33.00S,2026-01-06T00:12:16.4Z,1,REGULAR,foul,personal,['1freethrow'],1628973,,,1610612765,3,1,2026-01-06T00:12:27Z,140000,False,,,0,,J. Brunson shooting personal FOUL (1 PF) (Robinson 1 FT),"[1628973, 1629130]",1610612752.0,NYK,shooting,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,2003.0,1.0,0.0,Robinson,1629130.0,,,,,,,,,,,,,,,
16,PT11M33.00S,2026-01-06T00:12:38.7Z,1,REGULAR,freethrow,1 of 1,[],1629130,,,1610612765,4,1,2026-01-06T00:12:38Z,160000,False,,,0,,D. Robinson Free Throw 1 of 1 (4 PTS),[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
17,PT11M18.00S,2026-01-06T00:13:00.0Z,1,REGULAR,2pt,Jump Shot,[],1628969,15.719448094612352,32.59803921568628,1610612752,4,1,2026-01-06T00:38:51Z,170000,False,87.0,95.0,1,left,MISS M. Bridges 12' turnaround Shot,[1628969],1610612752.0,NYK,turnaround,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Right,,,,,,Missed,,,,,,12.9,,,,,,,,
