actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-02T00:11:33.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-02T00:11:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-01-02T00:11:37.4Z,1,REGULAR,jumpball,recovered,[],1628389,,,1610612748,0,0,2026-01-02T00:11:37Z,40000,False,,,0,,Jump Ball K. Ware vs. J. Duren: Tip to B. Adebayo,"[1628389, 1642276, 1631105]",1610612748.0,MIA,startperiod,B. Adebayo,1628389.0,Adebayo,B. Adebayo,Ware,1642276.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-01-02T00:11:47.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,13.222733245729303,54.65686274509803,1610612748,0,2,2026-01-02T00:11:56Z,70000,False,-23.0,72.0,1,left,A. Wiggins 7' driving floating Jump Shot (2 PTS),[203952],1610612748.0,MIA,driving floating,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,7.55,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2026-01-02T00:12:02.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630595,88.38699080157687,53.431372549019606,1610612765,2,2,2026-01-02T00:12:07Z,80000,False,17.0,57.0,1,right,C. Cunningham driving Hook (2 PTS) (A. Thompson 1 AST),"[1630595, 1641709]",1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,5.93,Made,2.0,A. Thompson,1641709.0,1.0,,,,,,,,,,,,,,
10,PT11M18.00S,2026-01-02T00:12:14.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630558,13.748357424441524,62.745098039215684,1610612748,2,4,2026-01-02T00:12:21Z,100000,False,-64.0,77.0,1,left,D. Mitchell 9' fadeaway Jump Shot (2 PTS),[1630558],1610612748.0,MIA,fadeaway,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Left,9.97,Made,2.0,,,,,,,,,,,,,,,,,
11,PT11M09.00S,2026-01-02T00:12:26.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641709,93.38042049934296,49.50980392156863,1610612765,4,4,2026-01-02T00:12:52Z,110000,False,-2.0,10.0,1,right,A. Thompson cutting DUNK (2 PTS) (C. Cunningham 1 AST),"[1641709, 1630595]",1610612765.0,DET,cutting,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,1.0,Made,2.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,,,,,
13,PT11M09.00S,2026-01-02T00:12:28.3Z,1,REGULAR,foul,personal,['1freethrow'],203952,,,1610612765,4,4,2026-01-02T00:12:38Z,130000,False,,,0,,A. Wiggins shooting personal FOUL (1 PF) (Thompson 1 FT),"[203952, 1641709]",1610612748.0,MIA,shooting,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,,1628951.0,1.0,0.0,Thompson,1641709.0,,,,,,,,,
15,PT11M09.00S,2026-01-02T00:12:50.6Z,1,REGULAR,freethrow,1 of 1,[],1641709,,,1610612765,5,4,2026-01-02T00:12:50Z,150000,False,,,0,,A. Thompson Free Throw 1 of 1 (3 PTS),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
17,PT10M58.00S,2026-01-02T00:13:22.6Z,1,REGULAR,2pt,Jump Shot,[],1626181,9.411957950065702,75.73529411764706,1610612748,5,4,2026-01-02T00:13:40Z,170000,False,-129.0,36.0,1,left,MISS N. Powell 13' fadeaway Shot - blocked,"[1626181, 1641709]",1610612748.0,MIA,fadeaway,,,Powell,N. Powell,,,,,Mid-Range,8-16 Left,13.36,Missed,,,,,,,,,,Thompson,1641709.0,,,,,,,
18,PT10M58.00S,2026-01-02T00:13:22.6Z,1,REGULAR,block,,[],1641709,,,1610612748,5,4,2026-01-02T00:13:25Z,180000,False,,,0,,A. Thompson BLOCK (1 BLK),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
19,PT10M57.00S,2026-01-02T00:13:23.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,5,4,2026-01-02T00:13:40Z,190000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,17.0,,,,,,
