actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2026-04-01T00:13:23.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-01T00:13:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-04-01T00:13:25.2Z,1,REGULAR,jumpball,recovered,[],1629628,,,1610612761,0,0,2026-04-01T00:13:25Z,40000,False,,,0,,Jump Ball J. Poeltl vs. J. Duren: Tip to R. Barrett,"[1629628, 1627751, 1631105]",1610612761.0,TOR,startperiod,R. Barrett,1629628.0,Barrett,R. Barrett,Poeltl,1627751.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2026-04-01T00:13:41.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,93.9060446780552,56.86274509803921,1610612761,0,0,2026-04-01T00:14:41Z,70000,False,34.0,5.0,1,right,MISS J. Poeltl cutting Layup - blocked,"[1627751, 1631105]",1610612761.0,TOR,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,3.46,Missed,Duren,1631105.0,,,,,,,,,,,,,,,,
8,PT11M43.00S,2026-04-01T00:13:41.8Z,1,REGULAR,block,,[],1631105,,,1610612761,0,0,2026-04-01T00:13:44Z,80000,False,,,0,,J. Duren BLOCK (1 BLK),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2026-04-01T00:13:41.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,0,0,2026-04-01T00:13:50Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Restricted Area,0-8 Center,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M40.00S,2026-04-01T00:14:00.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642266,92.59198423127464,56.372549019607845,1610612761,0,0,2026-04-01T00:14:04Z,110000,False,32.0,17.0,1,right,MISS J. Walter driving Layup,[1642266],1610612761.0,TOR,driving,,,Walter,J. Walter,,,,,Restricted Area,0-8 Center,3.62,Missed,,,,,,,,,,,,,,,,,,
13,PT11M37.00S,2026-04-01T00:14:03.2Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,0,0,2026-04-01T00:14:04Z,130000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT11M24.00S,2026-04-01T00:14:16.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,7.835085413929041,52.94117647058824,1610612765,2,0,2026-04-01T00:16:15Z,140000,False,-15.0,21.0,1,left,J. Duren driving finger roll Layup (2 PTS),[1631105],1610612765.0,DET,driving finger roll,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,2.57,Made,,,,,,,2.0,,,,,,,,,,,
15,PT11M16.00S,2026-04-01T00:14:23.9Z,1,REGULAR,3pt,Jump Shot,[],1629628,93.51182654402102,94.36274509803921,1610612761,2,0,2026-04-01T00:14:28Z,150000,False,222.0,8.0,1,right,MISS R. Barrett 3PT,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Right Corner 3,24+ Right,22.2,Missed,,,,,,,,,,,,,,,,,,
16,PT11M13.00S,2026-04-01T00:14:26.9Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,2,0,2026-04-01T00:14:28Z,160000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Right Corner 3,24+ Right,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,
17,PT10M56.00S,2026-04-01T00:14:43.6Z,1,REGULAR,2pt,Jump Shot,[],202699,6.389618922470433,71.07843137254902,1610612765,2,0,2026-04-01T00:17:08Z,170000,False,-105.0,8.0,1,left,MISS T. Harris 10' step back Shot,[202699],1610612765.0,DET,step back,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,10.57,Missed,,,,,,,,,,,,,,,,,,
18,PT10M54.00S,2026-04-01T00:14:45.6Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,2,0,2026-04-01T00:14:48Z,180000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Mid-Range,8-16 Left,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,
19,PT10M32.00S,2026-04-01T00:15:08.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627751,90.09526938239159,51.470588235294116,1610612761,2,0,2026-04-01T00:15:12Z,190000,False,7.0,41.0,1,right,MISS J. Poeltl turnaround Hook,[1627751],1610612761.0,TOR,turnaround,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,4.13,Missed,,,,,,,,,,,,,,,,,,
20,PT10M29.00S,2026-04-01T00:15:11.3Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612765,2,0,2026-04-01T00:15:12Z,200000,False,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Restricted Area,0-8 Center,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,
21,PT10M22.00S,2026-04-01T00:15:22.3Z,1,REGULAR,violation,kicked ball,[],1627751,,,1610612765,2,0,2026-04-01T00:15:32Z,210000,False,,,0,,J. Poeltl kicked ball VIOLATION,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,1146.0,,,,,,,,,,
22,PT10M10.00S,2026-04-01T00:15:49.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641709,18.2161629434954,45.34313725490196,1610612765,2,0,2026-04-01T00:15:52Z,220000,False,23.0,119.0,1,left,MISS A. Thompson 12' turnaround Shot,[1641709],1610612765.0,DET,turnaround,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),8-16 Center,12.1,Missed,,,,,,,,,,,,,,,,,,
23,PT10M09.00S,2026-04-01T00:15:50.1Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,2,0,2026-04-01T00:15:55Z,230000,False,,,0,,R. Barrett REBOUND (Off:0 Def:2),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),8-16 Center,,,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,
