actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-13T23:42:16.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-13T23:42:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT12M00.00S,2026-03-13T23:42:17.0Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2026-03-13T23:43:52Z,25000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-03-13T23:42:18.0Z,1,REGULAR,jumpball,recovered,[],1631204,,,1610612765,0,0,2026-03-13T23:42:18Z,40000,False,,,0,,Jump Ball J. Duren vs. O. Prosper: Tip to M. Sasser,"[1631204, 1631105, 1641765]",1610612765.0,DET,startperiod,M. Sasser,1631204.0,Sasser,M. Sasser,Duren,1631105.0,Prosper,1641765.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M54.00S,2026-03-13T23:42:26.5Z,1,REGULAR,foul,personal,[],1641707,,,1610612765,0,0,2026-03-13T23:43:00Z,70000,False,,,0,,T. Hendricks personal FOUL (1 PF),"[1641707, 1629750]",1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,Above the Break 3,24+ Right Center,202049.0,1.0,0.0,Green,1629750.0,,,,,,,,,,,,,,,
63,PT11M42.00S,2026-03-13T23:42:53.9Z,1,REGULAR,foul,offensive,[],1631105,,,1610612765,0,0,2026-03-13T23:53:24Z,105000,False,,,0,,J. Duren offensive FOUL (1 PF),"[1631105, 1641707]",1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,202049.0,1.0,0.0,Hendricks,1641707.0,,,,,,,,,,,,,,,
64,PT11M42.00S,2026-03-13T23:42:53.9Z,1,REGULAR,turnover,offensive foul,[],1631105,,,1610612765,0,0,2026-03-13T23:42:53Z,117500,False,,,0,,J. Duren offensive foul TURNOVER (1 TO),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,202049.0,,,,,1.0,,,,,,,,,,,,,,
13,PT11M42.00S,2026-03-13T23:43:21.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,0,0,2026-03-13T23:42:53Z,130000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT11M24.00S,2026-03-13T23:46:33.3Z,1,REGULAR,turnover,bad pass,[],1641707,,,1610612763,0,0,2026-03-13T23:46:37Z,150000,False,,,0,,T. Hendricks bad pass TURNOVER (1 TO),"[1641707, 1631105]",1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,In The Paint (Non-RA),8-16 Right,,,,,,1.0,Duren,1631105.0,,,,,,,,,,,,
17,PT11M24.00S,2026-03-13T23:46:33.3Z,1,REGULAR,steal,,[],1631105,,,1610612765,0,0,2026-03-13T23:46:35Z,160000,False,,,0,,J. Duren STEAL (1 STL),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
18,PT11M16.00S,2026-03-13T23:46:42.2Z,1,REGULAR,turnover,bad pass,[],1630595,,,1610612765,0,0,2026-03-13T23:46:50Z,170000,False,,,0,,C. Cunningham bad pass TURNOVER (1 TO),"[1630595, 1641707]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Center,,,,,,1.0,Hendricks,1641707.0,,,,,,,,,,,,
