actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-16T00:12:10.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-16T00:12:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2026-01-16T00:12:14.8Z,1,REGULAR,jumpball,recovered,[],1628960,,,1610612756,0,0,2026-01-16T00:12:14Z,40000,False,,,0,,Jump Ball M. Williams vs. J. Duren: Tip to G. Allen,"[1628960, 1631109, 1631105]",1610612756.0,PHX,startperiod,G. Allen,1628960.0,Allen,G. Allen,Williams,1631109.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-01-16T00:12:31.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,93.61038107752957,57.1078431372549,1610612756,0,0,2026-01-16T00:12:35Z,70000,False,36.0,8.0,1,right,MISS D. Brooks driving Layup - blocked,"[1628415, 1631105]",1610612756.0,PHX,driving,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,3.63,Missed,Duren,1631105.0,,,,,,,,,,,,,,,,
8,PT11M39.00S,2026-01-16T00:12:31.2Z,1,REGULAR,block,,[],1631105,,,1610612756,0,0,2026-01-16T00:12:33Z,80000,False,,,0,,J. Duren BLOCK (1 BLK),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2026-01-16T00:12:34.2Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,0,0,2026-01-16T00:12:35Z,90000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M28.00S,2026-01-16T00:12:40.9Z,1,REGULAR,2pt,Jump Shot,[],202699,15.686596583442835,28.186274509803923,1610612765,2,0,2026-01-16T00:12:44Z,100000,False,109.0,95.0,1,left,T. Harris 14' pullup Jump Shot (2 PTS),[202699],1610612765.0,DET,pullup,,,Harris,T. Harris,,,,,Mid-Range,8-16 Right,14.47,Made,,,,,,,2.0,,,,,,,,,,,
11,PT11M15.00S,2026-01-16T00:12:54.5Z,1,REGULAR,3pt,Jump Shot,[],1628960,66.93495400788436,52.94117647058824,1610612756,2,0,2026-01-16T00:13:39Z,110000,False,15.0,258.0,1,right,MISS G. Allen 25' pullup 3PT,[1628960],1610612756.0,PHX,pullup,,,Allen,G. Allen,,,,,Above the Break 3,24+ Center,25.87,Missed,,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2026-01-16T00:12:57.5Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,2,0,2026-01-16T00:12:59Z,120000,False,,,0,,J. Duren REBOUND (Off:0 Def:2),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Center,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,
13,PT11M08.00S,2026-01-16T00:13:04.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631105,9.510512483574246,44.11764705882353,1610612765,4,0,2026-01-16T00:14:15Z,130000,False,29.0,37.0,1,left,J. Duren running Layup (2 PTS),[1631105],1610612765.0,DET,running,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,4.72,Made,,,,,,,2.0,,,,,,,,,,,
14,PT11M08.00S,2026-01-16T00:13:09.8Z,1,REGULAR,foul,personal,['1freethrow'],1631109,,,1610612765,4,0,2026-01-16T00:13:20Z,140000,False,,,0,,M. Williams shooting personal FOUL (1 PF) (Duren 1 FT),"[1631109, 1631105]",1610612756.0,PHX,shooting,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1201.0,1.0,0.0,Duren,1631105.0,,,,,,
16,PT11M08.00S,2026-01-16T00:13:41.5Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1631105,,,1610612765,4,0,2026-01-16T00:13:44Z,160000,False,,,0,,MISS J. Duren Free Throw 1 of 1,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
17,PT11M04.00S,2026-01-16T00:13:45.5Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612756,4,0,2026-01-16T00:13:44Z,170000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,
18,PT10M47.00S,2026-01-16T00:14:00.7Z,1,REGULAR,2pt,Jump Shot,[],1628415,89.14257555847568,75.98039215686275,1610612756,4,0,2026-01-16T00:14:05Z,180000,False,130.0,50.0,1,right,MISS D. Brooks 13' fadeaway Shot,[1628415],1610612756.0,PHX,fadeaway,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Right,13.9,Missed,,,,,,,,,,,,,,,,,,
19,PT10M45.00S,2026-01-16T00:14:02.7Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,4,0,2026-01-16T00:14:05Z,190000,False,,,0,,J. Duren REBOUND (Off:0 Def:3),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,8-16 Right,,,,,18.0,3.0,3.0,0.0,,,,,,,,,,,,
20,PT10M41.00S,2026-01-16T00:14:05.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",202699,6.4881734559789805,57.1078431372549,1610612765,6,0,2026-01-16T00:14:31Z,200000,False,-36.0,8.0,1,left,T. Harris running DUNK (4 PTS) (C. Cunningham 1 AST),"[202699, 1630595]",1610612765.0,DET,running,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,3.65,Made,,,,,,,4.0,,,,,,C. Cunningham,1630595.0,1.0,,,
21,PT10M31.00S,2026-01-16T00:14:17.3Z,1,REGULAR,3pt,Jump Shot,[],1626220,66.14651773981603,29.411764705882348,1610612756,6,3,2026-01-16T00:15:52Z,210000,False,-103.0,266.0,1,right,R. O'Neale 28' 3PT pullup (3 PTS),[1626220],1610612756.0,PHX,pullup,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Left Center,28.49,Made,,,,,,,3.0,,,,,,,,,,,
23,PT10M04.00S,2026-01-16T00:14:43.5Z,1,REGULAR,turnover,bad pass,[],1630595,,,1610612765,6,3,2026-01-16T00:14:53Z,220000,False,,,0,,C. Cunningham bad pass TURNOVER (1 TO),"[1630595, 1631221]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,1.0,Gillespie,1631221.0
24,PT10M04.00S,2026-01-16T00:14:43.5Z,1,REGULAR,steal,,[],1631221,,,1610612756,6,3,2026-01-16T00:14:46Z,230000,False,,,0,,C. Gillespie STEAL (1 STL),[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
25,PT09M58.00S,2026-01-16T00:14:48.9Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628960,72.9796320630749,88.23529411764706,1610612756,6,3,2026-01-16T00:17:58Z,240000,False,191.0,201.0,1,right,MISS G. Allen 27' running 3PT,[1628960],1610612756.0,PHX,running,,,Allen,G. Allen,,,,,Above the Break 3,24+ Right Center,27.78,Missed,,,,,,,,,,,,,,,,,,
26,PT09M55.00S,2026-01-16T00:14:51.9Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,6,3,2026-01-16T00:17:58Z,250000,False,,,0,,J. Duren REBOUND (Off:0 Def:4),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Right Center,,,,,25.0,4.0,4.0,0.0,,,,,,,,,,,,
27,PT09M49.00S,2026-01-16T00:14:57.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630595,8.327858081471746,2.941176470588232,1610612765,6,3,2026-01-16T00:15:03Z,260000,False,235.0,26.0,1,left,MISS C. Cunningham running 3PT,[1630595],1610612765.0,DET,running,,,Cunningham,C. Cunningham,,,,,Right Corner 3,24+ Right,23.67,Missed,,,,,,,,,,,,,,,,,,
28,PT09M47.00S,2026-01-16T00:15:00.2Z,1,REGULAR,rebound,offensive,[],1641709,,,1610612765,6,3,2026-01-16T00:15:00Z,270000,False,,,0,,A. Thompson REBOUND (Off:1 Def:0),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Right Corner 3,24+ Right,,,,,27.0,1.0,0.0,1.0,,,,,,,,,,,,
29,PT09M43.00S,2026-01-16T00:15:04.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629130,5.568331143232584,40.44117647058824,1610612765,6,3,2026-01-16T00:18:58Z,280000,False,48.0,0.0,1,left,MISS D. Robinson driving finger roll Layup,[1629130],1610612765.0,DET,driving finger roll,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),0-8 Center,4.78,Missed,,,,,,,,,,,,,,,,,,
30,PT09M41.00S,2026-01-16T00:15:06.5Z,1,REGULAR,rebound,offensive,[],1629130,,,1610612765,6,3,2026-01-16T00:18:58Z,290000,False,,,0,,D. Robinson REBOUND (Off:1 Def:0),[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,,,29.0,1.0,0.0,1.0,,,,,,,,,,,,
31,PT09M33.00S,2026-01-16T00:15:14.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630595,14.241130091984232,62.254901960784316,1610612765,8,3,2026-01-16T00:15:19Z,300000,False,-61.0,81.0,1,left,C. Cunningham 10' driving floating Jump Shot (2 PTS) (A. Thompson 1 AST),"[1630595, 1641709]",1610612765.0,DET,driving floating,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Left,10.19,Made,,,,,,,2.0,,,,,,A. Thompson,1641709.0,1.0,,,
32,PT09M16.00S,2026-01-16T00:15:30.8Z,1,REGULAR,3pt,Jump Shot,[],1631221,71.27135348226018,17.15686274509804,1610612756,8,3,2026-01-16T00:20:48Z,310000,False,-164.0,218.0,1,right,MISS C. Gillespie 27' pullup 3PT,[1631221],1610612756.0,PHX,pullup,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Left Center,27.25,Missed,,,,,,,,,,,,,,,,,,
33,PT09M14.00S,2026-01-16T00:15:33.4Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,8,3,2026-01-16T00:15:33Z,320000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,
34,PT09M11.00S,2026-01-16T00:15:36.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630595,5.436925098554539,57.84313725490196,1610612765,8,3,2026-01-16T00:22:42Z,330000,False,-39.0,-1.0,1,left,MISS C. Cunningham running reverse Layup - blocked,"[1630595, 1628960]",1610612765.0,DET,running reverse,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,3.92,Missed,Allen,1628960.0,,,,,,,,,,,,,,,,
35,PT09M11.00S,2026-01-16T00:15:36.6Z,1,REGULAR,block,,[],1628960,,,1610612765,8,3,2026-01-16T00:15:39Z,340000,False,,,0,,G. Allen BLOCK (1 BLK),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
36,PT09M11.00S,2026-01-16T00:15:36.6Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612756,8,3,2026-01-16T00:15:41Z,350000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:2),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,
37,PT09M01.00S,2026-01-16T00:15:46.7Z,1,REGULAR,turnover,bad pass,[],1628960,,,1610612756,8,3,2026-01-16T00:15:50Z,360000,False,,,0,,G. Allen bad pass TURNOVER (1 TO),"[1628960, 202699]",1610612756.0,PHX,,,,Allen,G. Allen,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,1.0,Harris,202699.0
38,PT09M01.00S,2026-01-16T00:15:46.7Z,1,REGULAR,steal,,[],202699,,,1610612765,8,3,2026-01-16T00:15:48Z,370000,False,,,0,,T. Harris STEAL (1 STL),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
39,PT08M54.00S,2026-01-16T00:15:53.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630595,20.02299605781866,6.372549019607845,1610612765,8,3,2026-01-16T00:16:00Z,380000,False,218.0,136.0,1,left,MISS C. Cunningham 25' running 3PT,[1630595],1610612765.0,DET,running,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Right Center,25.69,Missed,,,,,,,,,,,,,,,,,,
40,PT08M52.00S,2026-01-16T00:15:55.8Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612756,8,3,2026-01-16T00:16:00Z,390000,False,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Right Center,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,
41,PT08M48.00S,2026-01-16T00:16:00.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626220,85.85742444152432,97.05882352941177,1610612756,8,3,2026-01-16T00:25:14Z,400000,False,235.0,80.0,1,right,MISS R. O'Neale 24' running 3PT,[1626220],1610612756.0,PHX,running,,,O'Neale,R. O'Neale,,,,,Right Corner 3,24+ Right,24.87,Missed,,,,,,,,,,,,,,,,,,
45,PT08M41.00S,2026-01-16T00:16:36.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,8,3,2026-01-16T00:16:36Z,410000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Right Corner 3,24+ Right,,,,,41.0,,,,,,,,,,,,,,,
42,PT08M41.00S,2026-01-16T00:16:36.6Z,1,REGULAR,jumpball,recovered,[],1628415,,,1610612756,8,3,2026-01-16T00:16:36Z,420000,False,,,0,,Jump Ball M. Williams vs. A. Thompson: Tip to D. Brooks,"[1628415, 1631109, 1641709]",1610612756.0,PHX,heldball,D. Brooks,1628415.0,Brooks,D. Brooks,Williams,1631109.0,Thompson,1641709.0,,,,,,,,,,,,,,,,,,,,,,
