actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-10-29T23:10:43.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-29T23:10:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-10-29T23:10:46.5Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2025-10-29T23:10:46Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. J. Duren: Tip to J. Suggs,"[1630591, 1628976, 1631105]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Carter Jr.,1628976.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-10-29T23:11:03.1Z,1,REGULAR,turnover,lost ball,[],1631094,,,1610612753,0,0,2025-10-29T23:11:09Z,70000,False,,,0,,P. Banchero lost ball TURNOVER (1 TO),"[1631094, 202699]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,1.0,Harris,202699.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-10-29T23:11:03.1Z,1,REGULAR,steal,,[],202699,,,1610612765,0,0,2025-10-29T23:11:05Z,80000,False,,,0,,T. Harris STEAL (1 STL),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2025-10-29T23:11:10.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630595,33.6892247043364,40.19607843137255,1610612765,0,0,2025-10-29T23:11:17Z,90000,False,49.0,264.0,1,left,MISS C. Cunningham 26' 3PT,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,,,,26.87,Missed,,,,,,,,,,,,,,,
10,PT11M29.00S,2025-10-29T23:11:13.9Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,0,2025-10-29T23:11:17Z,100000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M26.00S,2025-10-29T23:11:20.0Z,1,REGULAR,foul,personal,['2freethrow'],202699,,,1610612753,0,0,2025-10-29T23:11:31Z,110000,False,,,0,,T. Harris shooting personal FOUL (1 PF) (Banchero 2 FT),"[202699, 1631094]",1610612765.0,DET,shooting,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1628484.0,1.0,0.0,Banchero,1631094.0,,,,,,
13,PT11M26.00S,2025-10-29T23:11:46.9Z,1,REGULAR,freethrow,1 of 2,[],1631094,,,1610612753,0,1,2025-10-29T23:11:46Z,130000,False,,,0,,P. Banchero Free Throw 1 of 2 (1 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,Made,,,,,,,,,,1.0,,,,,
14,PT11M26.00S,2025-10-29T23:12:09.4Z,1,REGULAR,freethrow,2 of 2,[],1631094,,,1610612753,0,2,2025-10-29T23:12:09Z,140000,False,,,0,,P. Banchero Free Throw 2 of 2 (2 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,Made,,,,,,,,,,2.0,,,,,
15,PT11M09.00S,2025-10-29T23:12:28.9Z,1,REGULAR,3pt,Jump Shot,[],202699,32.50657030223391,37.254901960784316,1610612765,0,2,2025-10-29T23:12:35Z,150000,False,64.0,253.0,1,left,MISS T. Harris 26' 3PT,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Center,,,,26.1,Missed,,,,,,,,,,,,,,,
