actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-10-26T19:44:38.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-26T19:44:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-10-26T19:44:43.3Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2025-10-26T19:44:43Z,40000,False,,,0,,Jump Ball N. Queta vs. J. Duren: Tip to J. Brown,"[1627759, 1629674, 1631105]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Queta,1629674.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2025-10-26T19:45:01.7Z,1,REGULAR,2pt,Jump Shot,[],1627759,89.93101182654402,32.35294117647058,1610612738,0,2,2025-10-26T19:45:09Z,70000,False,-88.0,42.0,1,right,J. Brown 9' driving floating Jump Shot (2 PTS),[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,9.77,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M14.00S,2025-10-26T19:45:24.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641709,15.949408672798953,47.79411764705882,1610612765,0,2,2025-10-26T19:45:35Z,80000,False,11.0,97.0,1,left,MISS A. Thompson 9' floating Shot - blocked,"[1641709, 1642864]",1610612765.0,DET,floating,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),8-16 Center,9.8,Missed,,González,1642864.0,,,,,,,,,,,,,,,
9,PT11M14.00S,2025-10-26T19:45:24.0Z,1,REGULAR,block,,[],1642864,,,1610612765,0,2,2025-10-26T19:45:28Z,90000,False,,,0,,H. González BLOCK (1 BLK),[1642864],1610612738.0,BOS,,,,González,H. González,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M14.00S,2025-10-26T19:45:24.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,0,2,2025-10-26T19:45:35Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,8.0,,,,,,,,,,,,,,
12,PT11M09.00S,2025-10-26T19:45:46.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1641709,8.853482260183966,45.58823529411765,1610612765,2,2,2025-10-26T19:45:54Z,120000,False,22.0,31.0,1,left,A. Thompson DUNK (2 PTS) (T. Harris 1 AST),"[1641709, 202699]",1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,3.78,Made,2.0,,,,T. Harris,202699.0,1.0,,,,,,,,,,,
14,PT11M01.00S,2025-10-26T19:45:55.8Z,1,REGULAR,foul,personal,[],202699,,,1610612738,2,2,2025-10-26T19:46:06Z,140000,False,,,0,,T. Harris personal FOUL (1 PF),"[202699, 1627759]",1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,101283.0,1.0,0.0,Brown,1627759.0,,,,,,
16,PT10M48.00S,2025-10-26T19:46:27.0Z,1,REGULAR,2pt,Jump Shot,[],1627759,72.7168199737188,62.00980392156863,1610612738,2,2,2025-10-26T19:46:39Z,160000,False,60.0,204.0,1,right,MISS J. Brown 21' step back Shot,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Mid-Range,16-24 Center,21.26,Missed,,,,,,,,,,,,,,,,,,
17,PT10M44.00S,2025-10-26T19:46:31.0Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,2,2,2025-10-26T19:46:39Z,170000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Center,,,,,,16.0,,,,,,,,,1.0,1.0,0.0,,,
18,PT10M34.00S,2025-10-26T19:46:39.6Z,1,REGULAR,turnover,lost ball,[],1631105,,,1610612765,2,2,2025-10-26T19:46:46Z,180000,False,,,0,,J. Duren lost ball TURNOVER (1 TO),"[1631105, 1642864]",1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,1.0,González,1642864.0
19,PT10M34.00S,2025-10-26T19:46:39.6Z,1,REGULAR,steal,,[],1642864,,,1610612738,2,2,2025-10-26T19:46:46Z,190000,False,,,0,,H. González STEAL (1 STL),[1642864],1610612738.0,BOS,,,,González,H. González,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
20,PT10M25.00S,2025-10-26T19:46:48.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630202,66.27792378449408,63.48039215686275,1610612738,2,2,2025-10-26T19:46:53Z,200000,False,67.0,264.0,1,right,MISS P. Pritchard 27' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Center,27.3,Missed,,,,,,,,,,,,,,,,,,
21,PT10M25.00S,2025-10-26T19:46:48.6Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,2,2,2025-10-26T19:46:53Z,210000,False,,,0,,A. Thompson REBOUND (Off:0 Def:2),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Center,,,,,,20.0,,,,,,,,,2.0,2.0,0.0,,,
22,PT10M25.00S,2025-10-26T19:46:57.6Z,1,REGULAR,foul,personal,[],1627759,,,1610612765,2,2,2025-10-26T19:47:06Z,220000,False,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 1641709]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,1627534.0,1.0,0.0,Thompson,1641709.0,,,,,,
24,PT10M21.00S,2025-10-26T19:47:26.5Z,1,REGULAR,foul,personal,[],1642864,,,1610612765,2,2,2025-10-26T19:47:57Z,240000,False,,,0,,H. González personal FOUL (1 PF),"[1642864, 1630595]",1610612738.0,BOS,,,,González,H. González,,,,,Mid-Range,8-16 Right,,,,,,,,,,101283.0,1.0,0.0,Cunningham,1630595.0,,,,,,
26,PT10M12.00S,2025-10-26T19:47:46.0Z,1,REGULAR,2pt,Jump Shot,[],1630595,24.490801576872528,54.90196078431372,1610612765,2,2,2025-10-26T19:47:51Z,260000,False,-25.0,178.0,1,left,MISS C. Cunningham 17' Jump Shot,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Mid-Range,16-24 Center,17.94,Missed,,,,,,,,,,,,,,,,,,
27,PT10M09.00S,2025-10-26T19:47:49.0Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,2,2,2025-10-26T19:47:51Z,270000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Center,,,,,,26.0,,,,,,,,,1.0,1.0,0.0,,,
28,PT10M05.00S,2025-10-26T19:47:56.2Z,1,REGULAR,foul,personal,[],1630595,,,1610612738,2,2,2025-10-26T19:48:05Z,280000,False,,,0,,C. Cunningham personal FOUL (1 PF),"[1630595, 1627759]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,1628171.0,1.0,0.0,Brown,1627759.0,,,,,,
30,PT09M55.00S,2025-10-26T19:48:27.7Z,1,REGULAR,3pt,Jump Shot,[],1627759,68.9060446780552,31.862745098039213,1610612738,2,5,2025-10-26T19:48:32Z,300000,False,-91.0,240.0,1,right,J. Brown 25' 3PT  (5 PTS) (D. White 1 AST),"[1627759, 1628401]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,25.64,Made,5.0,,,,D. White,1628401.0,1.0,,,,,,,,,,,
32,PT09M49.00S,2025-10-26T19:48:33.6Z,1,REGULAR,turnover,bad pass,[],1630595,,,1610612765,2,5,2025-10-26T19:48:38Z,320000,False,,,0,,C. Cunningham bad pass TURNOVER (1 TO),"[1630595, 1628401]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,1.0,White,1628401.0
33,PT09M49.00S,2025-10-26T19:48:33.6Z,1,REGULAR,steal,,[],1628401,,,1610612738,2,5,2025-10-26T19:48:36Z,330000,False,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
34,PT09M48.00S,2025-10-26T19:48:37.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628401,91.24507227332458,56.127450980392155,1610612738,2,7,2025-10-26T19:50:28Z,340000,False,31.0,30.0,1,right,D. White driving DUNK (2 PTS),[1628401],1610612738.0,BOS,driving,,,White,D. White,,,,,Restricted Area,0-8 Center,4.27,Made,2.0,,,,,,,,,,,,,,,,,
