actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-11-03T01:10:46.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-03T01:10:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-11-03T01:10:48.1Z,1,REGULAR,jumpball,recovered,[],1628374,,,1610612762,0,0,2023-11-03T01:10:48Z,40000,False,,,0,,Jump Ball W. Kessler vs. W. Carter Jr.: Tip to L. Markkanen,"[1628374, 1631117, 1628976]",1610612762.0,UTA,startperiod,L. Markkanen,1628374.0,Markkanen,L. Markkanen,Kessler,1631117.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-11-03T01:10:58.1Z,1,REGULAR,turnover,bad pass,[],203903,,,1610612762,0,0,2023-11-03T01:11:02Z,70000,False,,,0,,J. Clarkson bad pass TURNOVER (1 TO),"[203903, 1630591]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Center,1.0,Suggs,1630591.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2023-11-03T01:10:58.1Z,1,REGULAR,steal,,[],1630591,,,1610612753,0,0,2023-11-03T01:11:00Z,80000,False,,,0,,J. Suggs STEAL (1 STL),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2023-11-03T01:11:02.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630591,7.30946123521682,40.931372549019606,1610612753,0,0,2023-11-03T01:11:11Z,90000,False,45.0,16.0,1,left,MISS J. Suggs running Layup - blocked,"[1630591, 1631117]",1610612753.0,ORL,running,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,,,,4.81,Missed,Kessler,1631117.0,,,,,,,,,,,,,
10,PT11M43.00S,2023-11-03T01:11:02.0Z,1,REGULAR,block,,[],1631117,,,1610612753,0,0,2023-11-03T01:11:04Z,100000,False,,,0,,W. Kessler BLOCK (1 BLK),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M40.00S,2023-11-03T01:11:05.0Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,0,0,2023-11-03T01:11:09Z,110000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:0),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,
12,PT11M40.00S,2023-11-03T01:11:06.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628976,5.590000152587891,50.0,1610612753,0,2,2023-11-03T01:11:06Z,120000,False,0.0,0.0,1,left,W. Carter Jr. putback Layup (2 PTS),[1628976],1610612753.0,ORL,putback,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Left,,,,0.0,Made,,,,,,,2.0,,,,,,,,
13,PT11M17.00S,2023-11-03T01:11:31.9Z,1,REGULAR,foul,personal,['2freethrow'],1630591,,,1610612762,0,2,2023-11-03T01:12:07Z,130000,False,,,0,,J. Suggs shooting personal FOUL (1 PF) (Collins 2 FT),"[1630591, 1628381]",1610612753.0,ORL,shooting,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1627963.0,1.0,0.0,Collins,1628381.0,,,
15,PT11M17.00S,2023-11-03T01:12:02.9Z,1,REGULAR,freethrow,1 of 2,[],1628381,,,1610612762,0,2,2023-11-03T01:12:03Z,150000,False,,,0,,MISS J. Collins Free Throw 1 of 2,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
