actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-02-15T02:10:58.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-15T02:10:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-15T02:11:00.7Z,1,REGULAR,jumpball,recovered,[],1629060,,,1610612747,0,0,2024-02-15T02:11:00Z,40000,False,,,0,,Jump Ball A. Davis vs. W. Kessler: Tip to R. Hachimura,"[1629060, 203076, 1631117]",1610612747.0,LAL,startperiod,R. Hachimura,1629060.0,Hachimura,R. Hachimura,Davis,203076.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-02-15T02:11:12.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626156,9.411957950065702,61.274509803921575,1610612747,0,2,2024-02-15T02:11:17Z,70000,False,-56.0,36.0,1,left,D. Russell 6' driving Layup (2 PTS),[1626156],1610612747.0,LAL,driving,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,6.69,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2024-02-15T02:11:35.4Z,1,REGULAR,turnover,bad pass,[],1628374,,,1610612762,0,2,2024-02-15T02:11:41Z,80000,False,,,0,,L. Markkanen bad pass TURNOVER (1 TO),"[1628374, 1626156]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,,,,1.0,Russell,1626156.0,,,,,,,,,,,,,,
9,PT11M22.00S,2024-02-15T02:11:35.4Z,1,REGULAR,steal,,[],1626156,,,1610612747,0,2,2024-02-15T02:11:37Z,90000,False,,,0,,D. Russell STEAL (1 STL),[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2024-02-15T02:11:41.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626156,9.280551905387648,58.82352941176471,1610612747,0,2,2024-02-15T02:13:18Z,100000,False,-44.0,35.0,1,left,MISS D. Russell running Layup - blocked,"[1626156, 1629012]",1610612747.0,LAL,running,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,5.61,Missed,,,,,Sexton,1629012.0,,,,,,,,,,,,
11,PT11M18.00S,2024-02-15T02:11:41.0Z,1,REGULAR,block,,[],1629012,,,1610612747,0,2,2024-02-15T02:11:43Z,110000,False,,,0,,C. Sexton BLOCK (1 BLK),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2024-02-15T02:11:41.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,0,2,2024-02-15T02:11:49Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,10.0,,,,,,,,,,,
14,PT11M07.00S,2024-02-15T02:12:00.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629060,7.835085413929041,3.1862745098039214,1610612747,0,2,2024-02-15T02:12:06Z,140000,False,234.0,21.0,1,left,MISS R. Hachimura 3PT,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Right Corner 3,24+ Right,23.5,Missed,,,,,,,,,,,,,,,,,,
15,PT11M04.00S,2024-02-15T02:12:03.8Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,0,2,2024-02-15T02:12:06Z,150000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Right Corner 3,24+ Right,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
