actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-04-12T01:11:42.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-12T01:11:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-04-12T01:11:44.6Z,1,REGULAR,jumpball,recovered,[],1641708,,,1610612745,0,0,2024-04-12T01:11:44Z,40000,False,,,0,,Jump Ball J. Smith Jr. vs. O. Yurtseven: Tip to A. Thompson,"[1641708, 1631095, 1630209]",1610612745.0,HOU,startperiod,A. Thompson,1641708.0,Thompson,A. Thompson,Smith Jr.,1631095.0,Yurtseven,1630209.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-04-12T01:11:58.8Z,1,REGULAR,3pt,Jump Shot,[],1627832,76.03482260183968,13.725490196078432,1610612745,0,3,2024-04-12T01:12:04Z,70000,False,-181.0,173.0,1,right,F. VanVleet 25' 3PT  (3 PTS) (A. Thompson 1 AST),"[1627832, 1641708]",1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,25.05,Made,3.0,A. Thompson,1641708.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2024-04-12T01:12:14.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629677,9.280551905387648,48.77450980392157,1610612762,0,3,2024-04-12T01:21:53Z,90000,False,6.0,35.0,1,left,MISS L. Samanic driving DUNK - blocked,"[1629677, 1631095]",1610612762.0,UTA,driving,,,Samanic,L. Samanic,,,,,Restricted Area,0-8 Center,3.52,Missed,,,,,Smith Jr.,1631095.0,,,,,,,,,,,,
67,PT11M27.00S,2024-04-12T01:12:14.9Z,1,REGULAR,block,,[],1631095,,,1610612762,0,3,2024-04-12T01:21:34Z,95000,False,,,0,,J. Smith Jr. BLOCK (1 BLK),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2024-04-12T01:12:16.9Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612745,0,3,2024-04-12T01:12:19Z,100000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,
11,PT11M22.00S,2024-04-12T01:12:21.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1641708,92.72339027595268,43.872549019607845,1610612745,0,3,2024-04-12T01:13:15Z,110000,False,-31.0,16.0,1,right,MISS A. Thompson running Layup,[1641708],1610612745.0,HOU,running,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,3.45,Missed,,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2024-04-12T01:12:23.0Z,1,REGULAR,rebound,offensive,[],1641708,,,1610612745,0,3,2024-04-12T01:13:15Z,120000,False,,,0,,A. Thompson REBOUND (Off:1 Def:0),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,
13,PT11M20.00S,2024-04-12T01:12:23.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1641708,94.40999984741211,50.0,1610612745,0,5,2024-04-12T01:13:20Z,130000,False,0.0,0.0,1,right,A. Thompson tip Layup (2 PTS),[1641708],1610612745.0,HOU,tip,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
14,PT11M07.00S,2024-04-12T01:12:34.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630209,7.178055190538765,44.85294117647059,1610612762,2,5,2024-04-12T01:12:38Z,140000,False,26.0,15.0,1,left,O. Yurtseven DUNK (2 PTS) (T. Hendricks 1 AST),"[1630209, 1641707]",1610612762.0,UTA,,,,Yurtseven,O. Yurtseven,,,,,Restricted Area,0-8 Center,2.98,Made,2.0,T. Hendricks,1641707.0,1.0,,,,,,,,,,,,,,
