actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-02T02:10:35.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-02T02:10:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-01-02T02:10:36.3Z,1,REGULAR,jumpball,recovered,[],202681,,,1610612742,0,0,2024-01-02T02:10:36Z,40000,False,,,0,,Jump Ball D. Lively II vs. J. Collins: Tip to K. Irving,"[202681, 1641726, 1628381]",1610612742.0,DAL,startperiod,K. Irving,202681.0,Irving,K. Irving,Lively II,1641726.0,Collins,1628381.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-01-02T02:11:12.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,7.178055190538765,42.15686274509804,1610612742,0,2,2024-01-02T02:11:17Z,80000,False,39.0,15.0,1,left,K. Irving driving Layup (2 PTS) (L. Doncic 1 AST),"[202681, 1629029]",1610612742.0,DAL,driving,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,4.2,Made,2.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,,
10,PT11M20.00S,2024-01-02T02:11:30.2Z,1,REGULAR,3pt,Jump Shot,[],1631323,68.01905387647832,67.40196078431373,1610612762,3,2,2024-01-02T02:11:35Z,100000,False,87.0,248.0,1,right,S. Fontecchio 26' 3PT  (3 PTS) (C. Sexton 1 AST),"[1631323, 1629012]",1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Right Center,26.29,Made,3.0,C. Sexton,1629012.0,1.0,,,,,,,,,,,,,,
12,PT11M06.00S,2024-01-02T02:11:44.8Z,1,REGULAR,3pt,Jump Shot,[],1629029,33.590670170827856,53.92156862745098,1610612742,3,2,2024-01-02T02:13:16Z,120000,False,-20.0,263.0,1,left,MISS L. Doncic 26' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Center,26.4,Missed,,,,,,,,,,,,,,,,,,
13,PT11M03.00S,2024-01-02T02:11:47.3Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612762,3,2,2024-01-02T02:11:47Z,130000,False,,,0,,K. Dunn REBOUND (Off:0 Def:1),[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Above the Break 3,24+ Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M58.00S,2024-01-02T02:11:52.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628381,92.59198423127464,95.83333333333334,1610612762,3,2,2024-01-02T02:13:45Z,140000,False,229.0,17.0,1,right,MISS J. Collins running 3PT,[1628381],1610612762.0,UTA,running,,,Collins,J. Collins,,,,,Right Corner 3,24+ Right,22.98,Missed,,,,,,,,,,,,,,,,,,
15,PT10M54.00S,2024-01-02T02:11:55.7Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,3,2,2024-01-02T02:11:55Z,150000,False,,,0,,D. Lively II REBOUND (Off:0 Def:1),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Right Corner 3,24+ Right,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M44.00S,2024-01-02T02:12:06.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,5.995400788436268,56.61764705882353,1610612742,3,4,2024-01-02T02:14:36Z,160000,False,-33.0,4.0,1,left,L. Doncic driving Layup (2 PTS),[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,3.33,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M25.00S,2024-01-02T02:12:25.0Z,1,REGULAR,2pt,Jump Shot,[],1629012,91.67214191852825,13.970588235294118,1610612762,3,4,2024-01-02T02:12:31Z,170000,False,-180.0,26.0,1,right,MISS C. Sexton 18' Jump Shot,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Mid-Range,16-24 Left,18.19,Missed,,,,,,,,,,,,,,,,,,
