actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-19T01:10:34.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-19T01:10:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-03-19T01:10:35.2Z,1,REGULAR,jumpball,recovered,[],1641718,,,1610612762,0,0,2024-03-19T01:10:35Z,40000,False,,,0,,Jump Ball J. Collins vs. N. Reid: Tip to K. George,"[1641718, 1628381, 1629675]",1610612762.0,UTA,startperiod,K. George,1641718.0,George,K. George,Collins,1628381.0,Reid,1629675.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-03-19T01:10:53.6Z,1,REGULAR,turnover,out-of-bounds,[],1641718,,,1610612762,0,0,2024-03-19T01:11:01Z,70000,False,,,0,,K. George lost ball out-of-bounds TURNOVER (1 TO),[1641718],1610612762.0,UTA,lost ball,,,George,K. George,,,,,Above the Break 3,24+ Center,2714.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2024-03-19T01:11:14.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203937,89.35611038107753,8.356311274509803,1610612750,0,0,2024-03-19T01:13:17Z,80000,False,-208.0,48.0,1,right,MISS K. Anderson 21' Jump Shot,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Mid-Range,16-24 Left,,,21.36,Missed,,,,,,,,,,,,,,,,
9,PT11M26.00S,2024-03-19T01:11:16.6Z,1,REGULAR,rebound,offensive,[],1629675,,,1610612750,0,0,2024-03-19T01:11:18Z,90000,False,,,0,,N. Reid REBOUND (Off:1 Def:0),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Left Corner 3,24+ Left,,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M25.00S,2024-03-19T01:11:17.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629675,93.24901445466492,53.92156862745098,1610612750,0,2,2024-03-19T01:11:31Z,100000,False,20.0,11.0,1,right,N. Reid putback Layup (2 PTS),[1629675],1610612750.0,MIN,putback,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,2.25,Made,,,,,2.0,,,,,,,,,,,
11,PT11M11.00S,2024-03-19T01:11:30.6Z,1,REGULAR,3pt,Jump Shot,[],1628374,23.47240473061761,11.519607843137255,1610612762,3,2,2024-03-19T01:11:35Z,110000,False,192.0,168.0,1,left,L. Markkanen 25' 3PT  (3 PTS) (K. George 1 AST),"[1628374, 1641718]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,,,25.55,Made,,,,,3.0,K. George,1641718.0,1.0,,,,,,,,
13,PT10M57.00S,2024-03-19T01:11:46.3Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,3,2,2024-03-19T01:11:50Z,130000,False,,,0,,A. Edwards bad pass TURNOVER (1 TO),"[1630162, 1641718]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Left Center,,1.0,,,,,,,,,,,George,1641718.0,,,,,,
14,PT10M57.00S,2024-03-19T01:11:46.3Z,1,REGULAR,steal,,[],1641718,,,1610612762,3,2,2024-03-19T01:11:47Z,140000,False,,,0,,K. George STEAL (1 STL),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
15,PT10M48.00S,2024-03-19T01:11:54.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1641718,10.5946123521682,37.99019607843137,1610612762,5,2,2024-03-19T01:11:58Z,150000,False,60.0,47.0,1,left,K. George 7' driving floating bank Jump Shot (2 PTS),[1641718],1610612762.0,UTA,driving floating bank,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,,,7.63,Made,,,,,2.0,,,,,,,,,,,
