actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-04-03T01:10:45.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-03T01:10:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-04-03T01:10:48.6Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2024-04-03T01:10:48Z,40000,False,,,0,,Jump Ball J. Allen vs. W. Kessler: Tip to D. Garland,"[1629636, 1628386, 1631117]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2024-04-03T01:11:08.2Z,1,REGULAR,2pt,Jump Shot,[],1627747,6.783837056504599,26.47058823529412,1610612739,0,2,2024-04-03T01:11:28Z,70000,False,118.0,11.0,1,left,C. LeVert 11' pullup Jump Shot (2 PTS) (E. Mobley 1 AST),"[1627747, 1630596]",1610612739.0,CLE,pullup,,,LeVert,C. LeVert,,,,,Mid-Range,8-16 Right,11.81,Made,2.0,E. Mobley,1630596.0,1.0,,,,,,,,,,,,,,
12,PT11M09.00S,2024-04-03T01:11:57.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631117,92.32917214191852,54.166666666666664,1610612762,2,2,2024-04-03T01:12:37Z,120000,False,21.0,20.0,1,right,W. Kessler cutting Layup (2 PTS) (B. Sensabaugh 1 AST),"[1631117, 1641729]",1610612762.0,UTA,cutting,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,2.86,Made,2.0,B. Sensabaugh,1641729.0,1.0,,,,,,,,,,,,,,
14,PT10M59.00S,2024-04-03T01:12:07.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,6.652431011826544,52.450980392156865,1610612739,2,4,2024-04-03T01:12:21Z,140000,False,-12.0,10.0,1,left,J. Allen Layup (2 PTS) (E. Mobley 2 AST),"[1628386, 1630596]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,1.59,Made,2.0,E. Mobley,1630596.0,2.0,,,,,,,,,,,,,,
16,PT10M41.00S,2024-04-03T01:12:25.1Z,1,REGULAR,turnover,bad pass,[],1641707,,,1610612762,2,4,2024-04-03T01:12:29Z,160000,False,,,0,,T. Hendricks bad pass TURNOVER (1 TO),"[1641707, 1627747]",1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,Above the Break 3,24+ Left Center,,,,,,,1.0,LeVert,1627747.0,,,,,,,,,,,
17,PT10M41.00S,2024-04-03T01:12:25.1Z,1,REGULAR,steal,,[],1627747,,,1610612739,2,4,2024-04-03T01:12:26Z,170000,False,,,0,,C. LeVert STEAL (1 STL),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
18,PT10M38.00S,2024-04-03T01:12:28.4Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628386,6.783837056504599,51.9607843137255,1610612739,2,6,2024-04-03T01:13:39Z,180000,False,-10.0,11.0,1,left,J. Allen running alley-oop DUNK (4 PTS) (C. LeVert 1 AST),"[1628386, 1627747]",1610612739.0,CLE,running alley-oop,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,1.5,Made,4.0,C. LeVert,1627747.0,1.0,,,,,,,,,,,,,,
20,PT10M21.00S,2024-04-03T01:12:45.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631117,93.11760840998686,54.65686274509803,1610612762,4,6,2024-04-03T01:12:50Z,200000,False,23.0,12.0,1,right,W. Kessler alley-oop DUNK (4 PTS) (K. George 1 AST),"[1631117, 1641718]",1610612762.0,UTA,alley-oop,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,2.63,Made,4.0,K. George,1641718.0,1.0,,,,,,,,,,,,,,
23,PT10M01.00S,2024-04-03T01:13:25.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,8.229303547963205,41.42156862745098,1610612739,4,8,2024-04-03T01:13:29Z,230000,False,43.0,25.0,1,left,E. Mobley bank Hook (2 PTS) (M. Strus 1 AST),"[1630596, 1629622]",1610612739.0,CLE,bank,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,4.96,Made,2.0,M. Strus,1629622.0,1.0,,,,,,,,,,,,,,
25,PT09M38.00S,2024-04-03T01:13:48.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629012,88.91261498028909,36.51960784313725,1610612762,4,8,2024-04-03T01:13:55Z,250000,False,-67.0,52.0,1,right,MISS C. Sexton 8' pullup Shot - blocked,"[1629012, 1630596]",1610612762.0,UTA,pullup,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),8-16 Left,8.49,Missed,,,,,,,,Mobley,1630596.0,,,,,,,,,
26,PT09M38.00S,2024-04-03T01:13:48.7Z,1,REGULAR,block,,[],1630596,,,1610612762,4,8,2024-04-03T01:13:53Z,260000,False,,,0,,E. Mobley BLOCK (1 BLK),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
27,PT09M38.00S,2024-04-03T01:13:48.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,4,8,2024-04-03T01:13:55Z,270000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,25.0,,,,,,,,
