actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,shotResult,pointsTotal,area,areaDetail,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-02T01:10:53.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-02T01:10:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-02T01:10:55.8Z,1,REGULAR,jumpball,recovered,[],1628381,,,1610612762,0,0,2023-11-02T01:10:55Z,40000,False,,,0,,Jump Ball W. Kessler vs. J. Jackson Jr.: Tip to J. Collins,"[1628381, 1631117, 1628991]",1610612762.0,UTA,startperiod,J. Collins,1628381.0,Collins,J. Collins,Kessler,1631117.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-11-02T01:11:09.5Z,1,REGULAR,foul,technical,['1freethrow'],1628991,,,1610612762,0,0,2023-11-02T01:11:15Z,70000,False,,,0,,J. Jackson Jr. defensive-3-second technical FOUL (1 Tech),[1628991],1610612763.0,MEM,defensive-3-second,,,Jackson Jr.,J. Jackson Jr.,,,,,1146.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2023-11-02T01:11:23.0Z,1,REGULAR,freethrow,1 of 1,[],1628374,,,1610612762,1,0,2023-11-02T01:11:23Z,80000,False,,,0,,L. Markkanen technical Free Throw 1 of 1 (1 PTS),[1628374],1610612762.0,UTA,technical,,,Markkanen,L. Markkanen,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2023-11-02T01:11:45.5Z,1,REGULAR,3pt,Jump Shot,[],1628374,22.815374507227332,88.48039215686273,1610612762,4,0,2023-11-02T01:11:50Z,90000,False,-192.0,162.0,1,left,L. Markkanen 25' 3PT  (4 PTS) (T. Horton-Tucker 1 AST),"[1628374, 1629659]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,Made,4.0,Above the Break 3,24+ Left Center,25.15,T. Horton-Tucker,1629659.0,1.0,,,,,,,,,,,
11,PT11M27.00S,2023-11-02T01:12:01.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628991,92.85479632063075,55.63725490196079,1610612763,4,2,2023-11-02T01:12:07Z,110000,False,28.0,15.0,1,right,J. Jackson Jr. alley-oop DUNK (2 PTS) (M. Smart 1 AST),"[1628991, 203935]",1610612763.0,MEM,alley-oop,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,Made,2.0,Restricted Area,0-8 Center,3.18,M. Smart,203935.0,1.0,,,,,,,,,,,
13,PT11M05.00S,2023-11-02T01:12:25.4Z,1,REGULAR,foul,personal,[],1630217,,,1610612762,4,2,2023-11-02T01:12:34Z,130000,False,,,0,,D. Bane personal FOUL (1 PF),"[1630217, 1628374]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,203593.0,1.0,0.0,,,In The Paint (Non-RA),0-8 Center,,,,,Markkanen,1628374.0,,,,,,,,,
15,PT10M56.00S,2023-11-02T01:12:52.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203903,11.777266754270697,50.0,1610612762,4,2,2023-11-02T01:12:56Z,150000,False,0.0,58.0,1,left,MISS J. Clarkson floating Shot - blocked,"[203903, 1630533]",1610612762.0,UTA,floating,,,Clarkson,J. Clarkson,,,,,,,,Missed,,In The Paint (Non-RA),0-8 Center,5.82,,,,,,Williams,1630533.0,,,,,,,
16,PT10M56.00S,2023-11-02T01:12:52.5Z,1,REGULAR,block,,[],1630533,,,1610612762,4,2,2023-11-02T01:12:54Z,160000,False,,,0,,Z. Williams BLOCK (1 BLK),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,
17,PT10M53.00S,2023-11-02T01:12:55.5Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,4,2,2023-11-02T01:12:56Z,170000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,15.0,1.0,1.0,0.0,,,
