actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-14T02:40:55.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-14T02:40:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-01-14T02:40:57.1Z,1,REGULAR,jumpball,recovered,[],1628374,,,1610612762,0,0,2024-01-14T02:40:57Z,40000,False,,,0,,Jump Ball J. Collins vs. A. Davis: Tip to L. Markkanen,"[1628374, 1628381, 203076]",1610612762.0,UTA,startperiod,L. Markkanen,1628374.0,Markkanen,L. Markkanen,Collins,1628381.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-01-14T02:41:08.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627739,85.49605781865965,50.245098039215684,1610612762,2,0,2024-01-14T02:41:13Z,70000,False,1.0,84.0,1,right,K. Dunn 8' driving floating Jump Shot (2 PTS),[1627739],1610612762.0,UTA,driving floating,,,Dunn,K. Dunn,,,,,In The Paint (Non-RA),8-16 Center,8.38,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2024-01-14T02:41:25.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626156,6.915243101182654,54.166666666666664,1610612747,2,2,2024-01-14T02:41:29Z,80000,False,-21.0,13.0,1,left,D. Russell driving Layup (2 PTS),[1626156],1610612747.0,LAL,driving,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,2.43,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M15.00S,2024-01-14T02:41:39.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,82.34231274638634,56.127450980392155,1610612762,2,2,2024-01-14T02:41:44Z,90000,False,31.0,113.0,1,right,MISS L. Markkanen 11' pullup Shot,[1628374],1610612762.0,UTA,pullup,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Center,11.76,Missed,,,,,,,,,,,,,,,,,,
10,PT11M12.00S,2024-01-14T02:41:42.0Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,2,2,2024-01-14T02:41:44Z,100000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M06.00S,2024-01-14T02:41:50.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'defensivegoaltending']",1630559,5.469776609724048,53.92156862745098,1610612747,2,4,2024-01-14T03:00:29Z,110000,False,-20.0,-1.0,1,left,A. Reaves running reverse Layup (2 PTS) (D. Russell 1 AST),"[1630559, 1626156]",1610612747.0,LAL,running reverse,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,1.96,Made,2.0,,,,,D. Russell,1626156.0,1.0,,,,,,,,,,
24,PT11M06.00S,2024-01-14T02:42:01.6Z,1,REGULAR,violation,defensive goaltending,[],1628374,,,1610612747,2,4,2024-01-14T02:44:18Z,125000,False,,,0,,L. Markkanen defensive goaltending VIOLATION,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT10M57.00S,2024-01-14T02:42:12.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,92.19776609724047,55.88235294117647,1610612762,4,4,2024-01-14T02:43:40Z,130000,False,29.0,21.0,1,right,C. Sexton driving Layup (2 PTS),[1629012],1610612762.0,UTA,driving,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,3.6,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M45.00S,2024-01-14T02:42:25.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,18.610381077529567,40.44117647058824,1610612747,4,6,2024-01-14T02:42:31Z,140000,False,48.0,122.0,1,left,D. Russell 13' driving floating Jump Shot (4 PTS) (A. Davis 1 AST),"[1626156, 203076]",1610612747.0,LAL,driving floating,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,13.14,Made,4.0,,,,,A. Davis,203076.0,1.0,,,,,,,,,,
