actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-07T02:10:11.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-07T02:10:11Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-02-07T02:10:15.8Z,1,REGULAR,jumpball,recovered,[],1629652,,,1610612760,0,0,2024-02-07T02:10:15Z,40000,False,,,0,,Jump Ball C. Holmgren vs. J. Collins: Tip to L. Dort,"[1629652, 1631096, 1628381]",1610612760.0,OKC,startperiod,L. Dort,1629652.0,Dort,L. Dort,Holmgren,1631096.0,Collins,1628381.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M31.00S,2024-02-07T02:10:39.9Z,1,REGULAR,turnover,bad pass,[],1631114,,,1610612760,0,0,2024-02-07T02:10:44Z,70000,False,,,0,,J. Williams bad pass TURNOVER (1 TO),"[1631114, 1631323]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,1.0,Fontecchio,1631323.0,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2024-02-07T02:10:39.9Z,1,REGULAR,steal,,[],1631323,,,1610612762,0,0,2024-02-07T02:10:42Z,80000,False,,,0,,S. Fontecchio STEAL (1 STL),[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2024-02-07T02:10:51.5Z,1,REGULAR,foul,offensive,[],1629012,,,1610612762,0,0,2024-02-07T02:10:57Z,90000,False,,,0,,C. Sexton offensive FOUL (1 PF),"[1629012, 1631114]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),8-16 Center,,,,204058.0,1.0,0.0,Williams,1631114.0,,,,,,,,,,,,
11,PT11M23.00S,2024-02-07T02:10:51.5Z,1,REGULAR,turnover,offensive foul,[],1629012,,,1610612762,0,0,2024-02-07T02:10:51Z,110000,False,,,0,,C. Sexton offensive foul TURNOVER (1 TO),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),8-16 Center,1.0,,,204058.0,,,,,,,,,,,,,,,,
12,PT11M09.00S,2024-02-07T02:11:16.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631096,8.623521681997373,38.72549019607843,1610612760,0,2,2024-02-07T02:12:26Z,120000,False,56.0,29.0,1,left,C. Holmgren 6' cutting Layup (2 PTS) (S. Gilgeous-Alexander 1 AST),"[1631096, 1628983]",1610612760.0,OKC,cutting,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,6.32,Made,2.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,
14,PT11M00.00S,2024-02-07T02:11:25.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,92.59198423127464,53.431372549019606,1610612762,2,2,2024-02-07T02:13:16Z,140000,False,17.0,17.0,1,right,J. Collins Layup (2 PTS) (K. Dunn 1 AST),"[1628381, 1627739]",1610612762.0,UTA,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,2.43,Made,2.0,K. Dunn,1627739.0,1.0,,,,,,
16,PT10M52.00S,2024-02-07T02:11:33.8Z,1,REGULAR,3pt,Jump Shot,[],1631096,28.991458607095925,71.56862745098039,1610612760,2,5,2024-02-07T02:11:38Z,160000,False,-108.0,220.0,1,left,C. Holmgren 24' 3PT  (5 PTS) (J. Giddey 1 AST),"[1631096, 1630581]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Left Center,,,,,,,,,24.5,Made,5.0,J. Giddey,1630581.0,1.0,,,,,,
18,PT10M38.00S,2024-02-07T02:11:47.8Z,1,REGULAR,3pt,Jump Shot,[],1628374,67.36202365308804,55.88235294117647,1610612762,5,5,2024-02-07T02:11:52Z,180000,False,29.0,254.0,1,right,L. Markkanen 25' 3PT  (3 PTS) (K. Dunn 2 AST),"[1628374, 1627739]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,,,,,,,,,25.6,Made,3.0,K. Dunn,1627739.0,2.0,,,,,,
20,PT10M24.00S,2024-02-07T02:12:01.3Z,1,REGULAR,3pt,Jump Shot,[],1631096,28.07161629434954,23.284313725490197,1610612760,5,5,2024-02-07T02:12:05Z,200000,False,134.0,211.0,1,left,MISS C. Holmgren 25' 3PT,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Right Center,,,,,,,,,25.01,Missed,,,,,,,,,,
21,PT10M23.00S,2024-02-07T02:12:02.3Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612762,5,5,2024-02-07T02:12:05Z,210000,False,,,0,,K. Dunn REBOUND (Off:0 Def:1),[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,
22,PT10M16.00S,2024-02-07T02:12:10.4Z,1,REGULAR,3pt,Jump Shot,[],1628374,90.88370565045992,3.1862745098039214,1610612762,5,5,2024-02-07T02:12:15Z,220000,False,-234.0,33.0,1,right,MISS L. Markkanen 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Left Corner 3,24+ Left,,,,,,,,,23.64,Missed,,,,,,,,,,
23,PT10M13.00S,2024-02-07T02:12:13.4Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,5,5,2024-02-07T02:12:15Z,230000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,
24,PT09M59.00S,2024-02-07T02:12:27.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,5.338370565045992,36.76470588235294,1610612760,5,5,2024-02-07T02:14:53Z,240000,False,66.0,-2.0,1,left,MISS L. Dort 6' driving Layup - blocked,"[1629652, 1627739]",1610612760.0,OKC,driving,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,6.62,Missed,,,,,,,,,Dunn,1627739.0
25,PT09M59.00S,2024-02-07T02:12:27.1Z,1,REGULAR,block,,[],1627739,,,1610612760,5,5,2024-02-07T02:12:29Z,250000,False,,,0,,K. Dunn BLOCK (1 BLK),[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
26,PT09M59.00S,2024-02-07T02:12:27.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,5,5,2024-02-07T02:12:31Z,260000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,24.0,,,,,
28,PT09M47.00S,2024-02-07T02:12:49.4Z,1,REGULAR,3pt,Jump Shot,[],1628381,67.7562417871222,60.78431372549019,1610612762,5,5,2024-02-07T02:12:53Z,280000,False,54.0,251.0,1,right,MISS J. Collins 25' 3PT,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Center,,,,,,,,,25.63,Missed,,,,,,,,,,
29,PT09M44.00S,2024-02-07T02:12:52.4Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,5,5,2024-02-07T02:12:53Z,290000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,
30,PT09M35.00S,2024-02-07T02:13:01.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,15.193823915900131,38.23529411764706,1610612760,5,5,2024-02-07T02:13:05Z,300000,False,59.0,90.0,1,left,MISS J. Giddey 10' driving floating Shot,[1630581],1610612760.0,OKC,driving floating,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,10.78,Missed,,,,,,,,,,
31,PT09M32.00S,2024-02-07T02:13:04.4Z,1,REGULAR,rebound,defensive,[],1631323,,,1610612762,5,5,2024-02-07T02:13:05Z,310000,False,,,0,,S. Fontecchio REBOUND (Off:0 Def:1),[1631323],1610612762.0,UTA,,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,30.0,1.0,1.0,0.0,,
32,PT09M23.00S,2024-02-07T02:13:12.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627739,92.59198423127464,45.83333333333333,1610612762,7,5,2024-02-07T02:13:17Z,320000,False,-21.0,17.0,1,right,K. Dunn reverse Layup (2 PTS),[1627739],1610612762.0,UTA,reverse,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,,,,,,,,,2.69,Made,2.0,,,,,,,,,
33,PT09M15.00S,2024-02-07T02:13:20.9Z,1,REGULAR,3pt,Jump Shot,[],1629652,23.603810775295663,11.76470588235294,1610612760,7,5,2024-02-07T02:13:24Z,330000,False,191.0,169.0,1,left,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,,,,,,,,,25.54,Missed,,,,,,,,,,
34,PT09M13.00S,2024-02-07T02:13:22.9Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,7,5,2024-02-07T02:13:24Z,340000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,
35,PT09M08.00S,2024-02-07T02:13:27.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629012,68.28186596583443,65.93137254901961,1610612762,10,5,2024-02-07T02:18:03Z,350000,False,80.0,246.0,1,right,C. Sexton 25' 3PT running pullup (3 PTS),[1629012],1610612762.0,UTA,running pullup,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Center,,,,,,,,,25.83,Made,3.0,,,,,,,,,
36,PT09M07.00S,2024-02-07T02:13:32.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,10,5,2024-02-07T02:13:32Z,360000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
